id,Workplaces,College,School,Places,Gender
161,no workplaces to show,studied at trường đại học giao thông vận tải tp.hcm|studied at trường đại học giao thông vận tải tp.hcm,went to trường thpt tánh linh,tanh linh|phan thiet,male
162,no workplaces to show,no schools to show,no schools to show,dong hoa,notknown
163,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|phu quoc, kiến giang, vietnam",female
164,no workplaces to show,studies quản trị kinh doanh at trường đại học nông lâm tp.hcm,went to thpt lý thường kiệt - tây ninh,"ho chi minh city, vietnam|tây ninh",female
165,no workplaces to show,no schools to show,no schools to show,can tho|can tho,female
166,uỷ viên ban chấp hành chi hội sinh viên huyện phước long|uỷ viên ban chấp hành chi hội sinh viên huyện phước long|uỷ viên ban chấp hành chi hội sinh viên huyện phước long,no schools to show,went to truong thpt vo van kiet,bac lieu|bac lieu,female
167,no workplaces to show,no schools to show,goes to thpt phù cát 1,"qui nhon, bình ðịnh, vietnam|qui nhon, bình ðịnh, vietnam",male
168,❤ trường đời ❤,no schools to show,no schools to show,tân châu|tân châu,notknown
169,works at efiens,studies at đại học bách khoa tphcm,went to thcs lam son 2 - quan 6|went to thcs lam son 2 - quan 6,"quang nam, quang nam-da nang, vietnam",male
170,sale at ngân hàng á châu acb,studied at trường đại học an giang,no schools to show,"angiang, an giang, vietnam|phú lâm, an giang, vietnam",male
171,works at adms,no schools to show,no schools to show,biên hòa|hồng ngự,male
172,"ở không at duboshop - tiệm spa giày, vệ sinh giày đầu tiên - since 2010",no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
173,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
174,no workplaces to show,studied chuyên ngành chăn nuôi thú y at phòng đào tạo - trường đại học an giang,no schools to show,long xuyên|long xuyên,male
175,no workplaces to show,no schools to show,no schools to show,"hóc môn, hồ chí minh, vietnam",notknown
176,no workplaces to show,no schools to show,no schools to show,"ha-nam, hà nam, vietnam|ha-nam, hà nam, vietnam",notknown
177,no workplaces to show,no schools to show,goes to thpt đức trí,"tân châu|angiang, an giang, vietnam",female
178,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
179,phó trưởng mảng truyền thông sáng tạo at ban học tập - nghiên cứu khoa học - quan hệ quốc tế đoàn trường ueh,studied at trường đại học kinh tế hcm ueh,"went to cựu hs thpt bùi thị xuân, q1 tp.hcm|went to cựu hs thpt bùi thị xuân, q1 tp.hcm","ho chi minh city, vietnam|ho chi minh city, vietnam",male
180,no workplaces to show,no schools to show,no schools to show,vung tau|vung tau,female
181,works at thành phố hồ chí minh,studied at trường đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,no schools to show,"district 8, ho chi minh city|chaudok, an giang, vietnam",notknown
182,no workplaces to show,no schools to show,no schools to show,"loc an, vietnam|loc an, vietnam",female
183,no workplaces to show,no schools to show,went to thpt long khanh a,hồng ngự|hồng ngự,male
184,tân châu|tân châu,studies kinh doanh thương mại at trường đại học văn lang,goes to trường thcs phú thạnh|goes to trường thcs phú thạnh,"ho chi minh city, vietnam|angiang, an giang, vietnam",female
185,no workplaces to show,studied at trường cao đẳng kinh tế - kỹ thuật thành phố hồ chí minh,"went to thpt huỳnh thị hưởng, chợ mới, an giang","angiang, an giang, vietnam",notknown
186,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
187,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
188,trùm sỉ kem body độc quyền|trùm sỉ kem body độc quyền|trùm sỉ kem body độc quyền|trùm sỉ kem body độc quyền|trùm sỉ kem body độc quyền|trùm sỉ kem body độc quyền|trùm sỉ kem body độc quyền|trùm sỉ kem body độc quyền,no schools to show,no schools to show,"chau phú, an giang, vietnam|angiang, an giang, vietnam",female
189,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",male
190,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
191,works at hello shop giá rẻ,studied at trường cao đẳng quốc tế tp.hcm,"went to thpt nguyễn chí thanh, phú tân, an giang","ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
192,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,male
193,no workplaces to show,no schools to show,goes to thpt đức trí,"phú lâm, an giang, vietnam",female
194,no workplaces to show,no schools to show,went to truong thpt long khanh,"ho chi minh city, vietnam|hà tĩnh",male
195,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
197,thành viên at quận 6 - clb sẵn sàng|thành viên at quận 6 - clb sẵn sàng,no schools to show,"went to thpt mạc đĩnh chi,q.6-tp.hcm|went to thpt mạc đĩnh chi,q.6-tp.hcm","ho chi minh city, vietnam",female
198,no workplaces to show,studies computer sicence - khoa học máy tính at trường đại học bách khoa - đh quốc gia tp.hcm,"went to trường thpt nguyễn thái bình, thăng bình, quảng nam",thang binh|thang binh,male
