id,Workplaces,College,School,Places,Gender
7030,no workplaces to show,no schools to show,no schools to show,no places to show,male
7031,long xuyên,studied sư phạm âm nhạc at trường đại học đồng tháp,went to trường thcs và thpt phú tân,"angiang, an giang, vietnam|angiang, an giang, vietnam",female
7032,no workplaces to show,no schools to show,went to thpt trần phú - kim long - châu đức - brvt|went to thpt trần phú - kim long - châu đức - brvt,"vung tau|quang nam, quang nam-da nang, vietnam",female
7033,no workplaces to show,studies at trường cao đẳng nghề bách khoa hà nội - hactech,went to thpt thiệu hóa,"hanoi, vietnam|thanh hóa",male
7034,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7035,no workplaces to show,studied công nghệ may at trường đh sư phạm kỹ thuật tp hcm,no schools to show,"ho chi minh city, vietnam|bắc ninh",female
7036,"hanoi, vietnam",no schools to show,no schools to show,"hanoi, vietnam|hanoi, vietnam",female
7037,dev at vng corporation|dev at vng corporation|dev at vng corporation,no schools to show,went to trường thpt trần văn quan - huyện long điền - brvt,ba ria|ba ria,male
7038,phó bí thư at đoàn - hội khoa ngoại ngữ ueh,studied at ueh - trường đại học kinh tế tp.hcm,went to thpt hùng vương,"ho chi minh city, vietnam|da lat",male
7039,no workplaces to show,studied at hochiminhcity university food of industry,no schools to show,no places to show,female
7040,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|củ chi, hồ chí minh, vietnam",female
7041,no workplaces to show,no schools to show,no schools to show,phú lâm,notknown
7042,no workplaces to show,no schools to show,went to trường quốc học - huế|went to trường quốc học - huế,"hue, vietnam",male
7043,works at meta,studies at trường cao đẳng hàng hải ii|studies at trường cao đẳng hàng hải ii,went to thpt quảng xương i - thanh hóa,"ho chi minh city, vietnam|thanh hóa",notknown
7044,,,,,
7045,self-employed,no schools to show,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",female
7046,works at điên lanh lê dung,no schools to show,no schools to show,"ho chi minh city, vietnam|mo cay|ho chi minh city, vietnam",male
7047,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
7048,no workplaces to show,no schools to show,no schools to show,no places to show,male
7049,no workplaces to show,no schools to show,no schools to show,no places to show,female
7050,no workplaces to show,studies at ueh - trường đại học kinh tế tp.hcm,went to thcs quang trung bảo lộc,bao loc|bao loc,male
7051,no workplaces to show,no schools to show,no schools to show,"long hòa|angiang, an giang, vietnam",notknown
7052,no workplaces to show,no schools to show,no schools to show,no places to show,male
7053,no workplaces to show,no schools to show,no schools to show,bac giang|điện biên phủ,male
7054,tân châu,no schools to show,no schools to show,tân châu|cà mau,male
7055,can tho,studied at nam can tho university,went to truong thpt an minh,rach gia|rach gia,notknown
7056,no workplaces to show,no schools to show,no schools to show,no places to show,female
7057,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|dong hoa",male
7058,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|north pole, alaska",notknown
7059,tự do,no schools to show,no schools to show,"di an|phu vinh, an giang, vietnam",female
