id,Workplaces,College,School,Places,Gender
11782,tân châu,no schools to show,went to thpt đức trí|went to thpt đức trí,tân châu|tân châu,male
11783,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11784,works at trường trung học phổ thông phan chu trinh,no schools to show,went to thpt phan chu trinh,sông cầu,notknown
11785,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11786,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
11787,"tân an, long an",no schools to show,no schools to show,"tân an, long an|ap an hoa, an giang, vietnam",male
11788,cà mau,studied at đại học bôn ba,went to trường thpt võ thị hồng - cà mau,icheon|cà mau|icheon,female
11789,no workplaces to show,no schools to show,no schools to show,"nhơn trạch|angiang, an giang, vietnam",notknown
11790,works at garena free fire,no schools to show,no schools to show,phu hoa,male
11791,admin at ban liên lạc sinh viên trà vinh tại tp.hcm|admin at ban liên lạc sinh viên trà vinh tại tp.hcm,studied at trường đại học công nghiệp tp-hcm|studied at trường đại học công nghiệp tp-hcm,went to trường thpt trà cú,tra vinh|trà cú,male
11792,former member at clb thể thao sir|former member at clb thể thao sir,studied at trường thpt chuyên hùng vương - gia lai|studied at trường thpt chuyên hùng vương - gia lai,no schools to show,"ho chi minh city, vietnam|pleiku",female
11793,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11794,works at dân phú yên,no schools to show,"went to trường thpt phan chu trinh, phú yên",sông cầu,male
11795,tra vinh|tra vinh,no schools to show,went to thực hành sư phạm trà vinh,tra vinh|tra vinh,notknown
11796,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11797,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|phú lâm",female
11798,works at berry.clothing,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",female
11799,tân châu,studied sư phạm tiếng anh at đại học cần thơ,no schools to show,"tân châu|angiang, an giang, vietnam",female
11800,trang trí nội thất tý phượng,no schools to show,no schools to show,tân châu|hồng ngự|hồng ngự,notknown
11801,no workplaces to show,studies sư phạm vật lý at trường đại học sư phạm thành phố hồ chí minh - hcmue,went to thpt dĩ an|went to thpt dĩ an,"di an|hai phong, vietnam",female
11802,no workplaces to show,studied at trường thpt tân châu,no schools to show,tân châu,notknown
11803,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt lộc thành,"bao loc|quynh luu, nghệ an, vietnam",male
11804,no workplaces to show,studied at trường đại học kinh tế - luật,no schools to show,"ho chi minh city, vietnam",notknown
11805,chief executive officer (ceo) & founder at dh foods,"studied business, it & management at politechnika wrocławska",went to a0 k13|went to a0 k13|went to a0 k13|went to a0 k13,"ho chi minh city, vietnam|hanoi, vietnam",notknown
11806,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11807,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
11808,works at tìm việc làm tại bình dương,"studied at tay nhặt lá, chân đá ống bơ, đầu óc lơ tơ mơ!!",went to ♥sáng nhặt lá_♥_trưa đá ống bơ_♥_tối làm thơ_♥_đêm thẫn thờ chờ trời sáng♥      =))))))))))))|went to ♥sáng nhặt lá_♥_trưa đá ống bơ_♥_tối làm thơ_♥_đêm thẫn thờ chờ trời sáng♥      =)))))))))))),"ap binh duong (1), vietnam|thanh chuong",female
11809,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ấp tân phú, an giang, vietnam",notknown
11810,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
11811,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",female
11812,giáo viên at giao vien,studied at đại học qui nhơn,goes to trường thpt nguyễn hồng đạo|goes to trường thpt nguyễn hồng đạo|goes to trường thpt nguyễn hồng đạo,"quy nhon|phuoc loc, nghia binh, vietnam|tuy phước, bình định",male
11813,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,female
11814,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu",notknown
11815,works at đồng tháp quê tôi,"studied at dai hoc an giang, long xuyen, an giang - viet nam",went to trung hoc pho thong tram chim,"tràm chim, ðồng tháp, vietnam|tràm chim, ðồng tháp, vietnam",notknown
11816,no workplaces to show,studied at trường đại học gtvt tphcm,went to trường thpt cà mau,"ho chi minh city, vietnam|cà mau",male
11817,no workplaces to show,studies y đa khoa at bác sĩ y đa khoa -general doctor ♥️ 🧑‍⚕️,no schools to show,"hung yen, hưng yên, vietnam",female
11818,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11819,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
11820,giáo viên at thpt tân châu|giáo viên at thpt tân châu,studied at dai hoc an giang,went to thpt trần văn thành,tân châu|chau phu,female
11821,no workplaces to show,no schools to show,no schools to show,no places to show,female
11822,đã học khoá học: tuyệt chiêu bán hàng”7 ngày ra đơn”|đã học khoá học: tuyệt chiêu bán hàng”7 ngày ra đơn”|đã học khoá học: tuyệt chiêu bán hàng”7 ngày ra đơn”|đã học khoá học: tuyệt chiêu bán hàng”7 ngày ra đơn”|đã học khoá học: tuyệt chiêu bán hàng”7 ngày ra đơn”|đã học khoá học: tuyệt chiêu bán hàng”7 ngày ra đơn”,no schools to show,went to trường thpt trần ân chiêm,"tân uyên|yen dinh, thanh hóa, vietnam",female
11823,works at trường thpt bắc bình,studied bảo vệ thực vật at trường đại học nông lâm tp.hcm,went to thpt bắc bình,"ho chi minh city, vietnam|bac binh",female
11824,no workplaces to show,studies at hutech - đại học công nghệ tp.hcm,no schools to show,"vung tau|hung yen, hưng yên, vietnam",notknown
11825,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11826,r2s academy - đào tạo cntt và tuyển dụng,studied at đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam",notknown
11827,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11828,no workplaces to show,no schools to show,no schools to show,vung tau,notknown
11829,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|da lat",notknown
11830,no workplaces to show,studied at industrial university of ho chi minh city|studied at industrial university of ho chi minh city|studied at industrial university of ho chi minh city|studied at industrial university of ho chi minh city,no schools to show,"ho chi minh city, vietnam|cà mau",female
11831,"đang đi làm tại "" bình dương"" tại đình hòa",no schools to show,no schools to show,hồng ngự|hồng ngự,notknown
11832,no workplaces to show,studies at trường đại học quốc tế - đại học quốc gia tp. hcm,went to đoàn tncs hồ chí minh trường thpt ngô quyền,no places to show,female
11833,no workplaces to show,no schools to show,no schools to show,thanh hóa,male
11834,works at joowon vina,studied at cổng thông tin trường thpt hùng vương tphcm,no schools to show,nhơn trạch|vĩnh long,notknown
11835,"hai phong, vietnam",studied at truong thpt nhu van lan,went to thpt nhu van lan,"hai phong, vietnam|hai phong, vietnam",notknown
11836,no workplaces to show,studies at đại học y dược cần thơ,no schools to show,"can tho|tràm chim, ðồng tháp, vietnam",notknown
11837,ban chấp hành liên chi hội sinh viên sóc trăng - ctump|ban chấp hành liên chi hội sinh viên sóc trăng - ctump,studied y đa khoa - k45 at đại học y dược cần thơ,went to thpt hoàng diệu (sóc trăng),soc trang|soc trang,female
11838,no workplaces to show,studies at đại học công nghiệp hà nôi,went to thpt thiệu hóa,no places to show,female
11839,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11840,no workplaces to show,studies at trường đại học luật tp. hồ chí minh,went to thpt chuyên hoàng lê kha- tây ninh,tây ninh,notknown
11841,no workplaces to show,no schools to show,no schools to show,ben cat|hai hau,male
11842,works at fc barcelona,studies học y đa khoa - general doctor tại at trường đại học y dược cần thơ,went to trường thpt võ thị hồng - cà mau,cà mau,male
11843,no workplaces to show,no schools to show,went to võ nguyên giáp confessions,quang ngai,male
11844,no workplaces to show,studies at đại học hoa sen,no schools to show,no places to show,notknown
11845,no workplaces to show,studies at trường đại học cần thơ,went to trường thpt châu văn liêm - tp. cần thơ,can tho,male
11846,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11847,no workplaces to show,no schools to show,no schools to show,vung tau,female
11848,ctv call center at nttu - đại học nguyễn tất thành,studies dược at nttu - đại học nguyễn tất thành,went to thpt trần khai nguyên,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
11849,no workplaces to show,no schools to show,no schools to show,no places to show,male
11850,no workplaces to show,studied at hutech - đại học công nghệ tp.hcm,went to thpt lý thường kiệt-hóc môn|went to thpt lý thường kiệt-hóc môn,"hóc môn, hồ chí minh, vietnam|bắc ninh",male
11851,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11852,works at học viện hàng không việt nam (ăn hàng - ở không).,no schools to show,"went to thpt châu thành, kiên giang|went to thpt châu thành, kiên giang","huyen chau thanh, kiến giang, vietnam|huyen chau thanh, kiến giang, vietnam",male
11853,works at thpt tư thục hồng đức,no schools to show,went to thcs thpt hong duc,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
11854,no workplaces to show,no schools to show,"goes to thpt tân châu, tân châu, an giang",tân châu|tân châu,female
11855,no workplaces to show,studied khoa kinh tế - quản trị chuyên ngành quản trị kinh doanh at phòng đào tạo sau đại học - trường đại học trà vinh,no schools to show,can tho|tra vinh,female
11856,intern at faraday technology vietnam,studies computer engineering at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to thpt trần phú,no places to show,male
11857,no workplaces to show,studied kỹ thuật điện tử truyền thông at trường cao đẳng kỹ thuật cao thắng,went to thpt ba chúc,"ba chuc, an giang, vietnam|ba chuc, an giang, vietnam",male
11858,tân châu,no schools to show,no schools to show,tân châu|tân châu,male
11859,no workplaces to show,studies at trường đại học văn lang,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
11860,cty tnhh lamer care gruop,studied at cao đẳng sư phạm thái nguyên,went to thpt lê hồng phong thái nguyên,"ba hàng, thái nguyên, vietnam|lý nhân",female
11861,works at thành phố hồ chí minh,studied at học viện hàn không việt nam(ăn hàng-ở không),no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
11862,"ho chi minh city, vietnam",studied at học tiếng anh cùng cô vũ mai phương,no schools to show,"ho chi minh city, vietnam|quận bình tân, phường an lạc",notknown
