id,Workplaces,College,School,Places,Gender
3662,tân châu,no schools to show,"went to thpt nguyễn quang diêu, tân châu, an giang","tân châu|angiang, an giang, vietnam",female
3663,no workplaces to show,no schools to show,no schools to show,no places to show,female
3664,no workplaces to show,studies at trường cao đẳng cần thơ,"went to thpt tân châu, tân châu, an giang",no places to show,female
3665,"trường thcs lương thế vinh tịnh biên, an giang",studied at cao dang nghe an giang,went to trường thpt tịnh biên,"nhà bàng, an giang, vietnam|tinh bien",notknown
3666,thành viên at clb kết nối thành công - trường đại học nông lâm tp.hcm,studies kỹ thuật điều khiển và tự động hoá at trường đại học nông lâm tp.hcm,went to trường thpt nguyễn an ninh _ confessions|went to trường thpt nguyễn an ninh _ confessions,di an,male
3667,works at chelsea football club|works at chelsea football club,studied at trường thpt nguyễn công trứ,no schools to show,tuy hòa|phù yên,male
3668,no workplaces to show,studied at trường đại học giao thông vận tải - phân hiệu tại tp.hcm - utc2,went to ngô thời nhiệm school,"biên hòa|hung yen, hưng yên, vietnam",notknown
3669,thành viên at see club - clb môi trường & xã hội khoa y|thành viên at see club - clb môi trường & xã hội khoa y,studied at sinh viên đại học y dược tp.hcm - ump|studied at sinh viên đại học y dược tp.hcm - ump,no schools to show,no places to show,male
3670,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,male
3671,works at thiên yên - ciel corner,no schools to show,went to trường thpt nguyễn sinh sắc,"angiang, an giang, vietnam|tân châu",notknown
3672,can tho,studies ngôn ngữ anh at đại học cần thơ - ctu.vn,went to trường thpt tân châu,"angiang, an giang, vietnam|tân châu",female
3673,no workplaces to show,studied at trường đại học giao thông vận tải - phân hiệu tại tp.hcm - utc2,no schools to show,tuy hòa|dong hoa,male
3674,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to vt6 - nơi giấc mơ tìm về|went to vt6 - nơi giấc mơ tìm về,"ho chi minh city, vietnam",male
3675,works at hufi - đại học công nghiệp thực phẩm tp.hcm|works at hufi - đại học công nghiệp thực phẩm tp.hcm|works at hufi - đại học công nghiệp thực phẩm tp.hcm|works at hufi - đại học công nghiệp thực phẩm tp.hcm,"studied at don state technical university, rostov-on-don, russia",went to le quy don long an,no places to show,male
3676,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
3677,no workplaces to show,studied dược học at nam can tho university,no schools to show,"can tho|angiang, an giang, vietnam",female
3678,works at ho chi minh city,no schools to show,no schools to show,"ho chi minh city, vietnam|cho moi, an giang",male
3679,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
3680,worked at rmit marketing and communications club,studies digital at rmit university vietnam,went to columbia international college|went to columbia international college|went to columbia international college,da lat|da lat,male
3681,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3682,no workplaces to show,no schools to show,no schools to show,no places to show,male
3683,no workplaces to show,no schools to show,no schools to show,muong lat|thanh hóa,notknown
3684,no workplaces to show,no schools to show,went to thpt chuyên long an,"tân an, long an|tân an, long an",male
3685,no workplaces to show,no schools to show,went to thpt hồng ngự 3,"thuong phuoc, ðồng tháp, vietnam",male
3686,works at đội sinh viên tình nguyện khoa cntt - đh khtn,"studied công nghệ thông tin (it) at trường đại học khoa học tự nhiên, đại học quốc gia tp.hcm",went to trường thpt chuyên trần hưng đạo - bình thuận|went to trường thpt chuyên trần hưng đạo - bình thuận,"xa phan thiet, bình thuận, vietnam|phan thiet",male
3687,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3688,"co-founder at hoa nhan trading co., ltd|co-founder at hoa nhan trading co., ltd",no schools to show,went to trường thpt nhơn trạch,"ho chi minh city, vietnam|nhơn trạch",male
