id,Workplaces,College,School,Places,Gender
1262,works at công ty tnhh kyokuto việt nam|works at công ty tnhh kyokuto việt nam,studied at an giang university,no schools to show,"angiang, an giang, vietnam",female
1263,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
1264,no workplaces to show,studied at thcs tran hung dao,went to thpt chuyên lê quý đôn,dong ha|dong ha,female
1265,no workplaces to show,studies tài chính - ngân hàng at trường đại học ngân hàng tp. hồ chí minh - hub,"went to thpt nguyễn chí thanh, chợ vàm, phú tân, an giang","angiang, an giang, vietnam|angiang, an giang, vietnam",female
1266,no workplaces to show,no schools to show,went to thcs kỳ lâm,"tuyên quang, tuyên quang, vietnam|son duong",notknown
1267,"works at phú tân, an giang",no schools to show,goes to trường thcs phú lâm,"angiang, an giang, vietnam|angiang, an giang, vietnam",male
1268,trung tâm đào tạo vận động viên cấp cao hà nội,"studied at ptnk tdtt hà nội-phổ thông năng khiếu,thể dục thể...",went to trường phổ thông năng khiếu tdtt hà nội,"hanoi, vietnam|hanoi, vietnam",female
1269,no workplaces to show,studies at đại học cần thơ,no schools to show,can tho,female
1270,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
1271,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
1272,no workplaces to show,no schools to show,"goes to thpt tân châu, an giang","ho chi minh city, vietnam|tân châu",female
1273,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ấp tân phú, an giang, vietnam",notknown
1274,no workplaces to show,no schools to show,no schools to show,rach gia,female
1275,no workplaces to show,studied at trường dự bị đại học dân tộc trung ương nha trang|studied at trường dự bị đại học dân tộc trung ương nha trang,no schools to show,"ho chi minh city, vietnam|phú túc, gia lai, vietnam",male
1276,no workplaces to show,studies ngành công nghệ - kĩ thuật ô tô khoá 19 at trường cao đẳng kỹ thuật cao thắng,no schools to show,tây ninh,notknown
