id,Workplaces,College,School,Places,Gender
9531,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
9532,,,,,
9533,no workplaces to show,no schools to show,no schools to show,"buôn ma thuột, đắc lắk, vietnam|buôn ma thuột, đắc lắk, vietnam",notknown
9534,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9535,no workplaces to show,studies at trường đại học văn lang,"went to thpt tân châu, tân châu, an giang",tân châu,notknown
9536,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
9537,,,,,
9538,works at thcs lam son 2 - quan 6,studied tin học at thcs lam son 2 - quan 6,went to thcs lam son 2 - quan 6,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
9539,,,,,
9540,,,,,
9541,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
9542,,,,,
9543,,,,,
9544,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
9545,,,,,
9546,works at fbi – federal bureau of investigation,studied at harvard university,went to trường thpt sầm sơn,thanh hóa|sam son,notknown
9547,no workplaces to show,no schools to show,no schools to show,long xuyên,notknown
9548,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
9549,,,,,
9550,,,,,
9551,,,,,
9552,,,,,
9553,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",male
9554,no workplaces to show,no schools to show,no schools to show,bến tre|bến tre,male
9555,works at liên minh huyền thoại,no schools to show,went to di an,"ap binh duong (1), vietnam|di an",notknown
9556,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9557,,,,,
9558,no workplaces to show,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to thpt thiệu hóa,thieu hoa|thieu hoa,notknown
9559,,,,,
9560,,,,,
9561,,,,,
9562,,,,,
9563,,,,,
9564,no workplaces to show,no schools to show,no schools to show,"bình chánh, hồ chí minh, vietnam",notknown
9565,,,,,
9566,,,,,
