id,Workplaces,College,School,Places,Gender
3062,no workplaces to show,studies bác sĩ đa khoa ( general practitioner) at trường đại học y dược cần thơ|studies bác sĩ đa khoa ( general practitioner) at trường đại học y dược cần thơ,no schools to show,hồng ngự|phnom penh,male
3063,worked at thcs phú thạnh,studied at nhà đẹp,went to thcs|went to thcs,"angiang, an giang, vietnam",male
3064,tân châu,no schools to show,no schools to show,tân châu|tân châu,male
3065,no workplaces to show,no schools to show,no schools to show,no places to show,female
3066,ai resident at fsoft ai center|ai resident at fsoft ai center,studies at đại học bách khoa hà nội - hanoi university of science and technology,went to thpt chuyên lê quý đôn quảng trị,no places to show,female
3067,works at cộng đồng học sinh trường thpt thành phố trà vinh,studies quản trị khách sạn at trường đại học trà vinh,went to cộng đồng học sinh trường thpt thành phố trà vinh,no places to show,notknown
3068,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3069,no workplaces to show,no schools to show,went to thcs long sơn,no places to show,male
3070,co-founder at dwa - divergent web agency|co-founder at dwa - divergent web agency|co-founder at dwa - divergent web agency,no schools to show,no schools to show,"ho chi minh city, vietnam",male
3071,no workplaces to show,no schools to show,no schools to show,no places to show,female
3072,ninh bình,no schools to show,went to dth's memories,"hanoi, vietnam|ninh bình",male
3073,no workplaces to show,no schools to show,no schools to show,"cai lay|ho chi minh city, vietnam",female
3074,no workplaces to show,studies at đại học tôn đức thắng,no schools to show,"angiang, an giang, vietnam",male
3075,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam|chaudok, an giang, vietnam",notknown
3076,developer at zigvy corporation,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to mac dinh chi high school,"ho chi minh city, vietnam",female
3077,works at thpt thiệu hóa,studies at học viện tài chính (academy of finance),went to thpt thiệu hóa,thanh hóa|thieu hoa,female
3078,no workplaces to show,no schools to show,no schools to show,"phú long|angiang, an giang, vietnam",notknown
3079,can tho,studied luật thương mại at trường đại học cần thơ,went to trường thpt võ thị hồng - cà mau,can tho|cà mau,female
3080,no workplaces to show,studies y   đa khoa at trường đại học y-dược cần thơ,no schools to show,"ap binh duong (1), vietnam|ap binh duong (1), vietnam",male
3081,no workplaces to show,studies at nttu - đại học nguyễn tất thành,no schools to show,"ho chi minh city, vietnam|guangzhou, china",notknown
3082,sales executive at cmc tssg|sales executive at cmc tssg,studied at đại học bách khoa hcm|studied at đại học bách khoa hcm|studied at đại học bách khoa hcm,went to trường thpt bù đăng,"binh phuoc, vietnam|hà tĩnh",female
