id,Workplaces,College,School,Places,Gender
2162,ban chqs phường long hưng,no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
2163,studying at thcs trường sơn,no schools to show,went to thcs trường sơn,"ho chi minh city, vietnam|tân châu",male
2164,no workplaces to show,no schools to show,no schools to show,no places to show,female
2165,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
2166,"ho chi minh city, vietnam",no schools to show,went to sai gon tourist|went to sai gon tourist,"angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
2167,tây đô model|tây đô model|tây đô model,studied kinh doanh quốc tế at nam can tho university,went to thpt nguyễn việt hồng,can tho|can tho,female
2168,no workplaces to show,studied at trường cao dang yte can tho,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam|angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
2169,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2170,no workplaces to show,no schools to show,went to trường thpt cầu quan,"tân bình, hồ chí minh, vietnam|tra vinh",female
2171,no workplaces to show,no schools to show,no schools to show,no places to show,female
2172,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
2173,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2174,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2175,no workplaces to show,no schools to show,went to trường thpt đức trí|went to trường thpt đức trí,"phú lâm, an giang, vietnam|phú lâm",female
2176,no workplaces to show,studied at trường đại học cần thơ,"went to thpt tân châu, tân châu, an giang",long xuyên|tân châu,female
2177,studying at trường đại học nông lâm tp.hcm,studied at tra vinh university,went to thcs thổ sơn|went to thcs thổ sơn,"ho chi minh city, vietnam|rach gia",male
2178,no workplaces to show,no schools to show,went to thu khoa nghia,long xuyên,female
2179,no workplaces to show,studied at tuổi trẻ trường đại học kinh tế - đhqg hn,went to hanoi – amsterdam high school,"hanoi, vietnam|hanoi, vietnam",female
2180,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2181,no workplaces to show,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thcs an hữu|went to trường thcs an hữu,"my tho|mitho, tiền giang, vietnam",male
2182,no workplaces to show,no schools to show,no schools to show,hồng ngự|hồng ngự,female
2183,no workplaces to show,no schools to show,went to trường thpt đư´c hoa`,no places to show,female
2184,works at an giang province,no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu",notknown
2185,no workplaces to show,no schools to show,no schools to show,bến tre|bến tre,female
2186,uv btk lch sinh viên khoa at đoàn - hội khoa tài chính công|uv btk lch sinh viên khoa at đoàn - hội khoa tài chính công,studies at university of economics ho chi minh city - ueh,no schools to show,"ho chi minh city, vietnam|xa vung tau, bà rịa-vũng tàu, vietnam",female
2187,no workplaces to show,studies quản trị kinh doanh at trường đại học mở tp. hồ chí minh,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,male
2188,no workplaces to show,studied kỹ sư nông học at trường đại học nông lâm tp.hcm,went to trường thpt nguyễn văn thoại,"long xuyên|angiang, an giang, vietnam",notknown
