id,Workplaces,College,School,Places,Gender
7930,works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm|works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,studied an toàn thông tin at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường trung học phổ thông phan chu trinh,"ho chi minh city, vietnam|sông cầu",female
7931,tân châu,no schools to show,no schools to show,no places to show,male
7932,tân châu,studied at can tho university,no schools to show,tân châu,female
7933,no workplaces to show,no schools to show,no schools to show,phú lâm,female
7934,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
7935,no workplaces to show,studied kỹ thuật xét nghiệm y học ( medical laboratory technology ) at nam can tho university,no schools to show,can tho|bac lieu,notknown
7936,works at binh duong - viet nam,studied at trường thcs phú long,went to thcs phú long,"tân châu|angiang, an giang, vietnam",male
7937,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",male
7938,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to thpt dl văn hiến,cam my,male
7939,no workplaces to show,no schools to show,went to trường thpt đức trí,"phú lâm|phú lâm, an giang, vietnam",female
7940,no workplaces to show,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thpt tân bình - quận tân phú,"ho chi minh city, vietnam|thái bình, thái bình, vietnam",male
7941,no workplaces to show,studied logistics at trường đại học quốc tế - đhqg tphcm tư vấn tuyển sinh|studied logistics at trường đại học quốc tế - đhqg tphcm tư vấn tuyển sinh,went to trường quốc học - huế|went to trường quốc học - huế,"hue, vietnam|hue, vietnam",male
7942,works at hutech - đại học công nghệ tp.hcm,studied at hutech - đại học công nghệ tp.hcm,"went to thpt tân châu, tân châu, an giang","ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
7943,intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam|intern at cục sở hữu trí tuệ việt nam,no schools to show,no schools to show,no places to show,female
7944,works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm|works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm|works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,studied ngôn ngữ anh at trường đại học nông lâm tp.hcm|studied ngôn ngữ anh at trường đại học nông lâm tp.hcm|studied ngôn ngữ anh at trường đại học nông lâm tp.hcm,went to trường thpt phan thanh giản,"ho chi minh city, vietnam|bến tre",male
7945,quản trị kinh doanh|quản trị kinh doanh|quản trị kinh doanh|quản trị kinh doanh,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
7946,no workplaces to show,studies at trường đại học nông lâm tp.hcm,went to truong thpt soc son|went to truong thpt soc son,"binh thanh, hồ chí minh, vietnam|rach gia",female
7947,no workplaces to show,no schools to show,no schools to show,di an,male
7948,"works at chau doc, an giang, vietnam",no schools to show,no schools to show,"chaudok, an giang, vietnam",notknown
7949,no workplaces to show,no schools to show,went to thpt nguyễn thị minh khai - đức thọ - hà tĩnh,"hà tĩnh|ã?uc tho, hà tĩnh, vietnam|hà tĩnh",notknown
7950,no workplaces to show,no schools to show,went to truong thpt vo van kiet,bac lieu|bac lieu,male
7951,works at trường thcs cái dầu,no schools to show,went to trường thcs cái dầu,"chaudok, an giang, vietnam|chaudok, an giang, vietnam",female
7952,no workplaces to show,studied at trường đại học kỹ thuật - công nghệ cần thơ,no schools to show,"angiang, an giang, vietnam",notknown
7953,no workplaces to show,studied at iuh - viện đt quốc tế & sau đại học - đh công nghiệp tp.hcm,goes to trường thpt việt đức|goes to trường thpt việt đức,"buôn ma thuột, đắc lắk, vietnam|buôn ma thuột, đắc lắk, vietnam",female
7954,no workplaces to show,no schools to show,no schools to show,"di an|hue, vietnam",female
7955,gò công,no schools to show,went to thpt binh dong,gò công,female
7956,marketing at fpt telecom|marketing at fpt telecom|marketing at fpt telecom|marketing at fpt telecom|marketing at fpt telecom,studied marketing and businees management at iuh - viện đt quốc tế & sau đại học - đh công nghiệp tp.hcm,no schools to show,"ho chi minh city, vietnam|tuy hòa",female
7957,giáo viên at an giang,studied at đại học an giang,no schools to show,"angiang, an giang, vietnam",male
7958,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",no places to show,male
7959,no workplaces to show,studies công nghệ nghệ ô tô at trường cao đẳng ktkt tp hồ chí minh - cơ sở bình dương,goes to trần văn ơn high school,"ap binh duong (1), vietnam|can tho",male
7960,works at hd saison,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
7961,no workplaces to show,no schools to show,no schools to show,no places to show,male
7962,no workplaces to show,studied at đại học fpt cần thơ,"went to thpt  phan văn hùng, kế sách, sóc trăng",can tho|soc trang,male
7963,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7964,studying at thpt tân châu|studying at thpt tân châu,studies at trường đại học giao thông vận tải tp.hcm,went to thcs chu văn an|went to thcs chu văn an|went to thcs chu văn an,tân châu|tân châu,male
7965,no workplaces to show,no schools to show,no schools to show,tân châu,male
7966,no workplaces to show,no schools to show,no schools to show,no places to show,male
7967,network engineer at one communication technology corporation|network engineer at one communication technology corporation,no schools to show,went to thpt tân châu|went to thpt tân châu,"ho chi minh city, vietnam",female
7968,no workplaces to show,studies at cựu sv & sinh viên trường đại học sư phạm kỹ thuật tp.hcm,went to thcs nguyễn minh trí|went to thcs nguyễn minh trí,"ho chi minh city, vietnam|cao lãnh",male
7969,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7970,nhơn trạch - đồng nai,no schools to show,no schools to show,nhơn trạch|nhơn trạch,notknown
7971,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7972,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt võ trường toản|went to trường thpt võ trường toản|went to trường thpt võ trường toản,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
7973,no workplaces to show,studied công nghệ kỹ thuật hóa học at trường đại học nông lâm tp.hcm,went to trường trung học cơ sở long thạnh|went to trường trung học cơ sở long thạnh,tân châu|tân châu,female
7974,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
7975,no workplaces to show,no schools to show,no schools to show,no places to show,female
7976,no workplaces to show,studies at trường đại học nông lâm tp.hcm,"went to thpt vĩnh xương, tân châu, an giang",tân châu,male
7977,no workplaces to show,studied at cao đẳng fpt polytechnic|studied at cao đẳng fpt polytechnic|studied at cao đẳng fpt polytechnic,no schools to show,can tho|hồng ngự,female
7978,tân châu,studied at phòng đào tạo - trường đại học an giang,"went to thpt tân châu, an giang",no places to show,female
7979,no workplaces to show,studied at đại học tôn đức thắng,went to trường thpt nguyễn văn thoại,"ho chi minh city, vietnam|angiang, an giang, vietnam",female
