id,Workplaces,College,School,Places,Gender
10131,no workplaces to show,no schools to show,no schools to show,can tho|rach gia,notknown
10132,no workplaces to show,no schools to show,no schools to show,hồng ngự,female
10133,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam",notknown
10134,no workplaces to show,studied at trường văn hóa 1 - t35,went to học viện cảnh sát nhân dân,"hanoi, vietnam|paksé",notknown
10135,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10136,works at trường tiểu học phú lâm,no schools to show,no schools to show,"angiang, an giang, vietnam|phú lâm",notknown
10137,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10138,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
10139,no workplaces to show,no schools to show,no schools to show,no places to show,female
10140,works at châu đốc,no schools to show,went to thpt võ thị sáu,"angiang, an giang, vietnam|angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
10141,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
10142,no workplaces to show,studied at trường đại học văn lang,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
10143,no workplaces to show,studied at hutech - đại học công nghệ tp.hcm,no schools to show,"ho chi minh city, vietnam",male
10144,no workplaces to show,no schools to show,no schools to show,no places to show,female
10145,works at green+ club|works at green+ club|works at green+ club,studies y đa khoa ( general medicine ) at đh y khoa phạm ngọc thạch,went to trường thcs lê quý đôn,no places to show,female
10146,no workplaces to show,studied chemical engineering at ton duc thang university,went to thpt bình minh,"ho chi minh city, vietnam|binh minh",female
10147,no workplaces to show,studied at taylor's college,"went to smk bangsar, kuala lumpur","kuala lumpur, malaysia|ho chi minh city, vietnam",notknown
10148,no workplaces to show,no schools to show,no schools to show,"long thuan, ðồng tháp, vietnam|long thuan, ðồng tháp, vietnam",female
10149,chuyên viên tuyển dụng at bm windows,studies at đại học kinh tế tp hồ chí minh,went to thpt nguyễn thượng hiền|went to thpt nguyễn thượng hiền,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
10150,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,"went to thpt nguyễn thị minh khai, mỏ cày nam, bến tre",bến tre|mo cay,female
10151,no workplaces to show,no schools to show,no schools to show,no places to show,female
10152,no workplaces to show,studied quét rác at cao đẳng công nghệ thông tin - tp.hcm,no schools to show,"tân châu|angiang, an giang, vietnam",male
10153,no workplaces to show,no schools to show,went to trường thpt tân châu,tân châu|tân châu,female
10154,no workplaces to show,no schools to show,no schools to show,no places to show,male
10155,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10156,no workplaces to show,no schools to show,went to trường thpt nguyễn hồng đạo,no places to show,female
10157,no workplaces to show,no schools to show,no schools to show,no places to show,female
10158,no workplaces to show,no schools to show,no schools to show,no places to show,male
10159,no workplaces to show,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thcs phú lâm|went to trường thcs phú lâm,"ho chi minh city, vietnam|phú lâm, an giang, vietnam",male
10160,cao lãnh,studied at trường đại học đồng tháp,went to thpt tp cao lanh,cao lãnh|cao lãnh,female
10161,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
10162,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
10163,teaching assistants at rensei - giáo dục tư duy & kỹ năng nhật bản|teaching assistants at rensei - giáo dục tư duy & kỹ năng nhật bản,studies at khoa tiếng trung - hcmue|studies at khoa tiếng trung - hcmue,no schools to show,vung tau|thanh hóa,female
10164,works at an giang,no schools to show,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
10165,no workplaces to show,no schools to show,no schools to show,no places to show,male
10166,"phu quoc, kiến giang, vietnam",studied at tuổi trẻ trường đại học kinh tế - đhqg hn,went to thpt dương đông,"phu quoc, kiến giang, vietnam|phu quoc, kiến giang, vietnam",male
10167,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|seoul, korea",female
10168,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
10169,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
10170,dwa - divegrent web agency,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt anh sơn ii,"ho chi minh city, vietnam|vinh",notknown
10171,"works at zigexn ventura co., ltd|works at zigexn ventura co., ltd",studied at university of information technology (uit),no schools to show,no places to show,male
10172,no workplaces to show,no schools to show,no schools to show,no places to show,female
10173,"teacher at thpt tân châu, an giang",studied at đại học cần thơ,went to trường thpt tân châu,no places to show,notknown
10174,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10175,worked at đoàn - hội khoa ngân hàng ueh,studied at ueh - trường đại học kinh tế tp.hcm,"went to thpt lý thường kiệt, hòa thành tây ninh","ho chi minh city, vietnam|tây ninh",female
10176,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10177,no workplaces to show,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thpt chuyên thoại ngọc hầu|went to trường thpt chuyên thoại ngọc hầu,long xuyên|long xuyên,male
10178,content creator at etihad stadium,studied at nottingham trent university,no schools to show,"manchester, united kingdom|ho chi minh city, vietnam",notknown
10179,works at đội cộng tác viên ueh,studied at ueh - trường đại học kinh tế tp.hcm,went to thpt nguyễn văn thoại,"ho chi minh city, vietnam|angiang, an giang, vietnam",female
10180,no workplaces to show,no schools to show,no schools to show,no places to show,female
10181,works at ban phong trào - tình nguyện ueh|works at ban phong trào - tình nguyện ueh,studies at ueh - trường đại học kinh tế tp.hcm,went to thpt xuan truong,da lat,female
10182,works at châu thành 1-một góc trời riêng,no schools to show,no schools to show,sa đéc|sa đéc,male
10183,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
10184,works at shopee,studied at trường đại học tiền giang,went to trường thpt chuyên thoại ngọc hầu,"ho chi minh city, vietnam",notknown
10185,no workplaces to show,studies diễn viên kịch_điện ảnh at trường đại học sân khấu - điện ảnh tp. hồ chí minh,went to le thi pha,bao loc|can tho,female
