id,Workplaces,College,School,Places,Gender
6430,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
6431,no workplaces to show,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",no schools to show,"ho chi minh city, vietnam",female
6432,no workplaces to show,no schools to show,no schools to show,hà tĩnh,notknown
6433,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
6434,founder/manager at hellosun_clothes,no schools to show,no schools to show,no places to show,female
6435,works at ubnd xã quảng thành,no schools to show,no schools to show,"ap xa bang, vietnam|vung tau",notknown
6436,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
6437,giáo viên ngữ văn at trường thcs phú lâm,studies at trường đại học đồng tháp|studies at trường đại học đồng tháp,went to thpt cao lãnh 1|went to thpt cao lãnh 1|went to thpt cao lãnh 1|went to thpt cao lãnh 1,"cho moi, an giang|hồng ngự",female
6438,no workplaces to show,no schools to show,no schools to show,"tân châu|angiang, an giang, vietnam",notknown
6439,"hanoi, vietnam",studied kế toán at trường đại học tài chính - ngân hàng hà nội,went to thpt quang trung,hải dương|hải dương,notknown
6440,"hoc sinh at sông cầu, phú yên, việt nam|hoc sinh at sông cầu, phú yên, việt nam","studies công nghệ thông tin at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to truong trung hoc cs ly thuong kiet|went to truong trung hoc cs ly thuong kiet,"sông cầu|songkau, phú yên, vietnam",male
6441,no workplaces to show,"studies thương mại điện tử at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thcs phường bình định|went to trường thcs phường bình định|went to trường thcs phường bình định,"ho chi minh city, vietnam|quy nhon",male
6442,no workplaces to show,studied at trường đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,went to trường thpt hùng vương đồng xoài bình phước,"binh phuoc, vietnam|binh phuoc, vietnam",notknown
6443,no workplaces to show,no schools to show,no schools to show,"ấp tân phú, an giang, vietnam",notknown
6444,no workplaces to show,studied at trường đại học tiền giang,went to trường trung học phổ thông nguyễn đình chiểu,my tho,female
6445,no workplaces to show,no schools to show,no schools to show,da lat|da lat,notknown
6446,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam|tân châu",male
6447,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",female
6448,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|phú lâm",notknown
6449,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
6450,studying at cao đẳng công nghệ thủ đức,studied at cao đẳng công nghệ thủ đức,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
6451,works at hutech - đại học công nghệ tp.hcm,no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam|phú lâm, an giang, vietnam",male
