id,Workplaces,College,School,Places,Gender
8742,no workplaces to show,no schools to show,went to trung hoc co so phu lam,"phú lâm, an giang, vietnam|phú lâm, an giang, vietnam",female
8743,,,,,
8744,,,,,
8745,,,,,
8746,no workplaces to show,studied at nttu - đại học nguyễn tất thành,no schools to show,long khanh|long khanh,notknown
8747,,,,,
8748,no workplaces to show,no schools to show,no schools to show,"xom met lung, kiến giang, vietnam|vinh phu, kiến giang, vietnam",notknown
8749,,,,,
8750,,,,,
8751,,,,,
8752,,,,,
8753,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
8754,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8755,viet tri,no schools to show,no schools to show,no places to show,notknown
8756,,,,,
8757,,,,,
8758,,,,,
8759,no workplaces to show,studied ngôn ngữ anh at đoàn hội ngoại ngữ - đại học mở tphcm,no schools to show,no places to show,notknown
8760,,,,,
8761,,,,,
8762,,,,,
8763,no workplaces to show,studied at thcs long thạnh|studied at thcs long thạnh,went to trường trung học phổ thông tân châu|went to trường trung học phổ thông tân châu|went to trường trung học phổ thông tân châu,tân châu|tân châu,female
8764,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8765,,,,,
8766,,,,,
8767,,,,,
8768,,,,,
8769,,,,,
8770,no workplaces to show,no schools to show,no schools to show,no places to show,male
8771,,,,,
8772,works at bệnh viện đa khoa 115 nghệ an,no schools to show,went to trường thpt nam đàn 2,"nam �àn, nghệ an, vietnam",female
8773,,,,,
8774,,,,,
8775,no workplaces to show,studied ngành quản trị khách sạn — khoa du lịch at cao đẳng du lịch sài gòn,no schools to show,"ho chi minh city, vietnam",female
8776,,,,,
8777,,,,,
8778,no workplaces to show,studies at ueh - trường đại học kinh tế tp.hcm|studies at ueh - trường đại học kinh tế tp.hcm,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam",female
8779,,,,,
8780,,,,,
8781,,,,,
8782,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8783,"ho chi minh city, vietnam",studied at đại học văn hiến,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
8784,,,,,
8785,no workplaces to show,studied at cựu sv & sinh viên trường đại học sư phạm kỹ thuật tp.hcm,no schools to show,da lat|da lat,notknown
8786,,,,,
8787,no workplaces to show,no schools to show,no schools to show,can tho,notknown
8788,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu",notknown
8789,no workplaces to show,studied at pkh,went to thpt long châu sa,"phu tho, phú thọ, vietnam|phu tho, phú thọ, vietnam",notknown
8790,tân châu,"studied at thpt tân châu, an giang",no schools to show,"tân châu|phu vinh, an giang, vietnam",notknown
8791,,,,,
8792,,,,,
8793,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8794,,,,,
8795,no workplaces to show,studied đại học sư phạm mỹ thuật at đại học an giang,went to thpt bình khánh,no places to show,female
8796,,,,,
8797,,,,,
8798,,,,,
8799,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8800,no workplaces to show,studied at sthc - saigontourist hospitality college,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
8801,works at đại học công nghệ sài gòn - saigon technology university,no schools to show,no schools to show,no places to show,notknown
8802,,,,,
8803,works at trường thpt long trường,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
8804,no workplaces to show,studied chuyên nghành kĩ thật chế biến món ăn at hướng nghiệp á âu,went to trường thpt tôn đức thắng,"ho chi minh city, vietnam|gia lai, gia lai, vietnam",notknown
8805,no workplaces to show,no schools to show,"went to thpt nguyễn thị minh khai, mỏ cày nam, bến tre|went to thpt nguyễn thị minh khai, mỏ cày nam, bến tre",bến tre|bến tre,female
8806,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8807,former teacher at thpt vĩnh xương,no schools to show,no schools to show,"tân châu|cho moi, an giang",female
8808,,,,,
8809,works at du lịch festival,no schools to show,no schools to show,no places to show,female
8810,,,,,
8811,no workplaces to show,no schools to show,no schools to show,no places to show,male
8812,no workplaces to show,studies kỹ thuật xét nghiệm y học at nam can tho university,no schools to show,can tho,female
8813,trợ giảng at học viện ams|trợ giảng at học viện ams,studies mc - voice talent at học viện ams|studies mc - voice talent at học viện ams,goes to thpt xuân lộc,"xuân lộc, ðồng nai, vietnam|thái bình",female
8814,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
8815,,,,,
8816,,,,,
8817,no workplaces to show,studied at cựu sv & sinh viên trường đại học sư phạm kỹ thuật tp.hcm,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
8818,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8819,,,,,
8820,no workplaces to show,no schools to show,no schools to show,tân châu,female
8821,,,,,
8822,,,,,
8823,,,,,
8824,trung tâm đào tạo vận động viên cấp cao hà nội,no schools to show,went to trường phổ thông năng khiếu tdtt hà nội,"hanoi, vietnam",notknown
8825,,,,,
8826,works at binh duong - viet nam,no schools to show,no schools to show,"ho chi minh city, vietnam|phum phnom den, takev, cambodia",male
8827,,,,,
8828,works at thpt thiệu hóa,no schools to show,no schools to show,thanh hóa|thanh hóa,male
8829,,,,,
8830,no workplaces to show,no schools to show,goes to truong thcs phu thuan b,no places to show,female
8831,,,,,
8832,học sinh ngoan-hiền-lễ phép at đồng tháp|học sinh ngoan-hiền-lễ phép at đồng tháp,studied bác sĩ đa khoa ( medical doctor) at nam can tho university,no schools to show,"can tho|tràm chim, ðồng tháp, vietnam",female
8833,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8834,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8835,,,,,
8836,no workplaces to show,studied việt nam học (khoa văn hóa - du lịch) at an giang university,went to trường thpt tân châu,"angiang, an giang, vietnam|tân châu",male
8837,no workplaces to show,no schools to show,no schools to show,no places to show,male
8838,,,,,
8839,,,,,
8840,,,,,
8841,,,,,
8842,,,,,
8843,,,,,
8844,,,,,
8845,,,,,
8846,administrative director at ute tv - kênh truyền hình trường đại học sư phạm kỹ thuật tphcm|administrative director at ute tv - kênh truyền hình trường đại học sư phạm kỹ thuật tphcm,studies at ute tv - kênh truyền hình trường đại học sư phạm kỹ thuật tphcm,went to trường thcs & thpt mỹ quý,no places to show,notknown
8847,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8848,no workplaces to show,studies at trường đại học tài chính - marketing|studies at trường đại học tài chính - marketing,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
