id,Workplaces,College,School,Places,Gender
2462,no workplaces to show,no schools to show,no schools to show,"lộc ninh, bìn phước, vietnam|hue, vietnam",notknown
2463,works at tiktok,no schools to show,no schools to show,no places to show,notknown
2464,no workplaces to show,no schools to show,no schools to show,"vung tau|chaudok, an giang, vietnam",female
2465,model at vietcharm|model at vietcharm|model at vietcharm|model at vietcharm,studies at đại học y dược huế - hue university of medicine and pharmacy|studies at đại học y dược huế - hue university of medicine and pharmacy,went to trường thpt chuyên lê quý đôn ninh thuận,"phan rang-tháp chàm, ninh thuận, vietnam",notknown
2466,tân châu,no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu",male
2467,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2468,no workplaces to show,studied at trường đại học cần thơ,no schools to show,no places to show,male
2469,đào tạo hlv yoga & pilates at mt-life yoga & pilates|đào tạo hlv yoga & pilates at mt-life yoga & pilates|đào tạo hlv yoga & pilates at mt-life yoga & pilates|đào tạo hlv yoga & pilates at mt-life yoga & pilates|đào tạo hlv yoga & pilates at mt-life yoga & pilates|đào tạo hlv yoga & pilates at mt-life yoga & pilates,no schools to show,no schools to show,"ho chi minh city, vietnam|quang ngai",male
2470,works at thpt tầm vu 3,studied at trường đại học cần thơ,"went to thpt tân châu, an giang",can tho|can tho,female
2471,no workplaces to show,studied at hutech - đại học công nghệ tp.hcm|studied at hutech - đại học công nghệ tp.hcm,no schools to show,da lat,notknown
2472,works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",male
2473,tân châu,no schools to show,"went to thpt tân châu, an giang","angiang, an giang, vietnam|tân châu",male
2474,works at thpt long thanh - long thanh high school,no schools to show,went to thpt long thanh - long thanh high school,long thành|long thành,male
2475,no workplaces to show,no schools to show,went to nuestra señora de monte grande,"monte grande, buenos aires|buenos aires, argentina",male
2476,works at thcs lam son 2 - quan 6,studied at thcs lam son 2 - quan 6,went to thcs lam son 2 - quan 6,"cho lon|long an, tiền giang, vietnam",female
2477,no workplaces to show,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thcs lê ngọc hân - mỹ tho - tiền giang|went to thcs lê ngọc hân - mỹ tho - tiền giang,"ho chi minh city, vietnam|quang ngai",male
2478,former học sinh at trường thpt nguyễn hồng đạo,studied at học viện hải quân|studied at học viện hải quân,no schools to show,phù cát,male
2479,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam|chaudok, an giang, vietnam",male
2480,tân châu,studied at trường đại học luật thành phố hồ chí minh,no schools to show,hồng ngự|tân châu,female
2481,no workplaces to show,no schools to show,no schools to show,no places to show,male
2482,works at jinhit entertainment,no schools to show,no schools to show,"seoul, korea|busan, south korea",notknown
2483,works at trường thpt lai vung 1,studied at ăn rồi báo,"went to thpt  lai vung 1, lai vung, đồng tháp",lai vung|lai vung,male
2484,self-employed,no schools to show,no schools to show,"long xuyên|ấp tân phú, an giang, vietnam",male
2485,no workplaces to show,"studies công nghệ thông tin at trường đại học công nghệ thông tin, đh quốc gia tphcm","went to thpt chuyên nguyễn bỉnh khiêm, quảng nam|went to thpt chuyên nguyễn bỉnh khiêm, quảng nam",tam ky|tam ky,male
2486,works at trung tâm dịch vụ sinh viên - đại học sư phạm kỹ thuật tp.hcm|works at trung tâm dịch vụ sinh viên - đại học sư phạm kỹ thuật tp.hcm|works at trung tâm dịch vụ sinh viên - đại học sư phạm kỹ thuật tp.hcm,studies logistics and supply chain  management at trường đại học sư phạm kỹ thuật thành phố hồ chí minh,went to trường thcs huỳnh thúc kháng,tuy hòa|tuy hòa,male
2487,no workplaces to show,no schools to show,no schools to show,no places to show,male
2488,no workplaces to show,studies at hcmc university of technology - đại học bách khoa thành phố hồ chí minh,went to trường thpt phan chu trinh - sông cầu - phú yên,"thủ đức, hồ chí minh, vietnam|songkau, phú yên, vietnam",male
2489,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
2490,no workplaces to show,no schools to show,went to thpt tân châu,tân châu|tân châu,female
2491,"ho chi minh city, vietnam|ho chi minh city, vietnam|ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|quang ngai",male
