id,Workplaces,College,School,Places,Gender
962,no workplaces to show,studies at nttu - đại học nguyễn tất thành,no schools to show,no places to show,notknown
963,no workplaces to show,studied at thcs long son,no schools to show,"ho chi minh city, vietnam|long thuan, ðồng tháp, vietnam",female
964,no workplaces to show,no schools to show,went to truong trung hoc co so thanh tung,"ho chi minh city, vietnam|cà mau",notknown
965,,,,,
966,no workplaces to show,no schools to show,no schools to show,quang ngai,female
967,no workplaces to show,studies quản trị dịch vụ du lich và lữ hành at thang long university,no schools to show,"hanoi, vietnam|hanoi, vietnam",female
968,no workplaces to show,no schools to show,no schools to show,no places to show,male
969,no workplaces to show,no schools to show,no schools to show,can tho,male
970,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
971,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
972,works at đại học thương mại,studied at đại học thương mại,went to sài gòn,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
973,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",female
974,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",no places to show,female
975,works at binh duong - viet nam,no schools to show,no schools to show,"phú lâm, an giang, vietnam|phú lâm, an giang, vietnam",female
976,no workplaces to show,no schools to show,goes to trường trung học phổ thông nguyễn đình chiểu,my tho|my tho,female
977,no workplaces to show,no schools to show,no schools to show,tân châu,female
978,"nhân viên kinh doanh, sale, at home credit|nhân viên kinh doanh, sale, at home credit|nhân viên kinh doanh, sale, at home credit",no schools to show,"went to thpt nguyễn hồng đạo,phù cát,bình định",phù cát|phù cát,male
979,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",female
980,no workplaces to show,studied at cộng đồng sinh viên trường cao đẳng kỹ thuật cao thắng,went to trường thpt phan văn đạt,"tân an, long an|tân an, long an|tân an, long an",notknown
981,no workplaces to show,no schools to show,no schools to show,"tân an, long an",male
982,works at thpt chu văn an - an giang,no schools to show,no schools to show,"phu my, an giang, vietnam|angiang, an giang, vietnam",notknown
