id,Workplaces,College,School,Places,Gender
8329,rót trà và tưới cây at smlatelier thiết kế & thi công|rót trà và tưới cây at smlatelier thiết kế & thi công|rót trà và tưới cây at smlatelier thiết kế & thi công|rót trà và tưới cây at smlatelier thiết kế & thi công,studied kiến trúc at trường x,went to đại học tôn đức thắng|went to đại học tôn đức thắng,"gia lai, gia lai, vietnam|hue, vietnam",male
8330,,,,,
8331,no workplaces to show,no schools to show,"went to thpt nguyễn chí thanh, chợ vàm, phú tân, an giang","seoul, korea",female
8332,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8333,,,,,
8334,,,,,
8335,no workplaces to show,studied at phòng đào tạo - trường cao đẳng nghề an giang,no schools to show,long xuyên,notknown
8336,,,,,
8337,bartender at a&em hotels|bartender at a&em hotels|bartender at a&em hotels|bartender at a&em hotels|bartender at a&em hotels,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",male
8338,,,,,
8339,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8340,,,,,
8341,,,,,
8342,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
8343,nhân viên,studied graphic design at bách việt college,"went to thpt chuẩn quốc gia võ trường toản - p. hiệp thành, q12, tp. hcm","siem reap|cui phì phìn, lai châu, vietnam",male
8344,,,,,
8345,,,,,
8346,,,,,
8347,no workplaces to show,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",no schools to show,"ho chi minh city, vietnam|quy nhon",notknown
8348,,,,,
8349,no workplaces to show,no schools to show,goes to trường thcs phú lâm|goes to trường thcs phú lâm,"angiang, an giang, vietnam|phulambri",notknown
8350,no workplaces to show,no schools to show,no schools to show,"ap binh khanh, vietnam",notknown
8351,"works at châu thành, an giang",studied at trường đại học an giang,no schools to show,"angiang, an giang, vietnam",notknown
8352,bán hàng,no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu",notknown
8353,no workplaces to show,studied at đại học tôn đức thắng,no schools to show,"ho chi minh city, vietnam|tân châu",female
8354,,,,,
8355,tân châu,no schools to show,went to trường thpt tân châu,long xuyên,male
8356,no workplaces to show,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt phước bình- binh phuoc,"binh phuoc, vietnam|binh phuoc, vietnam",male
8357,"hanoi, vietnam",no schools to show,no schools to show,"hanoi, vietnam|hanoi, vietnam",female
8358,no workplaces to show,no schools to show,no schools to show,"thanh hóa|hoang trung, thanh hóa, vietnam|thanh hóa",notknown
8359,no workplaces to show,no schools to show,no schools to show,no places to show,female
8360,no workplaces to show,no schools to show,no schools to show,hồng ngự|hồng ngự,notknown
8361,,,,,
8362,,,,,
8363,works at du lịch di sản hà nội,no schools to show,went to hanoi – amsterdam high school,"hanoi, vietnam|hanoi, vietnam",notknown
8364,works at việc làm tự do,no schools to show,no schools to show,"tuy an, phú yên, vietnam",male
8365,,,,,
8366,no workplaces to show,studies at trường đại học bách khoa tp. hồ chí minh|studies at trường đại học bách khoa tp. hồ chí minh,no schools to show,"mitho, tiền giang, vietnam",female
8367,,,,,
8368,,,,,
8369,no workplaces to show,no schools to show,no schools to show,"phu quoc, kiến giang, vietnam|tân châu",notknown
8370,no workplaces to show,studied công nghệ kĩ thuật nhiệt - lạnh at trường đại học công nghiệp tp-hcm,went to thpt so 2 phu my|went to thpt so 2 phu my,"mizunami, gifu|binh dinh, nghia binh, vietnam",male
8371,no workplaces to show,no schools to show,no schools to show,tu nghia|tu nghia,female
8372,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8373,no workplaces to show,no schools to show,no schools to show,"long thuan, ðồng tháp, vietnam",notknown
8374,no workplaces to show,no schools to show,no schools to show,can tho,notknown
8375,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8376,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8377,no workplaces to show,studied at trường đại học y khoa phạm ngọc thạch,no schools to show,no places to show,notknown
8378,,,,,
8379,,,,,
8380,,,,,
8381,works at kaekwondo|works at kaekwondo,studied at trường thcs nam đà krông nô đắk nông|studied at trường thcs nam đà krông nô đắk nông|studied at trường thcs nam đà krông nô đắk nông,went to thpt krông nô|went to thpt krông nô|went to thpt krông nô,buon me thuot|hà tĩnh,female
8382,no workplaces to show,studies at an giang university,no schools to show,no places to show,notknown
8383,,,,,
8384,,,,,
8385,works at toyota phú mỹ hưng - tpmh,no schools to show,went to thcs kim hồng,"ho chi minh city, vietnam|cao lãnh",male
8386,tân châu,no schools to show,no schools to show,tân châu|tân châu,male
8387,,,,,
8388,nhân viên tư vấn bán hàng at siêu thị điện máy - nội thất chợ lớn|nhân viên tư vấn bán hàng at siêu thị điện máy - nội thất chợ lớn,no schools to show,no schools to show,"củ chi, hồ chí minh, vietnam|can tho",male
8389,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8390,,,,,
8391,no workplaces to show,no schools to show,no schools to show,quang ngai,notknown
8392,,,,,
8393,,,,,
8394,works at đội công tác xã hội ufm|works at đội công tác xã hội ufm|works at đội công tác xã hội ufm,studies at trường đại học tài chính - marketing,went to trường thpt cái bè,"ho chi minh city, vietnam|cái bè",male
8395,no workplaces to show,studies at trường đại học nông lâm tp.hcm,no schools to show,biên hòa|biên hòa,notknown
8396,,,,,
8397,,,,,
8398,"worked at thpt nguyễn chí thanh, phú tân, an giang",no schools to show,"went to thpt nguyễn chí thanh, chợ vàm, phú tân, an giang","long xuyên|angiang, an giang, vietnam",male
8399,,,,,
8400,no workplaces to show,studied at des moines area community college,"went to trường thpt bùi thị xuân, đà lạt","ho chi minh city, vietnam|da lat",male
8401,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8402,no workplaces to show,studied at hutech - đại học công nghệ tp.hcm,no schools to show,tân châu|tân châu,notknown
8403,,,,,
8404,công ty tnhh tm dv mỹ phẩm đan thy,no schools to show,no schools to show,"can duoc|angiang, an giang, vietnam",female
8405,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8406,works at thpt thủ khoa nghĩa,studied at an giang university,no schools to show,"chaudok, an giang, vietnam|chaudok, an giang, vietnam",male
8407,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8408,works at young global leader|works at young global leader,studied kỹ thuật xây dựng 📐📏👷 at trường đại học bách khoa - đh quốc gia tp.hcm,went to trường thpt bình hưng hoà - quận bình tân,"ho chi minh city, vietnam|bac lieu",notknown
8409,,,,,
8410,,,,,
8411,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8412,,,,,
8413,no workplaces to show,studies văn học at an giang university,"went to thpt tân châu, tân châu, an giang|went to thpt tân châu, tân châu, an giang","long xuyên|angiang, an giang, vietnam",female
8414,works at hutech - đại học công nghệ tp.hcm|works at hutech - đại học công nghệ tp.hcm,studied pharmacy at hutech - đại học công nghệ tp.hcm,"went to thpt long khánh a,hồng ngự,đồng tháp","ho chi minh city, vietnam|hồng ngự",female
8415,no workplaces to show,studied kế toán at an giang university,"went to thpt tân châu, an giang",long xuyên|long xuyên,female
8416,,,,,
8417,,,,,
8418,no workplaces to show,no schools to show,no schools to show,no places to show,male
8419,works at thành phố hồ chí minh,no schools to show,no schools to show,"ho chi minh city, vietnam",female
8420,,,,,
8421,đồng nai province,no schools to show,no schools to show,"ho chi minh city, vietnam|long thuan, ðồng tháp, vietnam",female
8422,"gera, germany",no schools to show,"went to thpt tân châu, an giang","ho chi minh city, vietnam",notknown
8423,,,,,
8424,,,,,
8425,,,,,
8426,,,,,
8427,,,,,
8428,,,,,
8429,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,male
8430,,,,,
8431,,,,,
8432,giáo viên.  trường mẫu giáo phú lâm|giáo viên.  trường mẫu giáo phú lâm,studied at phòng đào tạo - trường đại học an giang,"went to thpt nguyễn chí thanh, phú tân, an giang","angiang, an giang, vietnam|angiang, an giang, vietnam",female
8433,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
8434,no workplaces to show,no schools to show,no schools to show,no places to show,male
8435,,,,,
8436,no workplaces to show,studied at ueh - trường đại học kinh tế tp.hcm,no schools to show,"ho chi minh city, vietnam|buon me thuot",notknown
8437,,,,,
8438,,,,,
8439,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8440,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",ben cat|tân châu,notknown
8441,no workplaces to show,no schools to show,no schools to show,hồng ngự,male
8442,no workplaces to show,no schools to show,no schools to show,"củ chi, hồ chí minh, vietnam|giong rieng",notknown
8443,,,,,
8444,,,,,
8445,,,,,
8446,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu",notknown
8447,no workplaces to show,no schools to show,went to trường thpt nguyễn an ninh _ confessions|went to trường thpt nguyễn an ninh _ confessions,"di an|nam định, nam định, vietnam",male
8448,,,,,
8449,,,,,
8450,,,,,
8451,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8452,,,,,
8453,,,,,
8454,,,,,
8455,,,,,
8456,,,,,
8457,,,,,
8458,works at ♠♣♦♥☻♫♫♫▓▓ăn hàng»—»ở không▓▓ ♪♪♪đi chơi,no schools to show,no schools to show,no places to show,notknown
8459,,,,,
8460,,,,,
8461,,,,,
8462,no workplaces to show,studies at đại học sư phạm kỹ thuật tp.hcm,went to trường thpt nguyễn văn thoại,"ho chi minh city, vietnam|long xuyên",notknown
8463,no workplaces to show,studies at trường đại học ngân hàng tp. hồ chí minh - hub,no schools to show,no places to show,notknown
8464,,,,,
8465,,,,,
8466,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8467,"củ chi, hồ chí minh, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
8468,,,,,
8469,no workplaces to show,no schools to show,no schools to show,"ấp tân phú, an giang, vietnam|angiang, an giang, vietnam",notknown
8470,,,,,
8471,,,,,
8472,,,,,
8473,no workplaces to show,"studies at trường đại học khoa học tự nhiên, đại học quốc gia tp.hcm",no schools to show,ba tri|ba tri,male
8474,,,,,
8475,,,,,
8476,works at nhà của nắng,no schools to show,"went to thpt tân châu, an giang",can tho|tân châu,female
8477,,,,,
8478,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
8479,,,,,
8480,,,,,
8481,,,,,
8482,,,,,
8483,no workplaces to show,no schools to show,"went to thpt nguyễn thái học, chư pưh, gia lai",bắc ninh,female
8484,,,,,
8485,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
8486,no workplaces to show,no schools to show,went to th thcs thpt ngô thời nhiệm,"ho chi minh city, vietnam|ninh bình",male
8487,,,,,
8488,,,,,
8489,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8490,,,,,
8491,,,,,
