id,Workplaces,College,School,Places,Gender
5530,no workplaces to show,no schools to show,goes to thpt hồng ngự 3,"ho chi minh city, vietnam|hồng ngự",female
5531,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
5532,no workplaces to show,studied mỹ thuật at an giang university,went to thpt an phu,"angiang, an giang, vietnam",male
5533,boss banhhenails and makeup,studied at tín đồ nails,went to thpt hùng vương,"ho chi minh city, vietnam",female
5534,writer at khiết thanh,no schools to show,no schools to show,"ho chi minh city, vietnam|vung tau",male
5535,no workplaces to show,no schools to show,no schools to show,"dubai, united arab emirates|ho chi minh city, vietnam",notknown
5536,no workplaces to show,studies at hutech - đại học công nghệ tp.hcm,"went to thpt tân châu, tân châu, an giang","phú lâm, an giang, vietnam",female
5537,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",male
5538,no workplaces to show,no schools to show,no schools to show,cao lãnh|cao lãnh,female
5539,no workplaces to show,no schools to show,no schools to show,no places to show,female
5540,no workplaces to show,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam",male
5541,no workplaces to show,no schools to show,no schools to show,no places to show,male
5542,làm việc tại tik tok,studies at trường thcs phú lâm,no schools to show,"angiang, an giang, vietnam|phú lâm",notknown
5543,no workplaces to show,no schools to show,went to thpt trần phú - đà lạt,da lat|da lat,male
5544,no workplaces to show,no schools to show,no schools to show,"buon me thuot|ho chi minh city, vietnam",notknown
5545,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",female
5546,no workplaces to show,no schools to show,no schools to show,"ấp phú hữu, an giang, vietnam|ấp phú hữu, an giang, vietnam",male
5547,no workplaces to show,no schools to show,no schools to show,no places to show,male
5548,no workplaces to show,studies at ueh - trường đại học kinh tế tp.hcm|studies at ueh - trường đại học kinh tế tp.hcm,went to thpt nguyễn văn linh,tuy hòa|dong hoa,notknown
5549,works at nhà báo,studied at an giang university,no schools to show,"chaudok, an giang, vietnam|chaudok, an giang, vietnam",notknown
5550,no workplaces to show,studies công nghệ thông tin (chất lượng cao định hướng nhật bản at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt lộc ninh - bình phước|went to trường thpt lộc ninh - bình phước,"lộc ninh, bìn phước, vietnam|lộc ninh, bìn phước, vietnam",male
5551,works at tắc xí muội,studied at cựu sv & sinh viên trường đại học sư phạm kỹ thuật tp.hcm,went to cao lãnh,"thủ đức, hồ chí minh, vietnam|cao lãnh",female
5552,no workplaces to show,no schools to show,went to trường trung học cơ sở phú lâm,"angiang, an giang, vietnam",notknown
5553,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,female
5554,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam|vĩnh long",female
5555,no workplaces to show,studied cn kĩ thuật in at trường đại học sư phạm kĩ thuật thành phố hcm,went to thpt phan chu trinh,"ho chi minh city, vietnam|songkau, phú yên, vietnam",notknown
5556,làm biếng at sài gòn,no schools to show,no schools to show,no places to show,male
5557,no workplaces to show,studied at ♥ i need allah in my life ♥|studied at ♥ i need allah in my life ♥,no schools to show,yeongdeungpo district|gwanak district,notknown
5558,junior sales executive at in-credible: digital printing on garments|junior sales executive at in-credible: digital printing on garments|junior sales executive at in-credible: digital printing on garments|junior sales executive at in-credible: digital printing on garments|junior sales executive at in-credible: digital printing on garments|junior sales executive at in-credible: digital printing on garments,studies international business at đại học tôn đức thắng,went to trường thpt tôn đức thắng,"buôn ma thuột, đắc lắk, vietnam",female
5559,no workplaces to show,no schools to show,no schools to show,no places to show,female
5560,football coach at arsenal|football coach at arsenal|football coach at arsenal,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trung hoc co so phuong binh dinh,no places to show,male
5561,no workplaces to show,no schools to show,no schools to show,long xuyên|tân châu,male
5562,studying at cambrian college,no schools to show,went to rick hansen secondary school (mississauga)|went to rick hansen secondary school (mississauga),"sudbury, ontario|rach gia",male
5563,no workplaces to show,studied at trường thpt nhơn trạch,no schools to show,"nhon trach|phuoc an, vietnam",male
5564,no workplaces to show,studied at ueh - trường đại học kinh tế tp.hcm,no schools to show,"ho chi minh city, vietnam",notknown
5565,no workplaces to show,studied công nghệ thông tin at hutech - đại học công nghệ tp.hcm,no schools to show,no places to show,notknown
5566,no workplaces to show,no schools to show,no schools to show,vung tau,male
5567,no workplaces to show,studied lưu trữ học & quản trị văn phòng at trường đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,no schools to show,"ho chi minh city, vietnam|là ngà, vietnam",notknown
5568,hàm thuận nam,no schools to show,no schools to show,no places to show,notknown
5569,no workplaces to show,studied phục hình răng at đại học y dược tp hồ chí minh,"went to thpt tân châu, an giang","angiang, an giang, vietnam",female
5570,no workplaces to show,studies at trường đại học luật tp. hồ chí minh,went to thpt chuyên nguyễn tất thành - kontum,"ho chi minh city, vietnam|kon tum",notknown
5571,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
5572,works at học viện công nghệ thông tin act,studies information security at học viện kỹ thuật mật mã - kma|studies information security at học viện kỹ thuật mật mã - kma,no schools to show,"hanoi, vietnam|hải dương",female
5573,works at chiêm hóa - tuyên quang,no schools to show,no schools to show,"tuyên quang, tuyên quang, vietnam|tuyên quang, tuyên quang, vietnam",male
5574,no workplaces to show,studies at trường đại học tài chính - marketing,"went to thpt huỳnh tấn phát, bình đại, bến tre",no places to show,female
5575,bic marking online|bic marking online|bic marking online,studied at hutech - đại học công nghệ tp.hcm,went to hongbang confession,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
5576,works at mcv corporation,studied at đại học fpt cần thơ,no schools to show,"ho chi minh city, vietnam|can tho",male
5577,works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
5578,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",female
5579,cầu thủ bóng đá topenlanp bình định,no schools to show,went to truong nang khieu tdtt an giang|went to truong nang khieu tdtt an giang|went to truong nang khieu tdtt an giang,long xuyên|thanh hóa,male
5580,works at duy barber|works at duy barber|works at duy barber|works at duy barber,no schools to show,went to trường thpt phan chu trinh - sông cầu - phú yên,nha trang|nha trang,notknown
5581,works at thành phố hồ chí minh,studied at trường đh khoa học & tự nhiên tp.hcm,went to trường thpt thanh tuyền,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
5582,no workplaces to show,no schools to show,no schools to show,no places to show,female
5583,"ho chi minh city, vietnam",studied at hội quán sinh viên đại học giao thông vận tải phân hiệu tại tp.hcm,went to nguyen chi thanh an giang,"long xuyên|angiang, an giang, vietnam",female
5584,no workplaces to show,studied kỹ thuật điện-điện tử at trường đại học giao thông vận tải tp.hcm,went to thpt trần văn hoài,"ho chi minh city, vietnam|my tho",notknown
5585,no workplaces to show,no schools to show,no schools to show,bến tre,notknown
5586,works at vnpt - vinaphone quảng trị,no schools to show,no schools to show,dong ha,female
5587,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|thanh an, gia lai, vietnam",notknown
5588,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|cái bè",notknown
5589,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
5590,no workplaces to show,studied at đại học tôn đức thắng,no schools to show,"ho chi minh city, vietnam",notknown
5591,no workplaces to show,no schools to show,no schools to show,hồng ngự,female
5592,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
5593,quy nhon,studies legal english at trường đại học luật tp. hồ chí minh|studies legal english at trường đại học luật tp. hồ chí minh|studies legal english at trường đại học luật tp. hồ chí minh,went to học sinh thpt thủ đức|went to học sinh thpt thủ đức|went to học sinh thpt thủ đức,"quy nhon|ho chi minh city, vietnam|hanoi, vietnam",female
5594,"phnompenh at tân châu, an giang|phnompenh at tân châu, an giang|phnompenh at tân châu, an giang","studied phnom phenh - cambodia at thpt tân châu, an giang",went to trường thpt phú nhuận,phnom penh|phnom penh,female
5595,works at fpt telecom,no schools to show,went to cựu học sinh trường thpt bùi dục tài,"hue, vietnam|quảng trị",notknown
5596,tân châu,no schools to show,no schools to show,tân châu|tân châu,male
5597,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
5598,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
5599,no workplaces to show,no schools to show,no schools to show,tân uyên|hồng ngự,female
5600,no workplaces to show,no schools to show,no schools to show,kon tum|kon tum,female
5601,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|taipei, taiwan|tourdongnama.com",female
5602,no workplaces to show,no schools to show,no schools to show,"an giang (4), nghia binh, vietnam",female
5603,no workplaces to show,no schools to show,went to thpt đức trí,tân châu|tân châu,female
5604,tư vấn at thế giới di động (thegioididong.com),studied at trường đại học sư phạm kĩ thuật vinh long,went to thpt le thanh mung tra on vinh long,"ho chi minh city, vietnam|vĩnh long",male
5605,no workplaces to show,studied at hub fanclub - trường đại học ngân hàng tp. hồ chí minh,no schools to show,"ho chi minh city, vietnam",notknown
5606,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
5607,works at clb mc - hoạt náo fct- mccc,studied tourism and travel services management_quản trị dịch vụ du lịch và lữ hành_ at iuh - trường đại học công nghiệp tp.hcm|studied tourism and travel services management_quản trị dịch vụ du lịch và lữ hành_ at iuh - trường đại học công nghiệp tp.hcm,went to học sinh thpt xuân thọ,"ho chi minh city, vietnam|xuân lộc, ðồng nai, vietnam",male
