id,Workplaces,College,School,Places,Gender
12082,works at trường thcs vĩnh thạnh trung 2,studied k25 sư phạm tiêng pháp at trường đại học cần thơ|studied k25 sư phạm tiêng pháp at trường đại học cần thơ,went to thpt chau phu,"chau phú, an giang, vietnam|chau phú, an giang, vietnam",notknown
12083,no workplaces to show,no schools to show,no schools to show,"trang bom|angiang, an giang, vietnam",notknown
12084,no workplaces to show,studied at an giang university,no schools to show,tân châu|tân châu,female
12085,no workplaces to show,"studies at trường đại học y - dược, đại học thái nguyên|studies at trường đại học y - dược, đại học thái nguyên",went to trường thpt tân châu,"angiang, an giang, vietnam|angiang, an giang, vietnam",male
12086,works at thành phố cần thơ|works at thành phố cần thơ,no schools to show,went to thpt thới lai - not official,"thoi lai, vietnam|can tho",notknown
12087,no workplaces to show,no schools to show,no schools to show,no places to show,female
12088,no workplaces to show,no schools to show,goes to trường thpt nguyễn trãi - quảng bình,"hanoi, vietnam|bo trach",female
12089,no workplaces to show,studies at trường đại học giao thông vận tải tp.hcm,no schools to show,"xuân lộc, ðồng nai, vietnam",female
12090,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
12091,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
12092,works at xí nghiệp cơ khí ô tô an lạc - samco an lạc,studied at khoa cơ khí - cao đẳng gtvt tw 1,no schools to show,"ho chi minh city, vietnam",notknown
12093,no workplaces to show,studied at vũ linh hiast,went to trường thpt ngọc lặc,thanh hóa,female
12094,works at đất việt vnt|works at đất việt vnt|works at đất việt vnt|works at đất việt vnt,studied at ueh - trường đại học kinh tế tp.hcm|studied at ueh - trường đại học kinh tế tp.hcm,no schools to show,"ho chi minh city, vietnam",notknown
12095,no workplaces to show,studied an toàn thông tin at đh công nghệ thông tin - đh quốc gia tphcm,went to trường thpt chuyên hùng vương - gia laip,"tinh pleiku, gia lai, vietnam",female
12096,no workplaces to show,no schools to show,no schools to show,"shanghai, china|shanghai, china",notknown
12097,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
12098,no workplaces to show,no schools to show,"went to trường thcs trần phú, thành phố thái bình","angiang, an giang, vietnam|angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
12099,no workplaces to show,studies y khoa at đại học y khoa phạm ngọc thạch,no schools to show,no places to show,notknown
12100,founder/manager at the 1seven,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",male
12101,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
12102,engineer at tma solutions|engineer at tma solutions|engineer at tma solutions|engineer at tma solutions|engineer at tma solutions|engineer at tma solutions,studies công nghệ thông tin at hutech - đại học công nghệ tp.hcm,no schools to show,"ho chi minh city, vietnam|tân châu",female
12103,no workplaces to show,no schools to show,goes to thpt đức trí,tân châu|tân châu,male
12104,long xuyên,no schools to show,no schools to show,long xuyên|long xuyên,male
12105,no workplaces to show,studied at đại học công nghệ sài gòn - saigon technology university,no schools to show,"ho chi minh city, vietnam",male
12106,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
12107,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
12108,bắc ninh,studied at thpt nguyễn việt khái - cà mau,went to thpt cà mau,bắc ninh|bắc ninh,male
12109,cộng tác viên enews,studies at trường đại học an giang (an giang university),went to thpt nguyễn chí thanh,"angiang, an giang, vietnam|long xuyên",notknown
12110,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam|chaudok, an giang, vietnam",notknown
12111,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu|tp vũng tàu, bà rịa - vũng tàu",female
12112,works at meta|works at meta,studied at an giang university|studied at an giang university,no schools to show,no places to show,male
12113,no workplaces to show,studies quản trị kinh doanh at hufi - đại học công nghiệp thực phẩm tp.hcm|studies quản trị kinh doanh at hufi - đại học công nghiệp thực phẩm tp.hcm,no schools to show,biên hòa|long khanh,notknown
12114,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
12115,no workplaces to show,no schools to show,no schools to show,vung tau|vung tau,male
12116,hồng ngự|hồng ngự,studied hotel and toursim management at trường đại học văn lang,no schools to show,no places to show,female
12117,no workplaces to show,studied at an giang university,no schools to show,no places to show,female
12118,"showa brain navi viet nam co., ltd|showa brain navi viet nam co., ltd",studies at trường đại học sư phạm kỹ thuật tp.hcm,went to trường thpt lê hồng phong - tây hòa - phú yên,tây hòa|tây hòa,notknown
12119,ăn rồi ở không at 베트남 여행,no schools to show,went to thpt đức trí,"ho chi minh city, vietnam|tân châu",male
12120,thành viên at ussh - tư vấn tuyển sinh|thành viên at ussh - tư vấn tuyển sinh|thành viên at ussh - tư vấn tuyển sinh,studied at trường đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm|studied at trường đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,went to thpt nguyễn du|went to thpt nguyễn du,"sa đéc|cai nuoc|ho chi minh city, vietnam",male
12121,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam|tân châu",notknown
12122,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
12123,works at giáo viên|works at giáo viên,studied at đại học an giang,went to thpt nguyen van thoai,"angiang, an giang, vietnam|angiang, an giang, vietnam",male
12124,no workplaces to show,studied at nam can tho university,no schools to show,can tho,notknown
12125,tân châu,studies công nghệ kĩ thuật ô tô_k21 at trường đại học giao thông vận tải tp.hcm,no schools to show,no places to show,male
12126,no workplaces to show,no schools to show,went to thpt dĩ an,no places to show,female
12127,no workplaces to show,no schools to show,went to trường thpt thanh bình 1|went to trường thpt thanh bình 1|went to trường thpt thanh bình 1,"ho chi minh city, vietnam|thanh bình, ðồng tháp, vietnam",female
12128,ctv liên chi hội khoa luật dân sự - đại học luật tphcm,studies luật-chuyên ngành luật dân sự at trường đại học luật tp. hồ chí minh,went to thcs-thpt nguyễn khuyến cs4,"ho chi minh city, vietnam|thanh hóa",notknown
12129,worked at chủ nhà trọ ngọc hân,studied at cao đẳng an giang,no schools to show,tân châu|tân châu,female
12130,works at thegioididong.com,no schools to show,no schools to show,"ho chi minh city, vietnam",female
12131,artist at mega aces|artist at mega aces,no schools to show,no schools to show,"ho chi minh city, vietnam",male
12132,no workplaces to show,studied library & information sciences at đại học khoa học xã hội và nhân văn - tp. hồ chí minh,"went to trường thpt bùi thị xuân, đà lạt","ho chi minh city, vietnam|da lat",female
12133,no workplaces to show,no schools to show,no schools to show,no places to show,female
12134,no workplaces to show,studies kĩ thuật điện tử - tự động hoá at trường đại học giao thông vận tải tp.hcm,no schools to show,quy nhon|quy nhon,notknown
12135,no workplaces to show,no schools to show,went to trường đại học nông lâm thành phố hồ chí minh,tân châu,notknown
12136,tân châu,no schools to show,no schools to show,tân châu|tân châu,female
12137,developer at tma solutions,studied software engineering at trường đại học cần thơ|studied software engineering at trường đại học cần thơ,no schools to show,"soc trang|my xuyen, sóc trăng, vietnam",male
12138,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
12139,no workplaces to show,no schools to show,no schools to show,no places to show,female
12140,works at hitachi vantara vietnam|works at hitachi vantara vietnam,studies công nghệ thông tin at hutech - đại học công nghệ tp.hcm,went to thpt hoàng hoa thám,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
12141,tân châu,no schools to show,went to thpt đức trí,"tân châu|angiang, an giang, vietnam",female
12142,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
12143,works at thcs lam son 2 - quan 6,no schools to show,went to thcs lam son 2 - quan 6,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
12144,no workplaces to show,no schools to show,goes to nguyen khuyen private high school,"ho chi minh city, vietnam",female
12145,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
12146,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
12147,no workplaces to show,no schools to show,no schools to show,no places to show,female
12148,no workplaces to show,no schools to show,went to trường thpt trương định tx gò công|went to trường thpt trương định tx gò công,"ho chi minh city, vietnam|gò công",female
12149,no workplaces to show,no schools to show,no schools to show,no places to show,female
12150,works at đoàn lân sư rồng việt an châu,no schools to show,no schools to show,tân châu|tân châu,notknown
12151,no workplaces to show,studied cntt at hutech - đại học công nghệ tp.hcm,no schools to show,nhon trach,male
12152,no workplaces to show,no schools to show,no schools to show,cao lãnh|cao lãnh,male
12153,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
12154,no workplaces to show,studies at đại học an giang,no schools to show,long xuyên,female
12155,works at binh duong - viet nam,studied at đại học khoa học và công nghệ hà nội - usth,went to hanoi – amsterdam high school,tân uyên|long xuyên,female
12156,học sinh tại trường thcs phú long|học sinh tại trường thcs phú long,studied at trường đại học an giang,went to trường thpt tân châu,no places to show,notknown
12157,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",female
