id,Workplaces,College,School,Places,Gender
10431,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
10432,works at cựu sv & sinh viên trường đại học sư phạm kỹ thuật tp.hcm,studied at truong thpt duong minh chau,went to thpt dương minh châu,tây ninh|tây ninh,male
10433,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang",no places to show,notknown
10434,works at english club ctu,no schools to show,went to trường thpt chuyên nguyễn thiện thành - trà vinh,can tho|tra vinh,female
10435,no workplaces to show,studies at trường đại học sư phạm thành phố hồ chí minh - hcmue,no schools to show,"angiang, an giang, vietnam",female
10436,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10437,no workplaces to show,no schools to show,no schools to show,vung tau,notknown
10438,,,,,
10439,no workplaces to show,no schools to show,no schools to show,bến tre,notknown
10440,no workplaces to show,no schools to show,no schools to show,"kiên an, kiến giang, vietnam",male
10441,no workplaces to show,studied at trường đại học nông lâm tp.hcm,went to thpt trần đại nghĩa,"ho chi minh city, vietnam|biên hòa",female
10442,no workplaces to show,no schools to show,no schools to show,can tho,notknown
10443,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10444,no workplaces to show,no schools to show,went to tan chau,"angiang, an giang, vietnam|tân châu",male
10445,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10446,works at mi chen beauty center,no schools to show,no schools to show,tân châu,female
10447,no workplaces to show,studied tai chinh ngan hang at dai hoc an giang|studied tai chinh ngan hang at dai hoc an giang,went to thpt hồng ngự 2,hồng ngự,female
10448,quán quyên và shop quyên|quán quyên và shop quyên,studied at cao dang nghe an giang,"went to thpt nguyễn chí thanh, phú tân, an giang","ap tan phu ha, an giang, vietnam|angiang, an giang, vietnam",male
10449,鼎茶 ding tea @ 492 jurong west street 41 #01-34 singapore 640492,studied at cao đẳng du lịch sài gòn,went to thcs long thạnh,"ho chi minh city, vietnam",male
10450,no workplaces to show,no schools to show,no schools to show,"vung tau|hung yen, hưng yên, vietnam",male
10451,works at leo barbershop,no schools to show,went to đoàn trường thpt hoàng diệu,"long khanh|qui nhon, bình ðịnh, vietnam",male
10452,no workplaces to show,studied at trường trung cấp múa tp. hồ chí minh,went to đoàn tncs hồ chí minh trường thpt ngô quyền,no places to show,notknown
