id,Workplaces,College,School,Places,Gender
662,no workplaces to show,no schools to show,no schools to show,no places to show,female
663,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
664,no workplaces to show,no schools to show,no schools to show,tân phú,notknown
665,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
666,works at lazada|works at lazada,studies at hufi - đại học công nghiệp thực phẩm tp.hcm,no schools to show,"ho chi minh city, vietnam",notknown
667,works at thpt thiệu hóa,no schools to show,went to thpt thiệu hóa,thanh hóa|thanh hóa,male
668,no workplaces to show,no schools to show,no schools to show,no places to show,female
669,no workplaces to show,studies y đa khoa at trường đại học võ trường toản,no schools to show,no places to show,female
670,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
671,no workplaces to show,studies logistics & supply chain management at trường đại học giao thông vận tải tp.hcm,no schools to show,vung tau|vung tau,male
672,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
673,former collaborator at zalo,studied kinh doanh quốc tế at đại học tôn đức thắng,no schools to show,no places to show,male
674,no workplaces to show,no schools to show,no schools to show,no places to show,male
675,no workplaces to show,studied at đại học tôn đức thắng,went to thpt nguyễn trãi  (bình dương),lái thiêu,notknown
676,no workplaces to show,studies kiến trúc at đại học kiến trúc tp.hcm|studies kiến trúc at đại học kiến trúc tp.hcm,no schools to show,"ho chi minh city, vietnam",female
677,no workplaces to show,no schools to show,no schools to show,cai lay|cai lay,notknown
678,no workplaces to show,studies at hutech - đại học công nghệ tp.hcm,went to đoàn trường thpt nguyễn thị minh khai - bình dương,no places to show,notknown
679,works at blue fire - banking university of hcmc,studied hệ thống quản lý thông tin at trường đại học ngân hàng tp. hồ chí minh - hub,went to thpt hà huy tập nha trang,"ho chi minh city, vietnam|nha trang",notknown
680,works at hutech - đại học công nghệ tp.hcm,no schools to show,went to thpt lý thường kiệt,"ho chi minh city, vietnam|lagi, thuin hai, vietnam",male
681,"xã châu phong, tân châu, ag",no schools to show,no schools to show,tân châu|tân châu,notknown
682,no workplaces to show,studied at trường đại học bách khoa - đh quốc gia tp.hcm,"went to thpt  trần cao vân, tam kỳ, quảng nam","ho chi minh city, vietnam|quang nam, quang nam-da nang, vietnam",male
683,no workplaces to show,studied at trường cao đẳng kỹ thuật cao thắng,went to trường cao đẳng kỹ thuật cao thắng,"ho chi minh city, vietnam|chau phú, an giang, vietnam",notknown
684,rap vocal at clb văn nghệ v-vtm|rap vocal at clb văn nghệ v-vtm|rap vocal at clb văn nghệ v-vtm|rap vocal at clb văn nghệ v-vtm|rap vocal at clb văn nghệ v-vtm,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt chuyên bảo lộc,"ho chi minh city, vietnam|da lat",male
685,no workplaces to show,no schools to show,no schools to show,cao lãnh|cao lãnh,male
686,no workplaces to show,no schools to show,no schools to show,"rach soi, kiến giang, vietnam",female
687,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
688,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
689,no workplaces to show,no schools to show,no schools to show,no places to show,female
690,studying at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"went to trường thpt bùi thị xuân, đà lạt","ho chi minh city, vietnam|da lat",male
691,ban tổ chức at running freshman|ban tổ chức at running freshman|ban tổ chức at running freshman|ban tổ chức at running freshman|ban tổ chức at running freshman,"studies mobile app development at trường đại học khoa học tự nhiên, đại học quốc gia tp.hcm",no schools to show,"ho chi minh city, vietnam|my tho",male
692,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
693,tại bình dương,no schools to show,goes to truong trung hoc co sở phú lâm ag,thu dau mot,male
694,works at binh duong - viet nam|works at binh duong - viet nam,studied at ueh - trường đại học kinh tế tp.hcm,no schools to show,"angiang, an giang, vietnam|hoa lac, an giang, vietnam",notknown
695,no workplaces to show,studied at cựu sv & sinh viên trường đại học sư phạm kỹ thuật tp.hcm,no schools to show,quang ngai,notknown
696,,,,,
697,works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017|works at cenly top 10 thương hiệu vàng thăng long 2017,no schools to show,went to thpt đức trí|went to thpt đức trí,"tân châu|phu vinh, an giang, vietnam",female
698,cao lãnh|cao lãnh,studied ngành sư phạm âm nhạc (music education) at trường đại học đồng tháp,no schools to show,"tràm chim, ðồng tháp, vietnam|tràm chim, ðồng tháp, vietnam",notknown
