id,Workplaces,College,School,Places,Gender
7330,no workplaces to show,studies at can tho university of medicine and pharmacy,went to trường pt dân tộc nội trú thcs &thpt trà cú,tra vinh,notknown
7331,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7332,no workplaces to show,studied at trường thcs thị trấn vạn hà,went to meric japanese language school 学校法人メリック学園　メリック日本語学校|went to meric japanese language school 学校法人メリック学園　メリック日本語学校,osaka|thanh hóa,notknown
7333,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7334,đại học an giang,studied at trường đại học cần thơ|studied at trường đại học cần thơ,went to thpt trần văn thành,"long xuyên|chau phú, an giang, vietnam",male
7335,works at trường thpt chu văn an - phú tân - an giang,studied at trường thpt chu văn an - phú tân - an giang,no schools to show,"ho chi minh city, vietnam|cho moi, an giang",notknown
7336,no workplaces to show,studied at ueh - trường đại học kinh tế tp.hcm,no schools to show,no places to show,notknown
7337,no workplaces to show,no schools to show,no schools to show,phú long,female
7338,worked at sai lầm của em,no schools to show,went to trường cao đẳng công nghệ tây nguyên,"buon me thuot|buôn ma thuột, đắc lắk, vietnam",notknown
7339,no workplaces to show,no schools to show,no schools to show,tân châu,female
7340,no workplaces to show,no schools to show,no schools to show,thap muoi|thap muoi,male
7341,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,notknown
7342,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
7343,works at đoàn thanh niên - hội sinh viên trường đại học kinh tế - đại học đà nẵng,studies business management techniques at trường đại học kinh tế đà nẵng,no schools to show,tien phuoc|tien phuoc,female
7344,hồng ngự,no schools to show,no schools to show,thu dau mot|hồng ngự,female
7345,"hanoi, vietnam",no schools to show,no schools to show,no places to show,female
7346,no workplaces to show,studies y đa khoa at đại học y khoa phạm ngọc thạch,no schools to show,no places to show,notknown
7347,works at binh duong - viet nam|works at binh duong - viet nam,studied at trường đại học an giang,went to thpt đức trí,"thu dau mot|angiang, an giang, vietnam",female
7348,no workplaces to show,no schools to show,"went to thpt tân châu, an giang","angiang, an giang, vietnam|angiang, an giang, vietnam",female
7349,liên chi hội trưởng liên chi hội sinh viên khoa tài chính công at đoàn - hội khoa tài chính công|liên chi hội trưởng liên chi hội sinh viên khoa tài chính công at đoàn - hội khoa tài chính công,studies quản trị hải quan - ngoại thương at university of economics ho chi minh city - ueh,went to trường thpt vĩnh kim - châu thành - tiền giang,"châu thành, tiền giang, vietnam",female
7350,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7351,no workplaces to show,studied at 부산 경성대,no schools to show,"jinhae, kyŏngsang-namdo, korea|busan, south korea",notknown
7352,no workplaces to show,no schools to show,no schools to show,hà tiên,female
