id,Workplaces,College,School,Places,Gender
6730,no workplaces to show,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
6731,no workplaces to show,no schools to show,went to thpt tân châu,can tho|tân châu,female
6732,no workplaces to show,no schools to show,no schools to show,no places to show,female
6733,no workplaces to show,studied at niit,no schools to show,tân châu|tân châu,male
6734,no workplaces to show,studies veterinary medicine k45 at trường đại học nông lâm tp.hcm,no schools to show,"phú phong, bình ðịnh, vietnam|phú phong, bình ðịnh, vietnam",female
6735,model at việt angel - model angency|model at việt angel - model angency,studied market economies at trường đại học cần thơ,went to lê hồng phong high school,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
6736,"ho chi minh city, vietnam",no schools to show,no schools to show,thủ đức,notknown
6737,no workplaces to show,no schools to show,went to trường thpt phú nhuận|went to trường thpt phú nhuận,"ho chi minh city, vietnam|quận 12",female
6738,no workplaces to show,studied at trường đại học giao thông vận tải thành phố hồ chí minh,"went to thpt tân châu, tân châu, an giang","phú long|angiang, an giang, vietnam",male
6739,no workplaces to show,"studies chuyên ngành kỹ thuật điện , điện tử ( điện công nghiệp ) at trường đại học giao thông vận tải tp.hcm",went to trường trung học phổ thông nguyễn du,"binh thanh, hồ chí minh, vietnam|vung tau",notknown
6740,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
6741,no workplaces to show,no schools to show,no schools to show,"long xuyên|angiang, an giang, vietnam",notknown
6742,no workplaces to show,studied at đại học văn hoá tp.hcm,no schools to show,no places to show,notknown
6743,works at đội sinh viên tình nguyện khoa cntt - đh khtn,studies information technology (it) at đại học khoa học tự nhiên,went to thpt chuyên nguyễn thị minh khai,soc trang|soc trang,notknown
6744,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|xuyen moc|ho chi minh city, vietnam",male
6745,front-end dev at nexon dev vina,studies at trường đại học công nghệ thông tin - đại học quốc gia thành phố hồ chí minh,no schools to show,tuy hòa|tuy hòa,male
6746,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
