id,Workplaces,College,School,Places,Gender
6130,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu,female
6131,works at cần tuyển đội ngũ nhân viên phục vụ quán karaoke chuyen nghiệp,no schools to show,no schools to show,bac giang,male
6132,works at tiktok,studied at trường đại học tây đô,no schools to show,"ho chi minh city, vietnam",notknown
6133,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
6134,vice leader at ban học tập công nghệ phần mềm|vice leader at ban học tập công nghệ phần mềm,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt mạc đĩnh chi,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
6135,works at thành phố đà lạt,no schools to show,no schools to show,da lat,male
6136,no workplaces to show,no schools to show,no schools to show,quang ngai,female
6137,no workplaces to show,no schools to show,"went to thpt nguyễn chí thanh, phú tân, an giang","ho chi minh city, vietnam|ấp tân phú, an giang, vietnam",female
6138,chief executive officer (ceo) & founder at 1989 boutique - quảng châu,studied at duy tan university,no schools to show,"da nang, vietnam|hanoi, vietnam",male
6139,tân châu,studied at an giang university,no schools to show,long xuyên|tân châu,female
6140,no workplaces to show,studies hàn quốc học 한국어 at đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm|studies hàn quốc học 한국어 at đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,went to ngo quyen high school,"biên hòa|ho chi minh city, vietnam",female
6141,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
6142,no workplaces to show,no schools to show,no schools to show,"tân châu|angiang, an giang, vietnam",notknown
6143,no workplaces to show,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,no places to show,male
6144,no workplaces to show,no schools to show,went to thpt đức trí,thu dau mot|tân châu,female
6145,an giang|an giang,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
6146,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",male
6147,no workplaces to show,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường đông du - buôn ma thuột,no places to show,notknown
6148,no workplaces to show,no schools to show,no schools to show,no places to show,female
6149,"ho chi minh city, vietnam",no schools to show,went to trường thcs - thpt nguyễn khuyến cơ sở 4,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
6150,,,,,
6151,no workplaces to show,no schools to show,"went to thpt nguyễn thị minh khai, mỏ cày nam, bến tre",bến tre|mo cay,male
6152,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
6153,no workplaces to show,studied at trường đại học nông lâm tp.hcm,went to thpt bùi thị xuân,di an,notknown
6154,no workplaces to show,studied at đại học sư phạm quy nhơn,went to tran quoc tuan high school,"ho chi minh city, vietnam|quang ngai",notknown
6155,no workplaces to show,studied at trường đại học cần thơ,"went to thpt tân châu, an giang",tân châu|tân châu,male
6156,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,male
6157,no workplaces to show,no schools to show,no schools to show,vung tau,female
6158,no workplaces to show,studied kiến trúc at trường đại học bách khoa - đh quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam|hà tĩnh",male
6159,balor club,no schools to show,goes to thpt tân châu,long phú|tân châu,female
6160,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
6161,no workplaces to show,no schools to show,went to thpt nguyễn huệ tp.vũng tàu,"thủ đức, hồ chí minh, vietnam|hung yen, hưng yên, vietnam",notknown
6162,no workplaces to show,no schools to show,went to trường thpt nguyễn sinh sắc,phú lâm,female
6163,works at faac hub - future accountants and auditors club hub,studied at trường đại học ngân hàng tp. hồ chí minh - hub,went to thpt long khanh a,"ho chi minh city, vietnam|hồng ngự",notknown
