id,Workplaces,College,School,Places,Gender
9831,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9832,,,,,
9833,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu,notknown
9834,,,,,
9835,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9836,no workplaces to show,no schools to show,went to thpt võ văn kiệt - phú thiện - gia lai,"ho chi minh city, vietnam",notknown
9837,tân châu,no schools to show,went to trường thpt nguyễn quang diêu,"angiang, an giang, vietnam",notknown
9838,,,,,
9839,,,,,
9840,no workplaces to show,no schools to show,no schools to show,no places to show,female
9841,,,,,
9842,"thành phố dĩ an, tỉnh bình dương",no schools to show,no schools to show,"ap binh duong (1), vietnam|tân châu",notknown
9843,,,,,
9844,,,,,
9845,no workplaces to show,no schools to show,no schools to show,no places to show,male
9846,,,,,
9847,no workplaces to show,no schools to show,no schools to show,higashihiroshima|tân châu,notknown
9848,,,,,
9849,,,,,
9850,,,,,
9851,,,,,
9852,no workplaces to show,no schools to show,no schools to show,no places to show,female
9853,no workplaces to show,no schools to show,no schools to show,no places to show,male
9854,,,,,
9855,no workplaces to show,no schools to show,no schools to show,"củ chi, hồ chí minh, vietnam",notknown
9856,,,,,
9857,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",female
9858,,,,,
9859,no workplaces to show,no schools to show,"went to thpt tân châu, an giang",tân châu|tân châu,male
9860,,,,,
9861,works at mỹ phẩm thúy quyên|works at mỹ phẩm thúy quyên|works at mỹ phẩm thúy quyên|works at mỹ phẩm thúy quyên|works at mỹ phẩm thúy quyên,no schools to show,went to trung hoc pho thong hoa lac,thu dau mot|phú bình,female
9862,,,,,
9863,no workplaces to show,studied at đại học hoa sen,went to trần quốc toản,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
9864,,,,,
9865,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
9866,,,,,
9867,,,,,
9868,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
9869,works at mắt kính bv điện biên phủ,no schools to show,no schools to show,tân uyên|tân châu,notknown
9870,no workplaces to show,no schools to show,no schools to show,no places to show,female
9871,,,,,
9872,,,,,
9873,no workplaces to show,no schools to show,no schools to show,hải dương|hải dương,female
9874,,,,,
9875,,,,,
9876,,,,,
9877,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
9878,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9879,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9880,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9881,,,,,
9882,,,,,
9883,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|phu giáo, vietnam",male
9884,,,,,
9885,,,,,
9886,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9887,no workplaces to show,studied at trường đại học y khoa phạm ngọc thạch,went to trường thpt tây tiền hải,"ho chi minh city, vietnam|thái bình, thái bình, vietnam",female
9888,,,,,
9889,,,,,
9890,,,,,
9891,no workplaces to show,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt châu văn liêm/an giang,"ho chi minh city, vietnam|cho moi, an giang",male
9892,no workplaces to show,studied at trường đại học xây dựng miền trung|studied at trường đại học xây dựng miền trung,no schools to show,"ho chi minh city, vietnam|binh dinh, nghia binh, vietnam",notknown
9893,,,,,
9894,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
9895,thpt nguyễn sinh sắc,studied sư phạm vật lý at trường đại học an giang|studied sư phạm vật lý at trường đại học an giang,went to thpt tân châu,tân châu|phú lâm,male
9896,,,,,
9897,,,,,
9898,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam",male
9899,works at the alley việt nam,studies at cao đẳng du lịch sài gòn,no schools to show,"ho chi minh city, vietnam",female
9900,no workplaces to show,no schools to show,no schools to show,no places to show,male
9901,,,,,
9902,no workplaces to show,no schools to show,no schools to show,long xuyên,notknown
9903,no workplaces to show,no schools to show,no schools to show,can tho|cà mau,notknown
9904,phường khánh bình . tx tân uyên.bình dương,no schools to show,went to hội cựu học sinh hồng ngự 3,hồng ngự|cao lãnh,notknown
9905,,,,,
9906,no workplaces to show,no schools to show,went to thpt nguyễn chí thanh an giang|went to thpt nguyễn chí thanh an giang,"thu dau mot|phú lâm, an giang, vietnam",male
