id,Workplaces,College,School,Places,Gender
4262,no workplaces to show,no schools to show,went to trường thpt trí đức,"phú lâm, an giang, vietnam|angiang, an giang, vietnam",male
4263,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4264,works at iem academic club - iac,studies at trường đại học quốc tế - đại học quốc gia tp. hcm,went to thpt nguyễn thị minh khai - tp. hcm,"ho chi minh city, vietnam",female
4265,works at đại học tôn đức thắng,studies khoa học máy tính - computer science at đại học tôn đức thắng,no schools to show,"ho chi minh city, vietnam|nhon trach",female
4266,internship at liberty central saigon citypoint hotel,studies at cao đẳng kinh tế đối ngoại tp.hcm,"went to thpt tân châu, an giang","ho chi minh city, vietnam|angiang, an giang, vietnam",female
4267,no workplaces to show,studies at cao đẳng fpt polytechnic,no schools to show,"can tho|phu quoc, kiến giang, vietnam",notknown
4268,works at viện thẩm mỹ diva,no schools to show,no schools to show,"tân an, long an",female
4269,no workplaces to show,studies khoa công nghệ thông tin at đại học công nghệ sài gòn - saigon technology university,went to trường thpt đakmil,dak mil|vinh,female
4270,no workplaces to show,no schools to show,no schools to show,"ba vì, ha son binh, vietnam|hanoi, vietnam",notknown
4271,logictics coordinator at the phiêu linh project|logictics coordinator at the phiêu linh project|logictics coordinator at the phiêu linh project|logictics coordinator at the phiêu linh project,studied at trường đại học kinh tế - luật,no schools to show,bao loc,female
4272,no workplaces to show,no schools to show,no schools to show,tuy hòa,female
4273,admin at cẩm nang sinh viên thủ đức,studies at trường đại học sư phạm kỹ thuật tp.hcm,went to trường thpt chuyên lê qúy đôn-nha trang,nha trang,notknown
4274,no workplaces to show,studies information of technology (it) at iuh - trường đại học công nghiệp tp.hcm,no schools to show,"ho chi minh city, vietnam|long xuyên",notknown
4275,no workplaces to show,studied at the open university,went to thpt bạc liêu,no places to show,male
4276,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4277,no workplaces to show,studies at the university of finance and marketing (ufm),no schools to show,"ho chi minh city, vietnam|tân châu",male
4278,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu",notknown
4279,works at an giang,studies quản trị kinh doanh at an giang university,"goes to thpt nguyễn chí thanh, chợ vàm, phú tân, an giang","angiang, an giang, vietnam|angiang, an giang, vietnam",female
4280,no workplaces to show,no schools to show,no schools to show,"xa phan thiet, bình thuận, vietnam|phan thiet",male
4281,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4282,tân châu,studied at dh an giang,"went to thpt tân châu, an giang","tân châu|angiang, an giang, vietnam",female
4283,no workplaces to show,no schools to show,no schools to show,no places to show,female
4284,works at dạy kèm anh văn,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
4285,no workplaces to show,no schools to show,went to trường thpt thuận thành số 1 - bắc ninh,bắc ninh,male
4286,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4287,worked at trường đại học công nghệ thông tin - đhqg hcm,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm|studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to phù mỹ 2|went to phù mỹ 2,"ho chi minh city, vietnam",male
4288,,,,,
4289,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|chaudok, an giang, vietnam",notknown
4290,works at việc làm interdist,studied at đại học bách khoa hà nội - hanoi university of science and technology,no schools to show,"hanoi, vietnam",notknown
4291,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
4292,,,,,
4293,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4294,,,,,
4295,,,,,
4296,,,,,
4297,,,,,
4298,works at lặng nhìn cuộc sống,no schools to show,went to trường ptdtnt tỉnh điện biên,điện biên phủ|điện biên phủ,notknown
4299,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4300,no workplaces to show,no schools to show,no schools to show,no places to show,female
4301,,,,,
4302,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4303,,,,,
4304,no workplaces to show,studies at trường đại học cần thơ,went to thpt thành phố sóc trăng,"soc trang|tinh, sóc trăng, vietnam",male
4305,,,,,
4306,,,,,
4307,works at trường thpt nguyễn hồng đạo,no schools to show,went to trường thpt nguyễn hồng đạo,phù cát|phù cát,male
4308,no workplaces to show,studies at truong cao dang nghe dong thap,went to trường thpt hồng ngự 2- đồng tháp,cao lãnh,male
4309,,,,,
4310,sale at emart|sale at emart,no schools to show,"went to thpt tân châu, tân châu, an giang","ho chi minh city, vietnam|tân châu",notknown
4311,,,,,
4312,,,,,
4313,,,,,
4314,works at meta|works at meta|works at meta,no schools to show,went to trường thpt diễn châu 2 - nghệ an,"dien chau|phu dien chau, nghệ an, vietnam",male
4315,no workplaces to show,studies bác sĩ đa khoa ( general practitioner ) at trường đại học y dược cần thơ,went to thpt bình minh|went to thpt bình minh,vĩnh long|vĩnh long,male
4316,no workplaces to show,no schools to show,no schools to show,"thanh an, gia lai, vietnam",male
4317,no workplaces to show,no schools to show,no schools to show,hồng ngự,notknown
4318,student dean at trường thpt trần phú (gia lai),no schools to show,no schools to show,"plei bau can, gia lai-cong tum, vietnam|gia lai, gia lai, vietnam",female
4319,works at thành phố hồ chí minh|works at thành phố hồ chí minh,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu|ho chi minh city, vietnam",notknown
4320,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
4321,no workplaces to show,no schools to show,no schools to show,no places to show,female
4322,no workplaces to show,studied at trường đại học mở tp. hồ chí minh,went to hoang hoa tham,"ho chi minh city, vietnam|diên khánh",female
4323,no workplaces to show,no schools to show,went to thcs long sơn,"angiang, an giang, vietnam|los angeles, california",notknown
4324,no workplaces to show,studied at hutech - đại học công nghệ tp.hcm,went to trường thpt krông bông,"buôn ma thuột, đắc lắk, vietnam|buon me thuot",notknown
4325,,,,,
4326,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4327,,,,,
4328,,,,,
4329,no workplaces to show,no schools to show,no schools to show,thieu hoa|thanh hóa,notknown
4330,no workplaces to show,no schools to show,went to thpt quỳnh nhai,"móng cái, vietnam|son la",female
4331,,,,,
4332,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4333,works at đại học y khoa thái nguyên,studied at đại học y thai nguyên,went to thpt lê ngọc hân,"hanoi, vietnam",male
4334,,,,,
4335,works at tiniworld,studied quản trị kinh doanh at an giang university,no schools to show,tân châu,female
4336,java/ groovy developer at tma solutions,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",no schools to show,"ho chi minh city, vietnam",notknown
4337,no workplaces to show,no schools to show,no schools to show,"ben cat|chaudok, an giang, vietnam",notknown
4338,,,,,
4339,,,,,
4340,works at tvt,no schools to show,no schools to show,cà mau|cà mau,notknown
4341,,,,,
4342,,,,,
4343,,,,,
4344,cà mau,no schools to show,no schools to show,cà mau|cà mau,male
4345,works at yg family,no schools to show,went to thpt thạnh mỹ tây,"chau phú, an giang, vietnam",female
4346,works at startup|works at startup,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
4347,,,,,
4348,works at làm việc tại tp.biên hoà_đồng nai,no schools to show,went to trường thcs phú lâm,"phú lâm, an giang, vietnam|phú lâm, an giang, vietnam",female
4349,,,,,
4350,no workplaces to show,no schools to show,no schools to show,no places to show,male
4351,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,notknown
4352,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,female
4353,,,,,
4354,works at ông giáo làng dạy văn,studied k17- th.sĩ- llvh (2009-2012) at đại học vinh|studied k17- th.sĩ- llvh (2009-2012) at đại học vinh,went to thpt thiệu hóa|went to thpt thiệu hóa,thanh hóa,male
4355,no workplaces to show,no schools to show,no schools to show,no places to show,male
4356,"phu quoc, kiến giang, vietnam",no schools to show,no schools to show,"phu quoc, kiến giang, vietnam",notknown
4357,,,,,
4358,,,,,
4359,no workplaces to show,no schools to show,no schools to show,tân châu,male
4360,,,,,
4361,,,,,
4362,no workplaces to show,studied quản trị dịch  vụ du lịch và lữ hành at trường đại học tây đô,"went to thpt tân châu, an giang",no places to show,female
4363,,,,,
4364,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4365,no workplaces to show,studied at đại học tôn đức thắng,went to trường thpt phan văn đạt,"ho chi minh city, vietnam",notknown
4366,在中国上班,studied at thcs phú lâm,went to trường thcs phú lâm,long xuyên|long xuyên,female
4367,,,,,
4368,no workplaces to show,studied at đại học bách khoa hà nội - hanoi university of science and technology,no schools to show,"ho chi minh city, vietnam|an thi",female
4369,,,,,
4370,,,,,
4371,,,,,
4372,,,,,
4373,,,,,
4374,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4375,no workplaces to show,no schools to show,"went to thpt  bắc trà my, bắc trà my, quảng nam","da nang, vietnam|quang nam, quang nam-da nang, vietnam",notknown
4376,,,,,
4377,,,,,
4378,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,notknown
4379,,,,,
4380,no workplaces to show,no schools to show,no schools to show,no places to show,male
4381,,,,,
4382,no workplaces to show,no schools to show,no schools to show,no places to show,male
4383,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4384,,,,,
4385,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4386,worked at trường thpt tân châu,no schools to show,no schools to show,tân châu|tân châu,female
4387,no workplaces to show,no schools to show,goes to cyril jackson senior campus|goes to cyril jackson senior campus,"biên hòa|biên hòa|perth, western australia",female
4388,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",male
4389,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4390,no workplaces to show,no schools to show,went to thcs lam son 2 - quan 6,"ho chi minh city, vietnam|long an, tiền giang, vietnam",male
4391,,,,,
4392,,,,,
4393,,,,,
4394,,,,,
4395,,,,,
4396,,,,,
4397,,,,,
4398,no workplaces to show,no schools to show,no schools to show,no places to show,female
4399,,,,,
4400,,,,,
4401,no workplaces to show,studies faculty of foreign languages at trường đại học văn lang,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
4402,,,,,
4403,"works at muskogee, oklahoma",studied at connors state college,"went to the federal polytechnic, bida","son la|lagos, nigeria",notknown
4404,no workplaces to show,no schools to show,went to trường thpt lê duẩn - bmt,"buôn ma thuột, đắc lắk, vietnam|buon me thuot",male
4405,,,,,
4406,,,,,
