id,Workplaces,College,School,Places,Gender
10582,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|dong ha",notknown
10583,works at facebook,studied at trung hoc thuy san,went to tan chau,tân châu|tân châu,female
10584,no workplaces to show,no schools to show,no schools to show,no places to show,female
10585,former phó trưởng ban at ban học tập - nghiên cứu khoa học - quan hệ quốc tế đoàn trường ueh,studied tài chính at ueh - trường đại học kinh tế tp.hcm,went to thpt gia định,"binh thanh, hồ chí minh, vietnam|ho chi minh city, vietnam",female
10586,no workplaces to show,no schools to show,no schools to show,fukuoka|vung tau,notknown
10587,no workplaces to show,no schools to show,no schools to show,long xuyên,male
10588,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10589,tổng kho sỉ lẻ mỹ phẩm 9 hãng_ nước hoa chamer|tổng kho sỉ lẻ mỹ phẩm 9 hãng_ nước hoa chamer|tổng kho sỉ lẻ mỹ phẩm 9 hãng_ nước hoa chamer|tổng kho sỉ lẻ mỹ phẩm 9 hãng_ nước hoa chamer|tổng kho sỉ lẻ mỹ phẩm 9 hãng_ nước hoa chamer,studied bảo vệ thực vật at trường cao đẳng cộng đồng đồng tháp - dong thap community college,no schools to show,"hoi an, an giang, vietnam|long xuyên",female
10590,‎طالب‎ at trường cao đẳng kỹ nghệ ii|‎طالب‎ at trường cao đẳng kỹ nghệ ii,studied at trường cao đẳng kỹ nghệ ii,went to thpt an thới,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
10591,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10592,works at cty tnhh sai gon stec|works at cty tnhh sai gon stec,no schools to show,"went to thpt tân châu, an giang|went to thpt tân châu, an giang",thu dau mot|tân châu,notknown
10593,works at quận bình tân tp.hcm,studied at hồng ngự|studied at hồng ngự,no schools to show,"thuong phuoc, ðồng tháp, vietnam",notknown
10594,no workplaces to show,studied at y đa khoa,went to trường trung học phổ thông nguyễn đình chiểu,my tho,female
10595,no workplaces to show,studied at sinh viên đại học duy tân|studied at sinh viên đại học duy tân,no schools to show,"da nang, vietnam|dong ha",female
10596,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang|went to thpt tân châu, tân châu, an giang",tân châu,male
10597,communication plan at giữ lửa ngàn năm|communication plan at giữ lửa ngàn năm|communication plan at giữ lửa ngàn năm|communication plan at giữ lửa ngàn năm,studies public relation (pr) - event organization at cao đẳng fpt polytechnic tp hồ chí minh,"went to thpt tân châu, tân châu, an giang","ho chi minh city, vietnam",female
10598,no workplaces to show,no schools to show,no schools to show,can tho|gò quao,notknown
10599,no workplaces to show,studies thai studies at đại học khoa học xã hội và nhân văn tp hồ chí minh,no schools to show,"ho chi minh city, vietnam",female
10600,tân châu,studied 546 at thcs long thạnh,went to thpt duc tri,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
10601,works at clb sách và hành động uit,studies thương mại điện tử at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt cần đước,can duoc,female
10602,no workplaces to show,no schools to show,no schools to show,no places to show,male
