id,Workplaces,College,School,Places,Gender
7630,cựu liên chi hội trưởng at lch sv khoa thủy sản đh nông lâm tp.hcm,studied at trường đại học nông lâm tp.hcm,went to thpt nguyen van linh dong hoa phu yen,"ho chi minh city, vietnam|tuy hòa",male
7631,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7632,works at thế giới di động (thegioididong.com)|works at thế giới di động (thegioididong.com),no schools to show,went to trường thpt phan văn đạt,"tân an, long an|tân an, long an",notknown
7633,no workplaces to show,no schools to show,no schools to show,"vinh xuong, prey veng, cambodia|tân châu",notknown
7634,no workplaces to show,studied at sthc - saigontourist hospitality college,no schools to show,"ho chi minh city, vietnam|tân châu",female
7635,top 10 thương hiệu nổi tiếng châu á-thái bình dương 2021,studied at the college of finance and customs,"went to mái trường thpt hoàng hoa thám, huyện diên khánh, tỉnh khánh hòa","angiang, an giang, vietnam|khanh hoa, khánh hòa, vietnam",female
7636,tân châu,no schools to show,no schools to show,tân châu|long xuyên|tân châu,male
7637,works at binh duong - viet nam,studied at cao dang nghe an giang,no schools to show,"an thuan, song be, vietnam|ap binh duong (1), vietnam",notknown
7638,làm việc tại yugih5,studies at hutech - đại học công nghệ tp.hcm,went to hutech - đại học công nghệ tp.hcm,no places to show,male
7639,no workplaces to show,no schools to show,no schools to show,trang bom,female
7640,"works at phú tân, an giang",studied at trường đại học cần thơ,went to thpt nguyễn chí thanh|went to thpt nguyễn chí thanh,"phú lâm, an giang, vietnam|phú lâm",notknown
7641,works at hue university of medicine and pharmacy,studied preventive medicine at hue university of medicine and pharmacy,went to cựu học sinh trường thpt bùi dục tài,quảng trị|quảng trị,female
7642,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7643,no workplaces to show,no schools to show,went to trường thpt nam đàn 2,"nam �àn, nghệ an, vietnam|vinh",notknown
7644,no workplaces to show,no schools to show,no schools to show,"hachinohe, aomori",female
7645,no workplaces to show,no schools to show,no schools to show,no places to show,female
7646,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|phú lâm",notknown
7647,clb vì trẻ thơ,studied at trường đại học y dược cần thơ,no schools to show,can tho|thanh hóa,notknown
7648,works at trường đại học công nghệ thông tin - đhqg hcm,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm|studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to thpt chuyên huỳnh mẫn đạt,no places to show,female
7649,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7650,no workplaces to show,no schools to show,went to trường trung học phổ thông nguyễn đình chiểu,no places to show,female
7651,no workplaces to show,studied luật at trường đại học luật tp. hồ chí minh,went to nguyen khuyen prison,"bình hưng hòa b|tan phu, vietnam",female
7652,works at club v pullman saigon centre|works at club v pullman saigon centre|works at club v pullman saigon centre|works at club v pullman saigon centre,studied at saigon tourism vocational college,"went to thpt tân châu, tân châu, an giang|went to thpt tân châu, tân châu, an giang","ho chi minh city, vietnam|tân châu",male
7653,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7654,no workplaces to show,studies at trường đại học quy nhơn|studies at trường đại học quy nhơn,no schools to show,"phú phong, bình ðịnh, vietnam|phú phong, bình ðịnh, vietnam",female
7655,no workplaces to show,no schools to show,no schools to show,no places to show,male
7656,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7657,worked at thpt chuyên nk tdtt nguyễn thị định,no schools to show,went to trường thcs bình đông,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
7658,"works at thpt  trung phú, củ chi, tp. hồ chí minh",no schools to show,"went to thpt  trung phú, củ chi, tp. hồ chí minh|went to thpt  trung phú, củ chi, tp. hồ chí minh","ho chi minh city, vietnam|củ chi, hồ chí minh, vietnam",male
7659,no workplaces to show,no schools to show,no schools to show,"gia lai, gia lai, vietnam|gia lai, gia lai, vietnam",male
7660,no workplaces to show,studies at truong cao dang y te dong thap,no schools to show,cao lãnh|hồng ngự,notknown
7661,no workplaces to show,no schools to show,no schools to show,no places to show,male
7662,no workplaces to show,studied marketing at ho chi minh city open university - hcmou,no schools to show,"ho chi minh city, vietnam|long xuyên",female
7663,comandante en jefe at trường thpt số 2 mộ đức - quảng ngãi,no schools to show,went to trường thpt số 2 mộ đức - quảng ngãi,quang ngai|quang ngai,male
7664,"hanoi, vietnam",no schools to show,no schools to show,"hanoi, vietnam|hanoi, vietnam",notknown
7665,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7666,phd candidate at the university of melbourne|phd candidate at the university of melbourne|phd candidate at the university of melbourne|phd candidate at the university of melbourne|phd candidate at the university of melbourne,studied landscape architecture at politecnico di milano|studied landscape architecture at politecnico di milano,went to thoại ngọc hầu high school,"melbourne, victoria, australia|long xuyên",male
7667,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|phú lâm, an giang, vietnam",male
7668,công ty tnhh tâm slife gyms,studies dược sĩ at trường cao đẳng y dược pasteur cơ sở bình thạnh - tphcm,no schools to show,tân châu,female
7669,no workplaces to show,no schools to show,no schools to show,no places to show,male
7670,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
7671,"ho chi minh city, vietnam",no schools to show,no schools to show,tân châu,notknown
7672,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",female
7673,no workplaces to show,no schools to show,no schools to show,tam ky|tam ky,female
7674,long an province,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
7675,no workplaces to show,studied at đại học an giang,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",female
7676,no workplaces to show,no schools to show,no schools to show,no places to show,female
