id,Workplaces,College,School,Places,Gender
4562,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4563,,,,,
4564,no workplaces to show,no schools to show,no schools to show,"phu quoc, kiến giang, vietnam",notknown
4565,,,,,
4566,,,,,
4567,,,,,
4568,no workplaces to show,studied at u.s. army|studied at u.s. army,went to panjab college,"delhi, india|bahawalpur",male
4569,no workplaces to show,no schools to show,no schools to show,hồng ngự,notknown
4570,no workplaces to show,no schools to show,no schools to show,long xuyên|tân châu,female
4571,,,,,
4572,tân châu,no schools to show,no schools to show,tân châu|long phu,notknown
4573,long xuyên,studied at cao dang nghe an giang,"went to thpt nguyễn chí thanh, phú tân, an giang","angiang, an giang, vietnam|chaudok, an giang, vietnam",notknown
4574,,,,,
4575,tân châu,no schools to show,went to thpt đức trí,tân châu|tân châu,notknown
4576,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam|tân châu",notknown
4577,,,,,
4578,no workplaces to show,studied at trường đại học giao thông vận tải tp.hcm,no schools to show,"cat tuong, nghia binh, vietnam|phú phong, bình ðịnh, vietnam",male
4579,,,,,
4580,works at an giang,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
4581,,,,,
4582,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
4583,,,,,
4584,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam",notknown
4585,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",no places to show,female
4586,,,,,
4587,no workplaces to show,no schools to show,no schools to show,no places to show,female
4588,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4589,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4590,former cộng tác viên at podcast mực tím,no schools to show,no schools to show,tuy hòa|dong hoa,female
4591,,,,,
4592,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
4593,,,,,
4594,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4595,,,,,
4596,,,,,
4597,no workplaces to show,no schools to show,no schools to show,no places to show,male
4598,,,,,
4599,,,,,
4600,works at trường thcs phú lâm,studied at thcs phú lâm,went to trường thcs phú lâm,"phú lâm, an giang, vietnam",female
4601,,,,,
4602,,,,,
4603,,,,,
4604,,,,,
4605,,,,,
4606,works at an giang,studies at an giang university,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam|angiang, an giang, vietnam",male
4607,,,,,
4608,no workplaces to show,studies at trường đại học y dược cần thơ,went to trường thpt long khánh,"xuân lộc, ðồng nai, vietnam",male
4609,,,,,
4610,,,,,
4611,,,,,
4612,,,,,
4613,,,,,
4614,,,,,
4615,,,,,
4616,,,,,
4617,,,,,
4618,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4619,no workplaces to show,no schools to show,goes to thpt đức trí,"ho chi minh city, vietnam|tân châu",male
4620,no workplaces to show,studied y đa khoa ( general medicine ) at đại học y khoa phạm ngọc thạch,went to trường thpt chuyên quang trung - bình phước,no places to show,female
4621,"works at sông cầu, phú yên, việt nam",no schools to show,went to trường thpt phan chu trinh - sông cầu - phú yên,"ho chi minh city, vietnam|sông cầu",notknown
4622,tân châu,no schools to show,went to thcs chu văn an tân châu,"ho chi minh city, vietnam|tân châu",notknown
4623,no workplaces to show,studies at ueh - trường đại học kinh tế tp.hcm,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam",female
4624,"works at saïgon-cholon, vietnam",studied at harvard university,"went to thpt nguyễn chí thanh, phú tân, an giang","ho chi minh city, vietnam|angiang, an giang, vietnam",female
4625,,,,,
4626,,,,,
4627,,,,,
4628,,,,,
4629,no workplaces to show,no schools to show,no schools to show,no places to show,female
4630,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|long xuyên",notknown
4631,,,,,
4632,,,,,
4633,,,,,
4634,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4635,,,,,
4636,,,,,
4637,no workplaces to show,no schools to show,no schools to show,"tay ho, ha noi, vietnam|hanoi, vietnam",notknown
4638,tiểu đoàn 511 đại đội 6|tiểu đoàn 511 đại đội 6|tiểu đoàn 511 đại đội 6|tiểu đoàn 511 đại đội 6,studied at trường thpt arb (ăn rồi báo),no schools to show,"angiang, an giang, vietnam|hiep xuong, an giang, vietnam",notknown
4639,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4640,quang ngai,no schools to show,went to hutech - đại học công nghệ tp.hcm,quang ngai,notknown
4641,no workplaces to show,no schools to show,no schools to show,biên hòa|biên hòa,notknown
4642,works at học viện hàng không việt nam (ăn hàng - ở không).,no schools to show,went to thpt nguyễn chí thanh,"long xuyên|angiang, an giang, vietnam",female
4643,works at binh duong - viet nam,studied at tuổi học trò,went to trường  thcs và thpt khánh hưng,"vinh hung|chaudok, an giang, vietnam",male
4644,,,,,
4645,works at leobarbershop1 36 tân kỳ tân qúy|works at leobarbershop1 36 tân kỳ tân qúy|works at leobarbershop1 36 tân kỳ tân qúy|works at leobarbershop1 36 tân kỳ tân qúy|works at leobarbershop1 36 tân kỳ tân qúy|works at leobarbershop1 36 tân kỳ tân qúy|works at leobarbershop1 36 tân kỳ tân qúy,studied at đại học hoa sen,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
4646,,,,,
4647,,,,,
4648,,,,,
4649,,,,,
4650,,,,,
4651,,,,,
4652,no workplaces to show,no schools to show,no schools to show,no places to show,female
4653,,,,,
4654,,,,,
4655,,,,,
4656,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
4657,,,,,
4658,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|da lat",female
4659,no workplaces to show,no schools to show,no schools to show,"hanoi, vietnam",notknown
4660,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|vung tau",male
4661,no workplaces to show,studies at trường cao đẳng y dược sài gòn,no schools to show,"mitho, tiền giang, vietnam|mitho, tiền giang, vietnam",notknown
4662,,,,,
4663,,,,,
4664,,,,,
4665,,,,,
4666,giao vien at trường thcs phú lâm,studied at đại học an giang|studied at đại học an giang,went to trường thcs phú lâm|went to trường thcs phú lâm,"phú lâm, an giang, vietnam|phú lâm, an giang, vietnam",male
4667,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam",notknown
4668,,,,,
4669,,,,,
4670,,,,,
4671,,,,,
4672,,,,,
4673,no workplaces to show,no schools to show,went to thpt duc tri,no places to show,female
4674,,,,,
4675,,,,,
4676,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
4677,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
4678,,,,,
4679,,,,,
4680,no workplaces to show,no schools to show,went to thpt hồng ngự 3,"hanoi, vietnam|hanoi, vietnam",male
4681,no workplaces to show,no schools to show,no schools to show,gò vấp|gò vấp,female
4682,,,,,
4683,no workplaces to show,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt chu văn an - an giang,"angiang, an giang, vietnam|phu my, an giang, vietnam",male
4684,,,,,
4685,,,,,
4686,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4687,no workplaces to show,no schools to show,no schools to show,"phu quoc, kiến giang, vietnam|phu quoc, kiến giang, vietnam",notknown
4688,,,,,
4689,no workplaces to show,studied at cofer,no schools to show,no places to show,female
4690,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4691,,,,,
4692,no workplaces to show,studies at trường đại học nông lâm tp.hcm,went to thpt tam phú,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
4693,,,,,
4694,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
4695,no workplaces to show,no schools to show,no schools to show,no places to show,male
4696,,,,,
4697,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam|angiang, an giang, vietnam",notknown
4698,,,,,
4699,no workplaces to show,studied at hutech - đại học công nghệ tp.hcm,no schools to show,thap muoi,notknown
4700,,,,,
4701,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ấp tân phú, an giang, vietnam",female
4702,,,,,
4703,châu đốc - an giang,no schools to show,no schools to show,"chau phú, an giang, vietnam",female
4704,,,,,
4705,works at daytiengtrung.vn - tiếng trung thảo điệp,no schools to show,"went to thpt nguyễn văn cừ, từ sơn, bắc ninh",bắc ninh,notknown
4706,no workplaces to show,studied at can tho college|studied at can tho college,no schools to show,can tho|can tho,notknown
4707,,,,,
4708,,,,,
4709,,,,,
4710,,,,,
4711,,,,,
4712,no workplaces to show,no schools to show,goes to trường cao đẳng y tế cà mau|goes to trường cao đẳng y tế cà mau,cà mau|cà mau,female
4713,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4714,,,,,
4715,,,,,
4716,ủy viên bch đoàn khoa cnvl at trường đại học bách khoa - đh quốc gia tp.hcm|ủy viên bch đoàn khoa cnvl at trường đại học bách khoa - đh quốc gia tp.hcm|ủy viên bch đoàn khoa cnvl at trường đại học bách khoa - đh quốc gia tp.hcm|ủy viên bch đoàn khoa cnvl at trường đại học bách khoa - đh quốc gia tp.hcm,no schools to show,went to trường thpt lộc thành,bao loc|bao loc,male
4717,no workplaces to show,no schools to show,no schools to show,no places to show,female
4718,,,,,
4719,,,,,
4720,"ho chi minh city, vietnam",no schools to show,no schools to show,no places to show,male
4721,no workplaces to show,no schools to show,no schools to show,no places to show,male
4722,,,,,
4723,no workplaces to show,no schools to show,no schools to show,no places to show,female
4724,,,,,
4725,,,,,
4726,no workplaces to show,studied at hồng ngự,no schools to show,hồng ngự,notknown
4727,works at binh duong - viet nam,no schools to show,"went to thpt tân châu, an giang","tân châu|angiang, an giang, vietnam",male
4728,works at trường thpt hồng ngự 2,studied at thpt hong ngu 2,went to trường thpt hồng ngự 2- đồng tháp|went to trường thpt hồng ngự 2- đồng tháp,hồng ngự|hồng ngự,notknown
4729,,,,,
4730,,,,,
4731,no workplaces to show,no schools to show,no schools to show,biên hòa|long khanh,notknown
4732,,,,,
4733,,,,,
4734,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4735,,,,,
4736,,,,,
4737,,,,,
4738,no workplaces to show,no schools to show,no schools to show,"nhà bàng, an giang, vietnam",male
4739,no workplaces to show,no schools to show,no schools to show,vinh,notknown
4740,no workplaces to show,no schools to show,no schools to show,no places to show,female
4741,,,,,
4742,,,,,
4743,,,,,
4744,"works at bravesoft vietnam co., ltd.|works at bravesoft vietnam co., ltd.|works at bravesoft vietnam co., ltd.",studied at đại học quốc gia tp.hcm|studied at đại học quốc gia tp.hcm|studied at đại học quốc gia tp.hcm,went to trường thpt đồng lộc,"ho chi minh city, vietnam|hà tĩnh",male
4745,,,,,
4746,,,,,
4747,no workplaces to show,studied at trường đại học công nghiệp thực phẩm - hufi|studied at trường đại học công nghiệp thực phẩm - hufi,no schools to show,"ho chi minh city, vietnam|tanh linh",notknown
4748,,,,,
4749,no workplaces to show,no schools to show,no schools to show,"bình chánh, hồ chí minh, vietnam|ho chi minh city, vietnam",female
4750,works at hanuri korean fast food,studies quản trị nguồn nhân lực at nttu - đại học nguyễn tất thành,no schools to show,"seoul, korea|seoul, korea",female
4751,,,,,
4752,no workplaces to show,no schools to show,"went to thpt nguyễn thị minh khai, mỏ cày nam, bến tre",bến tre|mo cay,male
4753,,,,,
4754,,,,,
4755,works at đại học bách khoa hà nội - hanoi university of science and technology|works at đại học bách khoa hà nội - hanoi university of science and technology,no schools to show,went to gối việt,hà tĩnh,male
4756,,,,,
4757,,,,,
4758,,,,,
4759,,,,,
4760,works at trường đại học ngoại ngữ - đại học đà nẵng,studied at trường đại học ngoại ngữ - đại học đà nẵng,no schools to show,"da nang, vietnam|quang ngai",notknown
4761,,,,,
4762,,,,,
4763,,,,,
4764,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|phu my, vietnam",notknown
4765,,,,,
4766,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4767,no workplaces to show,studied at ueh - trường đại học kinh tế tp.hcm,went to trường thcs phú lâm,"long xuyên|angiang, an giang, vietnam",notknown
4768,,,,,
4769,no workplaces to show,no schools to show,no schools to show,thanh hóa,male
4770,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4771,benh vien pham ngoc thach,no schools to show,no schools to show,"ho chi minh city, vietnam",female
4772,,,,,
4773,,,,,
4774,,,,,
4775,works at trường thpt quốc thái,no schools to show,no schools to show,an phu,notknown
4776,no workplaces to show,studied at trường đại học đồng tháp,no schools to show,tri tôn|tri tôn,notknown
4777,,,,,
4778,no workplaces to show,no schools to show,no schools to show,no places to show,female
4779,no workplaces to show,no schools to show,"went to thpt nguyễn quang diêu, tân châu, an giang",tân châu,male
4780,,,,,
4781,,,,,
4782,no workplaces to show,no schools to show,no schools to show,"tân châu|angiang, an giang, vietnam",notknown
4783,no workplaces to show,no schools to show,no schools to show,cao lãnh|lai vung,notknown
4784,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4785,,,,,
4786,no workplaces to show,no schools to show,"went to thpt tân châu, an giang",tân châu|tân châu,female
4787,middle school at thpt nguyễn hiền,no schools to show,went to trường thcs lạc hồng quận 10,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
4788,works at công ty may xnk nam quang,no schools to show,no schools to show,giong rieng,notknown
4789,,,,,
4790,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4791,,,,,
4792,,,,,
4793,,,,,
4794,,,,,
4795,no workplaces to show,studied quản trị kinh doanh at hiu - đại học quốc tế hồng bàng,"went to thpt tân châu, tân châu, an giang","tân châu|angiang, an giang, vietnam",notknown
4796,,,,,
4797,,,,,
4798,no workplaces to show,studies at trường đại học bách khoa - đh quốc gia tp.hcm,went to trường thpt kế sách,"ho chi minh city, vietnam|soc trang",male
4799,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
4800,,,,,
4801,,,,,
4802,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4803,staff at công ty tnhh nobland việt nam,no schools to show,"goes to thpt tân châu, tân châu, an giang","ho chi minh city, vietnam",female
4804,,,,,
4805,no workplaces to show,no schools to show,went to trường thpt nguyễn sinh sắc,phú long,notknown
4806,tài xế kube,no schools to show,went to th - thcs an lạc confession,no places to show,male
4807,,,,,
4808,,,,,
4809,,,,,
4810,no workplaces to show,no schools to show,no schools to show,"xa dau giay, vietnam",notknown
4811,"works at hifriendz - thuê phòng, căn hộ không cần cọc",studies at đại học tôn đức thắng,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
4812,,,,,
4813,tân châu,no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu|angiang, an giang, vietnam",notknown
4814,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
4815,no workplaces to show,no schools to show,no schools to show,no places to show,male
4816,,,,,
4817,,,,,
4818,,,,,
4819,,,,,
4820,,,,,
4821,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
4822,works at clb kế toán - kiểm toán a²c,studies at ueh - trường đại học kinh tế tp.hcm,went to trường thpt chuyên thoại ngọc hầu,"ho chi minh city, vietnam",female
4823,works at thành phố cần thơ,studied at trường đại học tây đô,no schools to show,can tho|tân châu,notknown
4824,,,,,
4825,,,,,
4826,tuy hòa|tuy hòa,no schools to show,went to thpt nguyen van linh dong hoa phu yen,tuy hòa|phù yên,female
4827,"bộ công thương, hai bà trưng",studied at đại học ngoại thương,no schools to show,no places to show,female
4828,no workplaces to show,no schools to show,no schools to show,"cam my|qui nhon, bình ðịnh, vietnam",male
4829,,,,,
4830,,,,,
4831,,,,,
4832,,,,,
4833,,,,,
