id,Workplaces,College,School,Places,Gender
11182,full-stack developer at amanotes|full-stack developer at amanotes,no schools to show,no schools to show,"thành phố hồ chí minh, hồ chí minh, vietnam|ho chi minh city, vietnam",male
11183,hồng ngự,studied at thcs an thạnh,went to th - thcs an lạc confession,hồng ngự|hồng ngự,notknown
11184,no workplaces to show,no schools to show,went to trường thpt ca văn thỉnh- ca van thinh high school,"ho chi minh city, vietnam|bến tre",notknown
11185,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11186,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11187,no workplaces to show,studied at hutech - đại học công nghệ tp.hcm,no schools to show,no places to show,male
11188,no workplaces to show,studied at trường thpt chuyên phan ngọc hiển - cà mau,went to trường thpt chuyên phan ngọc hiển - cà mau|went to trường thpt chuyên phan ngọc hiển - cà mau,cà mau,male
11189,no workplaces to show,no schools to show,goes to trường thpt phan chu trinh - sông cầu - phú yên,no places to show,female
11190,no workplaces to show,studied y đa khoa at nttu - đại học nguyễn tất thành,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
11191,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
11192,no workplaces to show,no schools to show,no schools to show,no places to show,female
11193,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
11194,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
11195,no workplaces to show,studied dược at can tho medical college,"went to thpt nguyễn quang diêu, tân châu, an giang",can tho|tân châu,male
11196,no workplaces to show,no schools to show,no schools to show,vung tau,notknown
11197,former studying at nttu - đại học nguyễn tất thành,studied at nttu - đại học nguyễn tất thành,went to trường thcs phú lâm,"ho chi minh city, vietnam|phú lâm, an giang, vietnam",female
11198,quản lý at merci store|quản lý at merci store,studied cử nhân điều dưỡng 💉👩‍⚕️ at đoàn trường cao đẳng y tế an giang,went to trung học phổ thông nguyễn văn thoại,"angiang, an giang, vietnam|long xuyên",notknown
11199,works at bình dương,no schools to show,went to trường thcs phú lâm,tân uyên,notknown
11200,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11201,trấn thành town|trấn thành town,"studies at trường đại học khoa học tự nhiên, đại học quốc gia tp.hcm",went to thpt bình phú (quận 6)|went to thpt bình phú (quận 6),"ho chi minh city, vietnam|ho chi minh city, vietnam",female
11202,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
11203,nhân viên phục vụ hải sản bo|nhân viên phục vụ hải sản bo,studied at trường đại học mở tp. hcm - tư vấn tuyển sinh,went to thpt duc tri,"tân châu|angiang, an giang, vietnam",male
11204,works at hoàng gia bakery long thành,studied at harvard university|studied at harvard university,no schools to show,hà tĩnh|hà tĩnh,male
11205,works at học viện hàng không việt nam (ăn hàng - ở không).,studied at đại học bôn ba,went to thcs lam son 2 - quan 6,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
11206,no workplaces to show,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt tân hiệp - kiên giang,"ho chi minh city, vietnam|rach gia",female
11207,works at thpt châu phong|works at thpt châu phong|works at thpt châu phong,no schools to show,no schools to show,"tân châu|seoul, korea",female
11208,no workplaces to show,no schools to show,went to trường thpt phan văn đạt,"tân an, long an",notknown
11209,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11210,works at trường đời,no schools to show,went to thpt hưng yên,"hung yen, hưng yên, vietnam|hung yen, hưng yên, vietnam",female
11211,no workplaces to show,studied pha chế at trường saigontourist|studied pha chế at trường saigontourist,no schools to show,"ho chi minh city, vietnam",male
11212,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11213,tân châu,studied at trường cao đẳng bách khoa nam sài gòn,no schools to show,tân châu|tân châu,female
11214,former studying at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,studied information systems at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam",male
11215,works at trường đại học nông lâm tp.hcm,no schools to show,no schools to show,"my tho, ðồng tháp, vietnam|cao lãnh",male
