id,Workplaces,College,School,Places,Gender
10882,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,male
10883,no workplaces to show,studies at ueh - trường đại học kinh tế tp.hcm,no schools to show,"ho chi minh city, vietnam",notknown
10884,former trabajador at ho chi minh city,studied ca sĩ at bo decor - trang trí sự kiện & lễ hội,no schools to show,"ho chi minh city, vietnam|tân châu",female
10885,ban truyền thông - it at clb tình nguyện khoa y,studies y khoa at đại học y dược tp hồ chí minh,went to trường thcs tt núi sập|went to trường thcs tt núi sập,"angiang, an giang, vietnam|angiang, an giang, vietnam",male
10886,works at gạch á châu - gạch đẹp giá tốt,no schools to show,went to trường thpt ca văn thỉnh- ca van thinh high school,"ho chi minh city, vietnam|bến tre",female
10887,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
10888,siêu siêu ăn bám|siêu siêu ăn bám,no schools to show,no schools to show,"ho chi minh city, vietnam|ấp tân phú, an giang, vietnam",male
10889,"bình chánh, hồ chí minh, vietnam",studied at học viện cán bộ thành phố hồ chí minh,went to thpt tân túc huyện bình chánh,"bình chánh, hồ chí minh, vietnam|bình chánh, hồ chí minh, vietnam",female
10890,works at an giang,no schools to show,no schools to show,"tân châu|angiang, an giang, vietnam",notknown
10891,no workplaces to show,no schools to show,went to ngô thời nhiệm school|went to ngô thời nhiệm school,biên hòa,notknown
10892,no workplaces to show,no schools to show,no schools to show,"hanoi, vietnam|thanh hóa",notknown
10893,có 10.999 người đánh giá sản phẩm chất lượng|có 10.999 người đánh giá sản phẩm chất lượng,studied at cao dang nghe an giang,"went to thpt nguyễn chí thanh, phú tân, an giang","tân an, long an",notknown
10894,no workplaces to show,studied at nam can tho university,no schools to show,can tho,female
10895,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10896,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10897,no workplaces to show,no schools to show,"went to thpt tân châu, an giang","ho chi minh city, vietnam",male
10898,thành viên đội sinh viên tình nguyện khoa công nghệ thông tin,"studied công nghệ thông tin at trường đại học khoa học tự nhiên, đại học quốc gia tp.hcm|studied công nghệ thông tin at trường đại học khoa học tự nhiên, đại học quốc gia tp.hcm",went to thpt nguyen van thoai,"ho chi minh city, vietnam",male
10899,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu,female
10900,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10901,,,,,
10902,tân châu,no schools to show,"went to thpt tân châu, an giang",tân châu|tân châu,female
10903,works at binh duong - viet nam,no schools to show,went to wewear shop,"củ chi, hồ chí minh, vietnam|thu dau mot",male
10904,,,,,
10905,no workplaces to show,no schools to show,no schools to show,no places to show,male
10906,,,,,
10907,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|cà mau",female
10908,no workplaces to show,studies ngôn ngữ anh at trường đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,went to trường thpt nguyễn hữu cầu tp.hcm,"ho chi minh city, vietnam|sa đéc|đồng tháp",male
10909,no workplaces to show,studied cntt at trường đại học bách khoa-đại học đà nẵng,went to thpt chuyên quốc học huế,"da nang, vietnam|hue, vietnam",male
10910,no workplaces to show,no schools to show,no schools to show,"hue, vietnam|hue, vietnam",notknown
10911,no workplaces to show,studied at uef - đại học kinh tế tài chính tp.hcm,no schools to show,tra vinh|cau ngang|tra vinh,notknown
10912,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10913,no workplaces to show,no schools to show,no schools to show,"hanoi, vietnam",female
10914,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang",no places to show,notknown
10915,works at facebook,studied at harvard university,went to thpt đức trí|went to thpt đức trí,tân châu|tân châu,male
10916,works at cựu học sinh trường thpt bùi dục tài,studied kỹ thuật điều khiển và tự động hóa at đại học bách khoa đà nẵng - danang university of science and technology,no schools to show,"da nang, vietnam|hue, vietnam",notknown
10917,no workplaces to show,studied at đại học an giang,no schools to show,tân châu,notknown
10918,works at đại học y dược huế - hue university of medicine and pharmacy,studied at đại học y dược huế - hue university of medicine and pharmacy,no schools to show,"ky son, nghệ an, vietnam",notknown
10919,no workplaces to show,studied truyền thông & mạng máy tính at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm|studied truyền thông & mạng máy tính at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to huynh thuc khang high school,"khanh hoa, khánh hòa, vietnam|van ninh",male
10920,works at trường thpt thịnh long - hải hậu - nam định,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt thịnh long,"nam định, nam định, vietnam|hai hau",male
10921,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10922,works at thpt tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang|went to thpt tân châu, tân châu, an giang","tân châu|angiang, an giang, vietnam",female
10923,no workplaces to show,studies at university of economics ho chi minh city - ueh,no schools to show,"ho chi minh city, vietnam",notknown
10924,no workplaces to show,studies at đại học công nghệ sài gòn - saigon technology university|studies at đại học công nghệ sài gòn - saigon technology university,no schools to show,tây ninh|tây ninh,male
10925,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10926,tân châu,no schools to show,no schools to show,tân châu|tân châu,male
10927,"ho chi minh city, vietnam",studied quản trị nhân lực at hutech - đại học công nghệ tp.hcm,went to trường thcs & thpt hồng hà,"ho chi minh city, vietnam|gò vấp",notknown
10928,no workplaces to show,studied at trường đại học giao thông vận tải tp.hcm,no schools to show,vung tau,notknown
10929,no workplaces to show,no schools to show,no schools to show,no places to show,male
10930,studying at trường đại học ngân hàng thành phố hồ chí minh,no schools to show,goes to trường thpt nguyễn huệ,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
10931,no workplaces to show,no schools to show,no schools to show,"ben cat|angiang, an giang, vietnam|ben cat",notknown
10932,long xuyên,"studied at thpt nguyễn chí thanh, phú tân, an giang","goes to thpt nguyễn chí thanh,chợ vàm,phú tân,an giang",no places to show,male
10933,,,,,
10934,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
10935,no workplaces to show,no schools to show,no schools to show,,female
