id,Workplaces,College,School,Places,Gender
5830,no workplaces to show,studied y đa khoa at trung tâm huấn luyện học viện quân y phía nam|studied y đa khoa at trung tâm huấn luyện học viện quân y phía nam|studied y đa khoa at trung tâm huấn luyện học viện quân y phía nam,went to trường thpt chuyên thủ khoa nghĩa|went to trường thpt chuyên thủ khoa nghĩa,"chaudok, an giang, vietnam",male
5831,works at công ty giày da vĩnh nghĩa|works at công ty giày da vĩnh nghĩa|works at công ty giày da vĩnh nghĩa,studies at ăn°ròi°báo°»99%,went to thcs long thạnh,"ho chi minh city, vietnam|tân châu|ho chi minh city, vietnam",female
5832,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang|went to thpt tân châu, tân châu, an giang",tân châu,notknown
5833,no workplaces to show,studied at nttu - đại học nguyễn tất thành,no schools to show,gò công,notknown
5834,no workplaces to show,no schools to show,no schools to show,can tho,notknown
5835,works at binh duong - viet nam,"studied at ¤""tao đéo kần"" tkứ qọi là tìh iu!""(¤tao ckỉ kần, mày sốq sau cko đáq là c0n nqười¤)""",went to thpt thới bình,thu dau mot|cà mau,female
5836,chất lượng đứng đầu|chất lượng đứng đầu|chất lượng đứng đầu|chất lượng đứng đầu|chất lượng đứng đầu|chất lượng đứng đầu|chất lượng đứng đầu,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu,female
5837,no workplaces to show,studies at trường đại học cần thơ,went to trường thpt nguyễn văn thoại,long xuyên|long xuyên,male
5838,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
5839,no workplaces to show,studies at trường đại học tài chính - marketing,"went to thpt trần quốc toản - eakar, daklak|went to thpt trần quốc toản - eakar, daklak","buôn ma thuột, đắc lắk, vietnam|buon me thuot",female
5840,no workplaces to show,no schools to show,no schools to show,vung tau|vung tau,female
5841,no workplaces to show,studied at phân viện miền nam - học viện thanh thiếu niên việt nam,went to thpt hùng vương  -  long an,"tân an, long an|tân an, long an|tân an, long an",notknown
5842,no workplaces to show,studies at trường đại học nông lâm tp.hcm,no schools to show,bến tre,notknown
5843,no workplaces to show,no schools to show,no schools to show,"calgary, alberta|tân châu",female
5844,no workplaces to show,no schools to show,no schools to show,can tho,female
5845,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
5846,works at an giang province,no schools to show,no schools to show,no places to show,notknown
5847,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
5848,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tan binh, ðồng tháp, vietnam",notknown
5849,no workplaces to show,studied at đại học tôn đức thắng,went to thpt phan đình phùng,"sông cầu|songkau, phú yên, vietnam|sông cầu",notknown
5850,,,,,
5851,no workplaces to show,no schools to show,no schools to show,no places to show,male
5852,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
5853,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam",female
5854,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
5855,tiểu đoàn cảnh sát cơ động số 3,studies at đại học văn hiến,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam|tân châu",notknown
5856,works at freelance,studied at hutech - đại học công nghệ tp.hcm,went to trường hai bà trưng huế,"ho chi minh city, vietnam|hue, vietnam",notknown
5857,no workplaces to show,no schools to show,goes to trường thpt ca văn thỉnh- ca van thinh high school,bến tre|bến tre,female
5858,no workplaces to show,studies at đại học tôn đức thắng,goes to trường trung học phổ thông nguyễn đình chiểu,my tho|my tho,female
