id,Workplaces,College,School,Places,Gender
8025,quy nhon,studies at trường đại học tài chính - marketing,went to trường thpt quốc học quy nhơn,quy nhon,female
8026,,,,,
8027,no workplaces to show,no schools to show,goes to thcs phú long,phú long,male
8028,,,,,
8029,no workplaces to show,no schools to show,no schools to show,thái bình,notknown
8030,no workplaces to show,no schools to show,no schools to show,tân châu,male
8031,,,,,
8032,,,,,
8033,no workplaces to show,no schools to show,went to thpt đức trí,"ho chi minh city, vietnam|long thuan, ðồng tháp, vietnam",male
8034,tân châu,no schools to show,"went to thpt tân châu, an giang","ho chi minh city, vietnam|angiang, an giang, vietnam",female
8035,giáo viên at trường tiểu học phú lâm,no schools to show,goes to trường thcs phú lâm|goes to trường thcs phú lâm,"phú lâm, an giang, vietnam|phú lâm, an giang, vietnam",male
8036,,,,,
8037,,,,,
8038,,,,,
8039,,,,,
8040,"works at chợ dĩ an, bình dương|works at chợ dĩ an, bình dương",no schools to show,went to học hành � ằn chơi � quậy phá � tơi bời � mới là � đời học sinh�.,di an|cà mau,female
8041,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
8042,,,,,
8043,,,,,
8044,,,,,
8045,tân châu,studied at trường đại học văn lang,went to thpt đức trí,tân châu,male
8046,,,,,
8047,,,,,
8048,,,,,
8049,no workplaces to show,studied software engineering at trường đại học kỹ thuật - công nghệ cần thơ,"went to thpt tân châu, tân châu, an giang",can tho|tân châu,notknown
8050,works at facebook|works at facebook|works at facebook,no schools to show,no schools to show,"chaudok, an giang, vietnam|tân châu",notknown
8051,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam",notknown
8052,,,,,
8053,,,,,
8054,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8055,,,,,
8056,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|buon me thuot|quận gò vấp",notknown
8057,,,,,
8058,kon tum|kon tum,no schools to show,no schools to show,"kon tum|ho chi minh city, vietnam",female
8059,,,,,
8060,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8061,,,,,
8062,no workplaces to show,no schools to show,no schools to show,hồng ngự|hồng ngự,female
8063,,,,,
8064,no workplaces to show,no schools to show,went to thpt nhon trach,nhon trach|nhon trach,male
8065,,,,,
8066,,,,,
8067,,,,,
8068,,,,,
8069,bình dương province,no schools to show,no schools to show,phú lâm,notknown
8070,,,,,
8071,,,,,
8072,no workplaces to show,no schools to show,went to trường thpt nguyễn quang diêu,"ho chi minh city, vietnam|tân châu",notknown
8073,soc trang,studied at truong dai hoc nam can tho,went to văn ngọc chính high school,"soc trang|my xuyen, sóc trăng, vietnam",male
8074,no workplaces to show,no schools to show,went to trường thpt tân châu,long xuyên|phú long,male
8075,,,,,
8076,no workplaces to show,studied at trường đại học ngoại ngữ - tin học tp. hcm - huflit,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",male
8077,no workplaces to show,no schools to show,"goes to thpt tân châu, tân châu, an giang",tân châu|tân châu,male
8078,,,,,
8079,,,,,
8080,,,,,
8081,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8082,no workplaces to show,no schools to show,no schools to show,"chaudok, an giang, vietnam",notknown
8083,,,,,
8084,,,,,
8085,works at facebook,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",female
8086,,,,,
8087,,,,,
8088,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8089,,,,,
8090,,,,,
8091,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
8092,,,,,
8093,,,,,
8094,,,,,
