id,Workplaces,College,School,Places,Gender
3362,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,notknown
3363,no workplaces to show,studies at trường đại học mở tp. hồ chí minh,went to trường trung học phổ thông nguyễn đình chiểu,no places to show,female
3364,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
3365,works at vng corporation,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to thpt chuyên nguyễn chí thanh,no places to show,notknown
3366,no workplaces to show,no schools to show,no schools to show,no places to show,female
3367,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|nhà bè, hồ chí minh, vietnam",male
3368,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,notknown
3369,no workplaces to show,studied at trường đại học bách khoa-đại học đà nẵng,went to trường thcs huỳnh thúc kháng,"da nang, vietnam|quang nam, quang nam-da nang, vietnam",female
3370,"works at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",no schools to show,went to tan dong hiep|went to tan dong hiep,di an,male
3371,no workplaces to show,studies public relation (pr) -quan hệ công chúng at trường đại học văn lang,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
3372,no workplaces to show,no schools to show,no schools to show,no places to show,male
3373,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3374,c&m department member at liên chi hội sinh viên khoa quan hệ quốc tế|c&m department member at liên chi hội sinh viên khoa quan hệ quốc tế|c&m department member at liên chi hội sinh viên khoa quan hệ quốc tế,studies at trường đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,no schools to show,no places to show,female
3375,no workplaces to show,studies at trường đại học tài chính - marketing,went to nguyen huu cau high school|went to nguyen huu cau high school,"hóc môn, hồ chí minh, vietnam|hóc môn, hồ chí minh, vietnam",female
3376,no workplaces to show,no schools to show,no schools to show,no places to show,male
3377,no workplaces to show,studies y khoa at dai hoc y duoc tphcm,no schools to show,"ho chi minh city, vietnam|ba tri",female
3378,no workplaces to show,studies archetecture at trường đại học kiến trúc đà nẵng,went to thpt tiểu la - thăng bình - quảng nam,"da nang, vietnam|bac giang",notknown
3379,"works at saïgon-cholon, vietnam",no schools to show,no schools to show,"chaudok, an giang, vietnam",male
3380,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3381,no workplaces to show,no schools to show,no schools to show,no places to show,female
3382,no workplaces to show,no schools to show,no schools to show,tân châu|phú lâm,male
3383,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3384,no workplaces to show,studies at trường đại học giao thông vận tải tp.hcm,no schools to show,no places to show,male
3385,works at người của công chúng|works at người của công chúng,no schools to show,no schools to show,"củ chi, hồ chí minh, vietnam|củ chi, hồ chí minh, vietnam",notknown
3386,thành phố hồ chí minh,no schools to show,"went to thpt tân châu, an giang","ho chi minh city, vietnam|tân châu",male
3387,no workplaces to show,no schools to show,no schools to show,no places to show,male
3388,"works at phú tân, an giang",no schools to show,goes to trường trung học cơ sở phú lâm,"angiang, an giang, vietnam",male
3389,no workplaces to show,no schools to show,no schools to show,no places to show,female
3390,𝙌𝐮ả𝐧 𝐓𝐫ị 𝐕𝐢ê𝐧 at cộng đồng kinh doanh thực chiến,studied at học viện công nghệ bưu chính viễn thông - ptit,went to nguyễn bỉnh khiêm confession,"ho chi minh city, vietnam|djrott, lâm ðồng, vietnam",notknown
3391,nhân viên kỹ thuật at camera tín nghĩa,no schools to show,"went to thpt  bắc trà my, bắc trà my, quảng nam","da nang, vietnam|trà my, quang nam-da nang, vietnam",male
3392,works at bosch global software technologies vietnam|works at bosch global software technologies vietnam|works at bosch global software technologies vietnam,studies automation and control engineering at trường đại học bách khoa - đh quốc gia tp.hcm,went to thpt chuyên lê quý đôn quảng trị,"ho chi minh city, vietnam|vinh linh",male
3393,no workplaces to show,no schools to show,went to vĩnh phú - trường thcs vĩnh phú,tân châu,female
3394,no workplaces to show,studied quản trị kinh doanh at hutech - đại học công nghệ tp.hcm,went to thpt quốc thái,"chaudok, an giang, vietnam|an phu",notknown
3395,no workplaces to show,no schools to show,no schools to show,no places to show,female
3396,trung tâm y tế sơn tịnh,studies at đại học khoa học tự nhiên|studies at đại học khoa học tự nhiên|studies at đại học khoa học tự nhiên,went to trường thpt bình sơn,"binh son, quảng ngãi, vietnam|binh son, quảng ngãi, vietnam",notknown
3397,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,male
3398,no workplaces to show,no schools to show,no schools to show,tây ninh|tây ninh,female
3399,works at yg family,studied at trường đại học đồng tháp,"went to thpt tân châu, tân châu, an giang",no places to show,female
3400,hồng ngự,studied at can tho university,no schools to show,hồng ngự|hồng ngự,male
3401,no workplaces to show,studied công nghệ thông tin at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt phạm văn đồng|went to trường thpt phạm văn đồng,quang ngai|quang ngai,male
3402,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3403,no workplaces to show,no schools to show,went to thpt nguyễn chí thanh,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
3404,works at trường thpt lê quý đôn - bình phước,no schools to show,no schools to show,no places to show,male
3405,works at trường quốc học - huế,no schools to show,went to trường quốc học - huế,no places to show,male
3406,no workplaces to show,"studies information techology at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh","went to thpt  cao bá quát, núi thành, quảng nam","ho chi minh city, vietnam|quang nam, quang nam-da nang, vietnam",male
3407,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|hồng ngự",female
3408,works at ví momo|works at ví momo|works at ví momo|works at ví momo,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt dĩ an,di an,male
3409,no workplaces to show,studies at trường đại học nông lâm tp.hcm,"went to thpt nguyễn chí thanh, phú tân, an giang","angiang, an giang, vietnam",female
3410,no workplaces to show,studies at đại học công nghệ đồng nai,went to truong vinh ky primary - secondary - high school,long khanh|long khanh,notknown
3411,"hanoi, vietnam",studies at trường đại học sư phạm hà nội,went to trường thpt thái phiên - hải phòng,"hanoi, vietnam|hai phong, vietnam",female
3412,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3413,works at bán hàng online việt nam|works at bán hàng online việt nam|works at bán hàng online việt nam|works at bán hàng online việt nam,studies at mỹ phẩm beauty queen,no schools to show,"buon me thuot|ban dak, đắc lắk, vietnam",notknown
3414,embedded dev at fuelcloud inc|embedded dev at fuelcloud inc,studied telecommunications and electronics engineering at the university of technical education ho chi minh city (hcmute),no schools to show,"ho chi minh city, vietnam|biên hòa",notknown
3415,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
3416,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,male
3417,no workplaces to show,no schools to show,no schools to show,no places to show,male
3418,no workplaces to show,no schools to show,no schools to show,"tay coc (1), vinh phu, vietnam",notknown
3419,works at binh duong - viet nam,no schools to show,"went to thpt tân châu, tân châu, an giang",ben cat|tân châu|ben cat,male
3420,no workplaces to show,no schools to show,no schools to show,no places to show,male
3421,no workplaces to show,studied at university of economics ho chi minh city - ueh,no schools to show,"ho chi minh city, vietnam",female
3422,works at quảng ngãi quê hương tôi,no schools to show,no schools to show,quang ngai|quang ngai,notknown
3423,no workplaces to show,no schools to show,no schools to show,phù cát,female
3424,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|phu vinh, an giang, vietnam",female
3425,works at hạt giống hoa nhập khẩu - yeuhoa shop,studied at cao đẳng công nghệ thủ đức,no schools to show,chon thanh|chon thanh,male
3426,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3427,tân châu,studied at dh an giang,no schools to show,tân châu|tân châu,female
3428,no workplaces to show,no schools to show,no schools to show,"tân châu|angiang, an giang, vietnam",female
3429,no workplaces to show,no schools to show,went to thpt đức trí,no places to show,female
3430,no workplaces to show,studies at trường đại học kinh tế - luật,went to thpt chuyên nguyễn tất thành - kontum,kon tum,male
3431,no workplaces to show,no schools to show,no schools to show,no places to show,male
3432,tân châu|tân châu,studied at an giang university,went to csdt,tân châu|long xuyên,female
3433,works at bộ chỉ huy bộ đội biên phòng tỉnh đồng tháp,studied at học viện biên phòng|studied at học viện biên phòng,went to trường thpt chuyên nguyễn đình chiểu - đồng tháp,sa đéc,notknown
3434,no workplaces to show,no schools to show,no schools to show,no places to show,female
3435,no workplaces to show,studied at trung tâm ngôn ngữ quốc tế mlp edu,"went to thpt nguyễn chí thanh, chợ vàm, phú tân, an giang","ho chi minh city, vietnam|ho chi minh city, vietnam|ho chi minh city, vietnam",female
3436,no workplaces to show,no schools to show,went to trường thpt nguyễn sinh sắc,tân châu,female
3437,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",female
3438,works at ngân hàng shinhan (shinhan bank),no schools to show,went to an nhon tay,no places to show,male
3439,no workplaces to show,studied at trường đại học nông lâm tp.hcm,no schools to show,long xuyên|long xuyên,male
3440,nhân viên,no schools to show,no schools to show,"tinh pleiku, gia lai, vietnam|tinh pleiku, gia lai, vietnam",male
3441,no workplaces to show,no schools to show,no schools to show,tân châu,female
3442,no workplaces to show,no schools to show,went to thcs chu văn an|went to thcs chu văn an,"tân châu|angiang, an giang, vietnam",female
3443,worked at tamla,no schools to show,no schools to show,no places to show,male
3444,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân an, long an",male
3445,no workplaces to show,no schools to show,no schools to show,tân châu,notknown
3446,works at binh duong - viet nam,studied at trường đời,no schools to show,cà mau|cà mau,notknown
3447,no workplaces to show,studied at trường tiểu học - thcs - thpt hoa sen,no schools to show,di an,male
3448,no workplaces to show,no schools to show,no schools to show,"bon bu bo dak nong, đắc lắk, vietnam|bon bu bo dak nong, đắc lắk, vietnam",male
3449,works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm|works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm|works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,vinh linh,male
3450,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
3451,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
3452,no workplaces to show,no schools to show,went to trường thpt tân châu,"cho moi, an giang|tân châu",female
3453,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
3454,no workplaces to show,no schools to show,no schools to show,no places to show,female
3455,no workplaces to show,no schools to show,no schools to show,"tân châu|angiang, an giang, vietnam",male
3456,no workplaces to show,no schools to show,went to thcs hoàng hanh,hải dương|hải dương,male
3457,no workplaces to show,no schools to show,"went to thpt thạnh mỹ tây, châu phú, an giang",no places to show,female
3458,works at vng corporation|works at vng corporation,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt phan đăng lưu - huế,"ho chi minh city, vietnam|hue, vietnam",male
3459,no workplaces to show,no schools to show,went to thpt thạnh đông,can tho,notknown
3460,giáo viên at thpt lương thế vinh - quận 1|giáo viên at thpt lương thế vinh - quận 1,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
3461,no workplaces to show,no schools to show,no schools to show,"củ chi, hồ chí minh, vietnam",male
3462,no workplaces to show,no schools to show,no schools to show,thanh hóa|ngoc lac,male
3463,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3464,no workplaces to show,no schools to show,went to thpt chau phong,tân châu|tân châu,notknown
3465,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3466,no workplaces to show,no schools to show,went to thpt duc tri,can tho|tân châu,male
3467,hồng ngự,no schools to show,no schools to show,"hồng ngự|dong thap, hoang lien son, vietnam|hồng ngự",male
3468,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
3469,no workplaces to show,studied at thcs phú lâm,no schools to show,"phú lâm|phú lâm, an giang, vietnam|phú lâm",notknown
3470,tân châu|tân châu,studied at hutech - đại học công nghệ tp.hcm,went to trường thpt võ minh đức - bình dương,"tân châu|angiang, an giang, vietnam",notknown
3471,no workplaces to show,no schools to show,no schools to show,no places to show,female
3472,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
3473,no workplaces to show,no schools to show,no schools to show,no places to show,male
3474,no workplaces to show,studies at trường cao đẳng cộng đồng đồng tháp - dong thap community college,"went to thpt tân châu, tân châu, an giang|went to thpt tân châu, tân châu, an giang",cao lãnh|hồng ngự,male
3475,"works at angiang, an giang, vietnam",no schools to show,no schools to show,"angiang, an giang, vietnam|tân châu",notknown
3476,,,,,
3477,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3478,no workplaces to show,no schools to show,went to chu van an high school (hanoi),"hanoi, vietnam|ha loi, ha noi, vietnam",male
3479,works at meta,no schools to show,no schools to show,buon me thuot|buon me thuot,male
3480,no workplaces to show,studied at iuh - trường đại học công nghiệp tp.hcm,no schools to show,"ho chi minh city, vietnam",notknown
3481,no workplaces to show,no schools to show,no schools to show,no places to show,female
3482,no workplaces to show,studied at trường đại học ngân hàng tp. hồ chí minh - hub,went to trường thpt hướng hóa - quảng trị,no places to show,notknown
3483,no workplaces to show,no schools to show,went to thcs tràm chim,"tràm chim, ðồng tháp, vietnam|tràm chim, ðồng tháp, vietnam",notknown
3484,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
3485,no workplaces to show,studied at đại học an giang,went to thpt tịnh biên,tinh bien|tinh bien,notknown
3486,vinpearl nha trang|vinpearl nha trang,studied at thpt nguyen van linh dong hoa phu yen,no schools to show,nha trang|dong hoa,female
3487,no workplaces to show,no schools to show,"went to trường thpt chu văn an, biên hòa, đồng nai",biên hòa|nhơn trạch,notknown
3488,no workplaces to show,studied at truong dai hoc nam can tho,no schools to show,can tho,notknown
3489,no workplaces to show,studied khoa học máy tính at đại học bách khoa thành phố hồ chí minh,went to nguyen khuyen prison,"ho chi minh city, vietnam",notknown
3490,,,,,
3491,"works at phu my, phu tan, an giang, vietnam",studies lưu trữ học và quản trị văn phòng at ho chi minh city university of social sciences and humanities,went to thpt chu văn an - an giang,"phu my, an giang, vietnam",male
3492,"da nang, vietnam",studied at fpt university da nang,went to thpt tiểu la|went to thpt tiểu la,"da nang, vietnam|quang nam, quang nam-da nang, vietnam",female
