id,Workplaces,College,School,Places,Gender
2762,works at pungkook saigon ii corp (pk2),no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",female
2763,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2764,no workplaces to show,no schools to show,"went to thpt tân châu, an giang",tân châu|tân châu,notknown
2765,coach vĩnh xương fc,studied at 𝐌𝐎𝐓𝐎 𝐙𝐎𝐍𝐄,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
2766,works at awaken the giant,no schools to show,no schools to show,"ho chi minh city, vietnam|djrott, lâm ðồng, vietnam",female
2767,no workplaces to show,studied at trường đại học giao thông vận tải tp.hcm,went to thpt ngô thời nhiệm,di an|phú thọ,notknown
2768,no workplaces to show,no schools to show,no schools to show,no places to show,female
2769,no workplaces to show,"studies hệ thống thông tin at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thpt giá rai,bac lieu,male
2770,"hanoi, vietnam",studied at hitu - trường cao đẳng công thương tp.hcm,went to phúc trạch high school,"hanoi, vietnam|da lat",male
2771,editor at respect me esports|editor at respect me esports,no schools to show,went to thpt trần phú - đà lạt|went to thpt trần phú - đà lạt,da lat|da lat,male
2772,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
2773,no workplaces to show,no schools to show,no schools to show,"quy nhon|qui nhon, bình ðịnh, vietnam",male
2774,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2775,no workplaces to show,studied at trường đại học văn lang,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
2776,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2777,no workplaces to show,no schools to show,no schools to show,no places to show,male
2778,no workplaces to show,no schools to show,no schools to show,can tho|can tho,notknown
2779,"học sinh at thpt nguyễn thái học, chư pưh, gia lai|học sinh at thpt nguyễn thái học, chư pưh, gia lai",studies at đại học y dược huế - hue university of medicine and pharmacy,"went to thpt nguyễn thái học, chư pưh, gia lai","phu nhon, gia lai, vietnam|phu nhon, gia lai, vietnam",female
2780,no workplaces to show,studied ai at fpt university hcm,went to thpt chuyên lê quý đôn quảng trị,dong ha|cam lo,male
2781,no workplaces to show,no schools to show,no schools to show,"seoul, korea|quang nam, quang nam-da nang, vietnam",male
2782,no workplaces to show,no schools to show,no schools to show,tra vinh,female
2783,no workplaces to show,no schools to show,no schools to show,thu dau mot|tân châu,female
2784,cà mau,studied at thcs trần phán đầm dơi,went to trường thcs trần phán confession,"ho chi minh city, vietnam|cai nuoc, cà mau, vietnam",male
2785,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2786,no workplaces to show,studied kĩ thuật điều khiển và tự động hoá at cựu sv & sinh viên trường đại học sư phạm kỹ thuật tp.hcm,no schools to show,"ho chi minh city, vietnam|my tho",male
2787,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
2788,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2789,no workplaces to show,no schools to show,no schools to show,"ấp phú hữu, an giang, vietnam|ấp phú hữu, an giang, vietnam",female
2790,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2791,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
2792,no workplaces to show,studies at hutech - đại học công nghệ tp.hcm|studies at hutech - đại học công nghệ tp.hcm,went to thcs long thạnh,"ho chi minh city, vietnam|angiang, an giang, vietnam",male
2793,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
2794,works at true skill center|works at true skill center|works at true skill center,studies việc làm toàn quốc fulltime - partime fnb và siêu thị at banking university of ho chi minh city,no schools to show,"ho chi minh city, vietnam",notknown
2795,"works at khu đô thị mỹ phước 3, thới hoà, bến cát, bình dương",no schools to show,no schools to show,"angiang, an giang, vietnam",male
2796,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
2797,studying at thpt chuyên lê quý đôn,"studies at saint petersburg electrotechnical university ""leti"" (etu)",went to thpt chuyên lê quý đôn,quảng trị|quảng trị,male
2798,no workplaces to show,studied at trường đại học nông lâm tp.hcm,went to thpt vĩnh kim - châu thành - tiền giang|went to thpt vĩnh kim - châu thành - tiền giang,"ho chi minh city, vietnam",male
2799,works at ăn hại ღ phá hại,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",female
2800,no workplaces to show,no schools to show,no schools to show,bắc ninh,male
2801,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
2802,cskh at ninh thuận flycam - đội quay chụp chuyên nghiệp|cskh at ninh thuận flycam - đội quay chụp chuyên nghiệp,no schools to show,no schools to show,"ho chi minh city, vietnam|da lat",notknown
