id,Workplaces,College,School,Places,Gender
11482,no workplaces to show,no schools to show,no schools to show,no places to show,female
11483,nhân viên at yamaha motor vietnam,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
11484,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
11485,works at thuocsi.vn|works at thuocsi.vn,studies at university of information technology - vnuhcm,went to trường thpt châu văn liêm,"ho chi minh city, vietnam|can tho",male
11486,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11487,no workplaces to show,no schools to show,no schools to show,"nhơn trạch|huong thanh phu, bến tre, vietnam",female
11488,no workplaces to show,studied kỹ thuật điều khiển và tự động hóa at trường đại học nông lâm tp.hcm,went to thcs phan bội châu,vung tau,male
11489,founder at tiệm ảnh tớ nghĩ|founder at tiệm ảnh tớ nghĩ,studied thương mại điện tử digital-marketing at iuh - trường đại học công nghiệp tp.hcm,"went to trường thcs trần quốc toản, quận 9|went to trường thcs trần quốc toản, quận 9","ho chi minh city, vietnam|soc trang",male
11490,no workplaces to show,no schools to show,no schools to show,no places to show,male
11491,no workplaces to show,no schools to show,no schools to show,bến tre,notknown
11492,no workplaces to show,studied at trường đại học luật tp. hồ chí minh,no schools to show,"ho chi minh city, vietnam|bến tre",male
11493,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,"went to thpt trần cao vân, tam kỳ",tam ky,male
11494,works at trường thpt số 2 mộ đức - quảng ngãi,no schools to show,went to trường thpt số 2 mộ đức - quảng ngãi,quang ngai|quang ngai,male
11495,kim ngân wedding house,no schools to show,"went to thpt vĩnh xương, tân châu, an giang","tân châu|angiang, an giang, vietnam",male
11496,no workplaces to show,no schools to show,went to trường thpt tân an|went to trường thpt tân an,"tân an, long an|tân an, long an",female
11497,works at hitu - trường cao đẳng công thương tp.hcm,no schools to show,went to trường thpt nguyễn an ninh _ confessions,di an,female
11498,no workplaces to show,no schools to show,went to trường thpt trương định - hà nội,"gò công|gò công, hồ chí minh, vietnam",notknown
11499,no workplaces to show,"studies it - an toàn thông tin at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|studies it - an toàn thông tin at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|studies it - an toàn thông tin at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",no schools to show,"ba chuc, an giang, vietnam|angiang, an giang, vietnam",male
11500,no workplaces to show,studies kinh doanh quốc tế at đại học tôn đức thắng,went to trường thpt xuân trường,da lat|xuan truong,female
11501,no workplaces to show,no schools to show,no schools to show,no places to show,male
11502,đội viên at đội ctxh trường đh kinh tế tp hcm,studies financial investment at ueh - trường đại học kinh tế tp.hcm,no schools to show,no places to show,female
11503,no workplaces to show,no schools to show,no schools to show,no places to show,female
11504,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11505,ctv at đoàn khoa luật dân sự - trường đh luật tphcm,studies at trường đại học luật tp. hồ chí minh,went to trường thpt ngô quyền q7|went to trường thpt ngô quyền q7,"ho chi minh city, vietnam",female
11506,no workplaces to show,no schools to show,no schools to show,hồng ngự|hồng ngự,male
11507,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11508,worked at thcs phú lâm,studied sư phạm hoá at an giang university,went to trường thpt tân châu,phú lâm|phú lâm,female
11509,no workplaces to show,studies at trường đại học y dược cần thơ,no schools to show,no places to show,female
11510,no workplaces to show,no schools to show,went to thpt bảo lộc - lâm đồng,bao loc|bao loc,female
11511,no workplaces to show,no schools to show,no schools to show,no places to show,male
11512,no workplaces to show,no schools to show,no schools to show,hồng ngự,female
11513,works at rạch giá city,no schools to show,went to thcs long sơn,"tân châu|angiang, an giang, vietnam",female
11514,no workplaces to show,studied at trường đại học cần thơ,no schools to show,no places to show,female
11515,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11516,no workplaces to show,studied digital marketing- thương mại điện tử at cao đẳng fpt polytechnic,no schools to show,no places to show,male
11517,cà mau,no schools to show,went to trường thpt võ thị hồng - cà mau,"lộc ninh, bìn phước, vietnam|cà mau",female
11518,no workplaces to show,no schools to show,went to thcs lam son 2 - quan 6,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
11519,no workplaces to show,no schools to show,no schools to show,phnom penh|tra vinh,notknown
11520,no workplaces to show,studied at hutech - đại học công nghệ tp.hcm,"went to thpt tân châu, an giang",no places to show,male
11521,works at binh duong - viet nam,no schools to show,no schools to show,"ben cat|angiang, an giang, vietnam",notknown
11522,works at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,studied writer at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam|bến tre",male
11523,no workplaces to show,no schools to show,no schools to show,tân châu|tân châu,female
11524,no workplaces to show,studied công nghệ thông tin (it) at trường đại học nông lâm tp.hcm|studied công nghệ thông tin (it) at trường đại học nông lâm tp.hcm,no schools to show,quy nhon,notknown
11525,works at ngân hàng á châu acb,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
11526,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11527,tiền giang province,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
11528,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
11529,no workplaces to show,studied at trường đại học sài gòn,went to trường thcs phú mỹ,"angiang, an giang, vietnam|phu my, an giang, vietnam",notknown
11530,no workplaces to show,studies at trường đại học luật tp. hồ chí minh|studies at trường đại học luật tp. hồ chí minh|studies at trường đại học luật tp. hồ chí minh,no schools to show,no places to show,notknown
11531,no workplaces to show,no schools to show,no schools to show,"củ chi, hồ chí minh, vietnam",notknown
11532,research professor at 서울과학기술대학교 seoul national university of science and technology,"studied ph.d. in cse at 중앙대학교(chung ang university, cau)|studied ph.d. in cse at 중앙대학교(chung ang university, cau)|studied ph.d. in cse at 중앙대학교(chung ang university, cau)",no schools to show,"seoul, korea|ho chi minh city, vietnam",male
11533,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11534,no workplaces to show,no schools to show,went to thcs phú thạnh,no places to show,female
11535,no workplaces to show,studied marketing at trường đại học kinh tế - luật,no schools to show,no places to show,female
11536,no workplaces to show,no schools to show,no schools to show,"tân châu|angiang, an giang, vietnam",notknown
11537,"works at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|works at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh|works at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",no schools to show,went to quỳnh lưu review,"quynh luu, nghệ an, vietnam|quynh luu, nghệ an, vietnam",male
11538,works at tiki|works at tiki,studied quản trị kinh doanh at trường đại học kinh tế - luật,went to thpt chuyên lê thánh tông,"ho chi minh city, vietnam|new york, new york",male
11539,no workplaces to show,no schools to show,went to ngô thời nhiệm school,"ho chi minh city, vietnam|binh phuoc, vietnam",notknown
11540,no workplaces to show,studies y đa khoa - general doctor 🥼 at nttu - đại học nguyễn tất thành,no schools to show,"ho chi minh city, vietnam|tân châu",male
11541,works at garena free fire,no schools to show,no schools to show,"hung yen, hưng yên, vietnam|hanoi, vietnam",female
11542,no workplaces to show,no schools to show,no schools to show,nha trang,female
11543,no workplaces to show,studied at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to thpt yên dũng số 2,"ho chi minh city, vietnam|bac giang",female
11544,no workplaces to show,no schools to show,no schools to show,no places to show,female
11545,quản lý kho và qc at binh duong - viet nam,no schools to show,went to trường thpt ba chúc,long xuyên,notknown
11546,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11547,no workplaces to show,studies cnkt ô tô at trường đại học sư phạm kỹ thuật thành phố hồ chí minh,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",male
11548,no workplaces to show,studies dược sĩ đại học at trường đại học võ trường toản,no schools to show,tra vinh|tra vinh,female
11549,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|tân châu",notknown
11550,worked at thu minh vu,no schools to show,no schools to show,"angiang, an giang, vietnam",male
11551,no workplaces to show,"studies hệ thống thông tin at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thpt chu văn an - ninh thuận,"ho chi minh city, vietnam|phan rang-tháp chàm, ninh thuận, vietnam",male
11552,no workplaces to show,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thpt chuyên ntmk,soc trang,notknown
11553,works at fpt software,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to thpt nguyễn công trứ - gò vấp - hcm (nguyen cong tru),"ho chi minh city, vietnam|vinh",male
11554,no workplaces to show,studied at trường đại học y dược cần thơ,no schools to show,can tho|tra vinh,notknown
11555,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11556,no workplaces to show,no schools to show,went to trường thpt tánh linh,"tánh linh, bình thuận, vietnam",male
11557,works at 19.000 người theo dõi,no schools to show,no schools to show,"long xuyên|bangkok, thailand",male
11558,tây ninh,studies quản trị kinh doanh at trường đại học công nghệ sài gòn,went to trường thpt nguyễn trung trực,tây ninh|tây ninh,female
11559,no workplaces to show,no schools to show,no schools to show,vung tau,notknown
11560,"chuyênsỉ-lẻ thời trang ,mĩ phẩm ,túi xách theo yêu cầu.",no schools to show,no schools to show,"nho quan, ninh bình, vietnam",notknown
11561,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
11562,trường th b long thạnh,studied at đại học an giang,no schools to show,tân châu,female
11563,no workplaces to show,no schools to show,no schools to show,no places to show,male
11564,health manager at coway vina,studied quản trị kinh doanh at hufi - đại học công nghiệp thực phẩm tp.hcm,no schools to show,gia nghia|thái bình,notknown
