id1,id2
8674,2382
8674,12512
8674,10317
8674,1098
8674,14219
8674,16954
8674,12840
8674,15948
8674,5590
8674,13607
8674,1006
8674,855
8674,11735
8674,8913
8674,7184
8674,15090
8674,14164
8674,3843
8674,6784
8674,19960
8674,17655
8674,14424
8674,2212
8674,11748
8674,8702
8674,20360
8674,4670
8674,11070
8674,965
8674,6910
8674,20873
8674,6794
8674,20392
8674,20022
8674,18497
8674,5624
8674,16589
8674,19099
8674,1941
8674,15542
8674,3168
8674,18489
8674,10493
8674,11600
8674,20142
8674,16308
8674,18400
8674,3074
8674,20511
8674,14916
8674,13297
8674,20602
8674,16191
8674,3122
8674,9535
8674,15786
8674,4932
8674,8292
8674,11161
8674,17440
8674,10563
8674,18047
8674,9110
8674,1752
8674,5043
8674,12109
8674,2789
8674,1147
8674,9121
1826,12538
1826,6910
1826,18586
1826,13934
1826,15439
1826,20319
1826,11969
1826,16954
1826,15090
1826,10431
1826,3843
1826,19167
1826,15981
1826,20873
1826,11070
1826,19874
1826,18692
1826,19402
1826,17149
1826,13678
1826,16685
1826,6646
1826,19960
1826,15238
1826,1762
1826,17798
1826,3591
1826,2709
1826,16630
1826,16589
1826,13389
1826,1380
1826,19878
1826,9404
1826,19014
1826,5739
1826,3954
1826,9661
1826,3610
1826,5897
1826,4310
1826,5624
1826,8098
1826,3685
17149,1826
17149,11013
17149,11969
17149,3591
17149,15563
17149,1463
17149,16251
17149,2672
17149,15112
17149,1540
17149,4493
17149,10159
17149,400
17149,17828
2382,16424
2382,6324
2382,13885
2382,11025
2382,2728
2382,18489
2382,12982
2382,9079
2382,10109
2382,3168
2382,8674
2382,404
2382,15439
2382,20319
2382,16954
2382,855
2382,15090
2382,8593
2382,10431
2382,965
2382,3843
2382,8141
2382,15981
2382,6868
2382,14424
2382,11070
2382,13454
2382,19874
2382,18692
2382,12701
2382,5879
2382,16685
2382,13113
2382,19960
2382,15948
2382,15238
2382,15377
2382,18497
2382,13311
2382,8353
2382,9944
2382,19048
2382,9800
2382,19889
2382,4289
2382,3591
2382,13087
2382,16589
2382,13389
2382,19878
2382,7992
2382,3954
2382,3610
2382,5897
2382,4310
2382,19850
2382,5624
2382,8098
1098,18586
1098,16018
1098,10109
1098,8674
1098,20319
1098,15597
1098,16954
1098,855
1098,15090
1098,8593
1098,965
1098,11809
1098,15948
1098,15377
1098,11047
1098,13607
1098,19277
1098,14697
1098,19014
1098,7992
4530,14438
4530,6324
4530,15491
4530,18489
4530,19110
4530,855
4530,965
4530,3843
4530,11809
4530,19402
4530,13678
4530,15377
4530,13607
4530,13389
4530,14697
4530,1380
4530,5739
4530,8744
4530,4310
4530,7521
4530,17655
18027,3013
18027,18159
18027,2326
18027,18479
18027,14249
18027,1800
18027,6863
18027,6296
18027,15830
18027,11607
18027,12796
18027,10170
18027,17660
18027,10034
18027,12891
18027,99
18027,11735
18027,6845
18027,3289
18027,3591
18027,14545
18027,11485
18027,9308
99,16400
99,18027
99,15830
99,17048
99,6296
99,9308
99,1800
99,389
99,19283
99,19204
99,14240
99,426
99,3591
99,11607
99,17327
99,10034
99,12330
99,11735
99,18113
99,6077
99,18479
99,12904
99,17660
99,14545
99,13292
99,6879
99,11087
99,18061
99,18037
99,15023
99,5160
99,11552
99,6845
99,10170
99,7138
99,16653
99,18159
99,12891
99,1792
99,19132
99,10150
99,17520
99,16142
99,16190
99,1012
99,8257
99,15162
99,19772
99,15078
99,10190
99,6627
99,16940
99,17597
99,13717
99,6885
99,9451
99,4448
99,15779
99,1102
99,19541
99,11615
99,15412
99,13085
99,10642
99,20408
99,10738
99,3401
99,2194
99,12059
99,13452
99,3282
99,5793
99,11446
99,10954
99,19705
99,13385
99,13988
99,7648
99,3894
99,4017
99,13896
99,14022
99,16087
99,7210
99,20036
99,20510
99,11633
99,14890
99,2097
99,934
99,3917
15830,18027
15830,99
15830,17048
15830,9308
15830,16400
15830,1800
15830,3370
15830,426
15830,19283
15830,389
15830,14240
15830,19987
15830,19204
15830,3591
15830,17327
15830,10034
15830,11607
15830,15800
15830,12330
15830,12478
15830,6296
15830,12796
15830,6948
15830,3013
15830,13292
15830,18113
15830,18479
15830,2893
15830,9105
15830,15671
15830,11087
15830,18061
15830,13472
15830,13553
15830,17660
15830,14545
15830,15482
15830,8933
15830,14249
15830,2368
15830,6845
15830,13886
15830,12891
15830,3697
15830,17520
15830,16653
15830,10038
15830,10170
15830,2857
15830,5160
15830,15983
15830,16142
15830,10642
15830,4451
15830,10738
15830,3401
15830,3282
15830,11343
15830,5793
15830,11446
15830,12646
15830,16777
15830,9451
15830,1102
15830,684
15830,11615
15830,20831
15830,1012
15830,8257
15830,15078
15830,20369
15830,20120
15830,4183
15830,13717
15830,1928
15830,923
15830,17971
15830,13896
15830,4017
15830,10612
15830,11543
15830,5440
15830,13354
15830,6247
15830,7224
15830,4073
15830,5443
15830,13262
15830,3727
14219,10641
14219,16424
14219,10317
14219,2969
14219,2909
14219,12422
14219,15542
14219,6093
14219,15491
14219,10173
14219,18489
14219,14370
14219,821
14219,3795
14219,20125
14219,3168
14219,15490
14219,8674
14219,404
14219,15439
14219,5945
14219,19110
14219,20564
14219,4131
14219,20319
14219,15597
14219,16954
14219,15090
14219,10431
14219,11351
14219,4618
14219,3843
14219,8141
14219,15981
14219,16989
14219,14424
14219,2175
14219,15635
14219,1941
14219,12187
14219,13454
14219,19874
14219,12701
14219,19402
14219,193
14219,16685
14219,13113
14219,6646
14219,15948
14219,15377
14219,13311
14219,8353
14219,19048
14219,7538
14219,18272
14219,17798
14219,3591
14219,13087
14219,1380
14219,19878
14219,19014
14219,18771
14219,532
14219,5739
14219,3610
14219,8744
14219,4310
14219,1021
14219,8098
16954,2382
16954,8674
16954,1826
16954,1098
16954,14219
16954,12840
16954,12512
16954,20620
16954,8098
16954,15948
16954,12701
16954,5590
16954,4671
16954,9800
16954,3591
16954,19692
16954,855
16954,1006
16954,10724
16954,14164
16954,15439
16954,7732
16954,6784
16954,11735
16954,8913
16954,19014
16954,15090
16954,7184
16954,8074
16954,14525
16954,2001
16954,5987
16954,7992
16954,3113
16954,2728
16954,8593
16954,6523
16954,6910
16954,15542
16954,11523
16954,1167
16954,8141
16954,20392
16954,5624
16954,15377
16954,19048
16954,14585
16954,15981
16954,16630
16954,20491
16954,1218
16954,18489
16954,14424
16954,5739
16954,404
16954,9128
16954,19110
16954,19167
16954,9944
16954,7139
16954,11748
16954,4310
16954,5252
16954,9854
16954,2643
16954,19277
16954,9143
16954,15827
16954,2490
16954,20360
16954,7801
16954,20044
16954,15361
16954,18586
16954,11070
16954,9825
16954,20355
16954,9101
16954,6321
16954,19850
16954,2489
16954,18379
16954,6794
16954,20022
16954,19889
16954,12277
16954,15409
16954,14878
16954,12422
16954,16969
16954,14035
16954,18598
16954,19099
16954,1941
16954,16424
16954,13389
16954,13311
16954,8024
16954,568
16954,3168
16954,14438
16954,12181
16954,6646
16954,17512
16954,15989
16954,11600
16954,18741
16954,16938
16954,1214
16954,17282
16954,1273
16954,4496
16954,16369
16954,6339
16954,20142
16954,7349
16954,7062
16954,891
16954,20385
16954,14282
16954,17593
16954,14858
16954,10199
10317,4131
10317,14219
10317,8674
10317,7184
10317,17798
10317,19878
10317,15490
10317,15224
10317,17043
10317,6731
10317,3591
10317,20125
10317,17304
10317,11735
10317,14164
10317,1821
10317,6784
10317,10641
10317,5590
10317,5987
10317,16407
10317,6523
10317,6410
10317,4670
10317,1021
10317,93
10317,17466
10317,8017
10317,2729
10317,13198
10317,20564
10317,7538
10317,4045
10317,620
10317,2212
10317,18968
10317,2846
10317,15614
10317,17965
10317,15816
10317,11351
10317,2513
10317,16826
10317,10768
10317,20392
10317,16648
10317,1307
10317,5303
10317,3640
10317,12422
10317,7512
10317,10376
10317,16677
10317,9500
10317,6918
10317,568
10317,3168
10317,1643
10317,3493
10317,8291
10317,11508
10317,12181
10317,5537
10317,12535
10317,9003
10317,17628
10317,10717
10317,20193
10317,9509
10317,1010
10317,14333
10317,5070
10317,16036
10317,5043
10317,3409
10317,7022
10317,3719
10317,4624
10317,20872
10317,8432
10317,19964
10317,5144
10317,895
10317,19609
10317,16486
10317,815
10317,5341
10317,19678
10317,9046
10317,11232
17798,1826
17798,14219
17798,10317
17798,821
17798,8098
17798,15490
17798,7063
17798,3591
17798,18272
17798,6731
17798,15439
17798,1821
17798,4106
17798,6093
17798,2001
17798,14213
17798,5945
17798,2909
17798,13500
17798,10431
17798,15776
17798,14370
17798,5970
17798,17466
17798,2729
17798,8850
17798,20108
17798,10493
17798,5984
17798,13833
17798,3706
17798,9306
17798,7925
17798,9122
17798,17628
17798,7324
17798,16091
17798,13847
17798,16125
17798,1030
16799,18159
16799,18106
16799,5249
16799,19277
16799,3591
821,14219
821,17798
821,15490
821,7063
821,3591
821,18272
821,4106
821,6093
821,2631
821,14213
821,5945
821,2909
821,13500
821,14370
821,5970
821,18230
821,6991
821,5984
821,7692
821,17743
821,1770
821,14277
821,7914
821,10820
821,9626
821,1851
821,12617
821,10647
821,2655
821,2
821,4609
821,7537
821,9534
821,9835
821,5665
821,14235
821,10363
821,8051
821,20485
821,2851
12840,14438
12840,6910
12840,6324
12840,15542
12840,15491
12840,18489
12840,3795
12840,10109
12840,3168
12840,8674
12840,14567
12840,404
12840,19110
12840,15597
12840,16954
12840,855
12840,10431
12840,965
12840,3843
12840,8141
12840,15981
12840,20873
12840,14424
12840,11070
12840,13678
12840,16685
12840,6646
12840,15948
12840,15238
12840,15377
12840,13311
12840,19048
12840,9944
12840,3591
12840,14433
12840,13389
12840,14697
12840,1380
12840,19014
12840,3954
12840,8744
12840,4310
12840,5624
12840,7521
20620,6910
20620,18489
20620,3168
20620,4131
20620,16954
20620,965
20620,15981
20620,14424
20620,13454
20620,12701
20620,19960
20620,15948
20620,9944
20620,5850
20620,3591
20620,19878
20620,4310
20620,19850
12512,6910
12512,6324
12512,2969
12512,11025
12512,15491
12512,2678
12512,18489
12512,3168
12512,8674
12512,14567
12512,15439
12512,19110
12512,16954
12512,855
12512,15090
12512,10431
12512,965
12512,3843
12512,8141
12512,11809
12512,15981
12512,20873
12512,16989
12512,14424
12512,11070
12512,12701
12512,19402
12512,1643
12512,13678
12512,19960
12512,15948
12512,15377
12512,13607
12512,13389
12512,14697
12512,1380
12512,5991
12512,18771
12512,1167
12512,5739
12512,3610
12512,8744
12512,4310
12512,8098
12512,7521
17048,3013
17048,18159
17048,15023
17048,2326
17048,14249
17048,3370
17048,1800
17048,6863
17048,6296
17048,15830
17048,11607
17048,18037
17048,10170
17048,9558
17048,10034
17048,12891
17048,13472
17048,99
17048,19563
17048,11735
17048,6845
17048,3591
17048,14545
17048,14240
17048,10150
17048,9308
8098,1826
8098,2382
8098,14219
8098,16954
8098,17798
8098,12512
8098,15948
8098,13607
8098,20071
8098,922
8098,4671
8098,10109
8098,9800
8098,16685
8098,19014
8098,10724
8098,19692
8098,15796
8098,3113
8098,15090
8098,14164
8098,11025
8098,11565
8098,5987
8098,5879
8098,3559
8098,10173
8098,18750
8098,9854
8098,10241
8098,19895
8098,16020
8098,18117
8098,19167
8098,2212
8098,4310
8098,13934
8098,741
8098,1641
8098,18586
8098,11070
8098,19108
8098,15143
8098,8141
8098,6324
8098,8024
8098,6910
8098,16589
8098,20334
8098,17524
8098,18880
8098,6492
8098,9944
8098,9218
8098,11748
8098,5252
8098,19277
8098,12453
8098,9570
8098,16437
8098,921
8098,5873
8098,6868
8098,10768
8098,965
8098,20392
8098,4464
8098,12941
8098,15003
8098,1307
8098,19048
8098,15696
8098,16969
8098,4516
8098,13087
8098,20491
8098,3168
8098,6186
8098,18922
8098,5480
8098,8042
8098,8581
8098,14642
8098,10726
8098,11444
8098,16602
8098,8323
8098,4932
8098,17220
8098,19909
8098,4753
8098,19575
8098,20649
8098,5240
8098,15638
8098,10298
8098,4540
8098,11167
8098,17817
8098,12759
8098,5855
8098,7354
8098,8802
8098,8619
8098,3131
8098,7439
8098,12296
8098,4623
8098,3117
8098,15726
8098,4495
8098,20238
8098,6589
8098,16759
8098,6738
8098,20427
8098,13016
8098,9632
8098,19908
8098,2312
8098,11854
8098,293
8098,14360
8098,13833
8098,8874
7063,2909
7063,6093
7063,14370
7063,821
7063,15490
7063,18272
7063,17798
15490,14219
15490,10317
15490,17798
15490,821
15490,7063
15490,3591
15490,18272
15490,6731
15490,4131
15490,7184
15490,14164
15490,17043
15490,19878
15490,1821
15490,4144
15490,4106
15490,6093
15490,2631
15490,11565
15490,10641
15490,20125
15490,5590
15490,5987
15490,16407
15490,5945
15490,2909
15490,4045
15490,13500
15490,2662
15490,6410
15490,15776
15490,2846
15490,5897
15490,1968
15490,17304
15490,14370
15490,17965
15490,5970
15490,11351
15490,20250
15490,12187
15490,193
15490,11523
15490,10768
15490,16520
15490,6794
15490,17524
15490,5624
15490,93
15490,16648
15490,2175
15490,5303
15490,3640
15490,17466
15490,2729
15490,940
15490,10376
15490,8008
15490,9500
15490,6918
15490,568
15490,1643
15490,3493
15490,8291
15490,11508
15490,15988
15490,11878
15490,8124
15490,6991
15490,5984
15490,18483
15490,10493
15490,20193
15490,9108
15490,16606
15490,1086
15490,5169
15490,10803
15490,18179
15490,5503
15490,8799
15490,880
15490,15728
15490,11074
15490,16302
15490,9890
15490,15116
15490,3530
15490,15389
15490,17452
15490,15789
15490,13707
15490,6162
15490,6565
15490,1770
15490,14277
15490,95
15490,18780
15224,10641
15224,10317
15224,11351
9308,18027
9308,99
9308,15830
9308,17048
9308,16400
9308,3370
