id1,id2,weight
2,2909,1
3,10641,1
5,17374,1
12,15612,1
13,11351,1
16,18497,1
17,17798,1
18,18106,1
21,12796,1
22,1107,1
24,11485,1
24,10150,1
26,19039,1
27,3342,1
29,10376,1
30,19599,1
31,1380,1
32,7770,1
34,14433,1
40,5249,1
41,6845,1
42,18106,1
43,12240,1
46,14644,1
46,7257,1
47,18497,1
49,6183,1
50,15597,1
51,17149,1
54,10173,1
56,11485,1
56,12796,1
56,14545,1
56,6863,1
56,3342,1
56,7138,1
56,1749,1
56,14433,1
56,6845,1
57,8189,1
59,3954,1
61,1941,1
63,4045,1
66,13454,1
70,1167,1
72,7495,1
73,3685,1
75,15597,1
77,13885,1
78,18488,1
79,3342,1
79,10173,1
82,5778,1
84,12240,1
85,19402,1
86,12701,1
88,13934,1
90,18585,1
90,7138,1
91,9404,1
92,14249,1
93,10317,1
93,15490,1
93,10641,1
93,6120,1
93,5897,1
93,1968,1
93,14370,1
93,1021,1
93,17965,1
93,18586,1
93,11351,1
93,16018,1
93,1167,1
93,10376,1
93,16648,1
93,11221,1
93,11047,1
93,16630,1
93,10159,1
95,15490,1
95,17304,1
97,10173,1
98,8189,1
99,18027,1
99,17048,1
99,1800,1
99,389,1
99,19283,1
99,19204,1
99,426,1
99,3591,1
99,11607,1
99,17327,1
99,12330,1
99,11735,1
99,18113,1
99,6077,1
99,18479,1
99,12904,1
99,17660,1
99,14545,1
99,6879,1
99,11087,1
99,18061,1
99,18037,1
99,11552,1
99,6845,1
99,10170,1
99,7138,1
99,16653,1
99,18159,1
99,12891,1
99,1792,1
99,19132,1
99,10150,1
99,17520,1
99,11773,1
99,10862,1
99,1611,1
99,1012,1
99,6627,1
99,16940,1
99,17597,1
99,6885,1
99,9451,1
99,1102,1
99,19541,1
99,11615,1
99,10642,1
99,10738,1
99,3401,1
99,2194,1
99,3282,1
99,5793,1
99,11446,1
99,12372,1
99,10954,1
99,17726,1
99,5921,1
99,19705,1
99,12469,1
99,10987,1
99,18441,1
99,9978,1
99,2244,1
99,17469,1
99,19420,1
99,6520,1
99,19655,1
99,13988,1
99,17841,1
99,18620,1
99,18323,1
99,7648,1
99,930,1
99,12317,1
99,3894,1
99,6228,1
99,4755,1
99,18079,1
99,12204,1
99,13896,1
99,14103,1
99,6322,1
99,14022,1
99,18954,1
99,13799,1
99,11176,1
99,7210,1
99,11633,1
99,1115,1
99,18567,1
99,14890,1
99,2097,1
99,12514,1
99,3511,1
99,934,1
99,10060,1
99,4744,1
99,10159,1
101,15491,1
103,19402,1
104,5879,1
104,2588,1
106,18288,1
107,18414,1
107,11351,1
109,5897,1
111,14545,1
118,7512,1
119,10431,1
119,19122,1
120,9558,1
121,3685,1
124,12240,1
127,4131,1
129,16630,1
130,11070,1
131,11969,1
132,5249,1
133,18488,1
134,7770,1
135,17304,1
136,10431,1
137,18598,1
138,17965,1
139,3685,1
141,1749,1
142,11025,1
144,5873,1
145,1713,1
150,1713,1
155,8291,1
158,6324,1
158,7495,1
160,13113,1
161,11070,1
162,16736,1
164,12240,1
165,19167,1
166,19048,1
167,5249,1
168,11351,1
169,2709,1
170,12187,1
172,19563,1
174,2728,1
175,17374,1
176,6868,1
177,11047,1
179,6910,1
180,19402,1
181,14690,1
182,17911,1
184,18598,1
188,6093,1
189,2969,1
191,11351,1
192,10014,1
193,14219,1
193,15490,1
193,17528,1
193,5987,1
193,16407,1
193,18749,1
193,18379,1
193,10768,1
193,4045,1
193,12054,1
193,2212,1
193,11021,1
193,12453,1
193,2490,1
193,18586,1
193,2027,1
193,2513,1
193,16826,1
193,10014,1
193,16648,1
193,1307,1
193,3640,1
193,17466,1
193,940,1
193,13454,1
193,8008,1
193,568,1
193,14670,1
193,11508,1
193,10159,1
194,1800,1
197,2709,1
198,1749,1
201,18488,1
203,5945,1
204,9404,1
212,11485,1
214,8017,1
215,4144,1
216,10173,1
217,19277,1
218,10641,1
219,7992,1
226,13885,1
228,11485,1
230,19167,1
231,5778,1
231,2326,1
231,18159,1
231,1749,1
231,12891,1
231,19132,1
231,10150,1
231,10159,1
232,16736,1
233,11735,1
234,13885,1
236,6093,1
237,5897,1
238,13113,1
241,17798,1
242,1762,1
244,7138,1
246,18037,1
250,3370,1
251,4151,1
252,3013,1
253,10675,1
254,16736,1
255,19167,1
256,10675,1
256,10150,1
257,10675,1
258,14249,1
260,10376,1
263,2326,1
264,15635,1
265,8017,1
266,2909,1
267,18497,1
268,4310,1
270,2709,1
272,6183,1
274,18489,1
275,14049,1
276,18414,1
276,19669,1
276,7992,1
279,4131,1
280,12422,1
282,19048,1
284,5991,1
286,6324,1
289,18586,1
291,1167,1
291,18497,1
291,19048,1
293,855,1
293,404,1
296,12891,1
298,12796,1
299,19167,1
300,18598,1
300,18485,1
303,19122,1
304,19669,1
304,17911,1
304,11221,1
304,7512,1
304,3399,1
307,17660,1
309,14438,1
310,10431,1
312,15490,1
316,12701,1
317,15981,1
318,14567,1
320,18598,1
322,8689,1
323,16954,1
324,8189,1
325,12796,1
330,1800,1
332,10431,1
333,2969,1
337,8017,1
338,3342,1
339,3399,1
339,11047,1
340,12240,1
341,10014,1
342,16630,1
343,5249,1
345,2709,1
347,8353,1
349,19122,1
350,6845,1
